voltage[mV],steady state
-8.000000000000000000e+01,0.000000000000000000e+00
-7.977409362792968750e+01,1.221589336637407541e-04
-7.954782104492187500e+01,2.410764864180237055e-04
-7.932119750976562500e+01,3.567914245650172234e-04
-7.909421539306640625e+01,4.693425144068896770e-04
-7.886689758300781250e+01,5.787685513496398926e-04
-7.863923645019531250e+01,6.851083016954362392e-04
-7.841123199462890625e+01,7.884005317464470863e-04
-7.818290710449218750e+01,8.886840660125017166e-04
-7.795426177978515625e+01,9.859976125881075859e-04
-7.772528839111328125e+01,1.080379937775433064e-03
-7.749600982666015625e+01,1.171869924291968346e-03
-7.726641845703125000e+01,1.260506338439881802e-03
-7.703652954101562500e+01,1.346327830106019974e-03
-7.680634307861328125e+01,1.429373165592551231e-03
-7.657586669921875000e+01,1.509681344032287598e-03
-7.634510803222656250e+01,1.587291015312075615e-03
-7.611406707763671875e+01,1.662240829318761826e-03
-7.588275146484375000e+01,1.734569785185158253e-03
-7.565116882324218750e+01,1.804316416382789612e-03
-7.541932678222656250e+01,1.871519838459789753e-03
-7.518721771240234375e+01,1.936218468472361565e-03
-7.495486450195312500e+01,1.998451305553317070e-03
-7.472225952148437500e+01,2.058257116004824638e-03
-7.448941802978515625e+01,2.115674549713730812e-03
-7.425634002685546875e+01,2.170742256566882133e-03
-7.402303314208984375e+01,2.223499584943056107e-03
-7.378949737548828125e+01,2.273984719067811966e-03
-7.355574798583984375e+01,2.322236774489283562e-03
-7.332178497314453125e+01,2.368294168263673782e-03
-7.308760833740234375e+01,2.412196248769760132e-03
-7.285323333740234375e+01,2.453981200233101845e-03
-7.261865997314453125e+01,2.493688138201832771e-03
-7.238389587402343750e+01,2.531355945393443108e-03
-7.214894866943359375e+01,2.567023038864135742e-03
-7.191381835937500000e+01,2.600728301331400871e-03
-7.167851257324218750e+01,2.632510615512728691e-03
-7.144303131103515625e+01,2.662408864125609398e-03
-7.120739746093750000e+01,2.690461697056889534e-03
-7.097159576416015625e+01,2.716707764193415642e-03
-7.073564910888671875e+01,2.741185948252677917e-03
-7.049954986572265625e+01,2.763934899121522903e-03
-7.026330566406250000e+01,2.784993732348084450e-03
-7.002693176269531250e+01,2.804401097819209099e-03
-6.979042816162109375e+01,2.822195412591099739e-03
-6.955379486083984375e+01,2.838416025042533875e-03
-6.931703948974609375e+01,2.853101119399070740e-03
-6.908016967773437500e+01,2.866290044039487839e-03
-6.884320068359375000e+01,2.878021216019988060e-03
-6.860611724853515625e+01,2.888333518058061600e-03
-6.836894226074218750e+01,2.897265600040555000e-03
-6.813166809082031250e+01,2.904856344684958458e-03
-6.789431762695312500e+01,2.911144634708762169e-03
-6.765687561035156250e+01,2.916169119998812675e-03
-6.741936492919921875e+01,2.919968683272600174e-03
-6.718177795410156250e+01,2.922581974416971207e-03
-6.694412994384765625e+01,2.924047876149415970e-03
-6.670642089843750000e+01,2.924405038356781006e-03
-6.646865844726562500e+01,2.923692110925912857e-03
-6.623085021972656250e+01,2.921948209404945374e-03
-6.599299621582031250e+01,2.919212216511368752e-03
-6.575511169433593750e+01,2.915522316470742226e-03
-6.551718902587890625e+01,2.910917857661843300e-03
-6.527923583984375000e+01,2.905437257140874863e-03
-6.504126739501953125e+01,2.899119397625327110e-03
-6.480328369140625000e+01,2.892003161832690239e-03
-6.456529235839843750e+01,2.884127199649810791e-03
-6.432728576660156250e+01,2.875530393794178963e-03
-6.408929443359375000e+01,2.866251394152641296e-03
-6.385130310058593750e+01,2.856329083442687988e-03
-6.361332321166992188e+01,2.845802111551165581e-03
-6.337535858154296875e+01,2.834709361195564270e-03
-6.313742065429687500e+01,2.823089715093374252e-03
-6.289951324462890625e+01,2.810981590300798416e-03
-6.266164016723632812e+01,2.798424335196614265e-03
-6.242380523681640625e+01,2.785456134006381035e-03
-6.218601226806640625e+01,2.772116102278232574e-03
-6.194827270507812500e+01,2.758442889899015427e-03
-6.171059417724609375e+01,2.744475379586219788e-03
-6.147296905517578125e+01,2.730252221226692200e-03
-6.123541641235351562e+01,2.715812297537922859e-03
-6.099793624877929688e+01,2.701194258406758308e-03
-6.076053237915039062e+01,2.686436986550688744e-03
-6.052321243286132812e+01,2.671579364687204361e-03
-6.028598403930664062e+01,2.656660042703151703e-03
-6.004884719848632812e+01,2.641717670485377312e-03
-5.981181335449218750e+01,2.626791130751371384e-03
-5.957488250732421875e+01,2.611919306218624115e-03
-5.933806610107421875e+01,2.597140846773982048e-03
-5.910136413574218750e+01,2.582494635134935379e-03
-5.886478424072265625e+01,2.568019321188330650e-03
-5.862833404541015625e+01,2.553753787651658058e-03
-5.839201736450195312e+01,2.539736684411764145e-03
-5.815583801269531250e+01,2.526007127016782761e-03
-5.791980361938476562e+01,2.512603299692273140e-03
-5.768392181396484375e+01,2.499564550817012787e-03
-5.744818878173828125e+01,2.486929297447204590e-03
-5.721262359619140625e+01,2.474736422300338745e-03
-5.697721862792968750e+01,2.463024808093905449e-03
-5.674198913574218750e+01,2.451833104714751244e-03
-5.650693511962890625e+01,2.441200194880366325e-03
-5.627206420898437500e+01,2.431164728477597237e-03
-5.603738403320312500e+01,2.421765588223934174e-03
-5.580289459228515625e+01,2.413041424006223679e-03
-5.556860351562500000e+01,2.405031118541955948e-03
-5.533452224731445312e+01,2.397773321717977524e-03
-5.510064697265625000e+01,2.391307149082422256e-03
-5.486698913574218750e+01,2.385671017691493034e-03
-5.463355255126953125e+01,2.380903810262680054e-03
-5.440034484863281250e+01,2.377044409513473511e-03
-5.416736602783203125e+01,2.374131232500076294e-03
-5.393462753295898438e+01,2.372203627601265907e-03
-5.370213317871093750e+01,2.371300011873245239e-03
-5.346988677978515625e+01,2.371459035202860832e-03
-5.323789215087890625e+01,2.372719813138246536e-03
-5.300615692138671875e+01,2.375120995566248894e-03
-5.277469253540039062e+01,2.378701232373714447e-03
-5.254349517822265625e+01,2.383499639108777046e-03
-5.231257629394531250e+01,2.389554399996995926e-03
-5.208193969726562500e+01,2.396904863417148590e-03
-5.185158538818359375e+01,2.405589679256081581e-03
-5.162152862548828125e+01,2.415647264569997787e-03
-5.139176940917968750e+01,2.427116967737674713e-03
-5.116231536865234375e+01,2.440036972984671593e-03
-5.093316650390625000e+01,2.454446395859122276e-03
-5.070433807373046875e+01,2.470384119078516960e-03
-5.047583007812500000e+01,2.487888792529702187e-03
-5.024764251708984375e+01,2.506999066099524498e-03
-5.001979064941406250e+01,2.527753589674830437e-03
-4.979227447509765625e+01,2.550191711634397507e-03
-4.956510162353515625e+01,2.574351616203784943e-03
-4.933827209472656250e+01,2.600272418931126595e-03
-4.911180114746093750e+01,2.627993002533912659e-03
-4.888568878173828125e+01,2.657551784068346024e-03
-4.865993881225585938e+01,2.688987646251916885e-03
-4.843456268310546875e+01,2.722339471802115440e-03
-4.820955657958984375e+01,2.757645910605788231e-03
-4.798493576049804688e+01,2.794945845380425453e-03
-4.776070022583007812e+01,2.834278158843517303e-03
-4.753685379028320312e+01,2.875681268051266670e-03
-4.731340789794921875e+01,2.919194288551807404e-03
-4.709036636352539062e+01,2.964855870231986046e-03
-4.686772918701171875e+01,3.012704895809292793e-03
-4.664551162719726562e+01,3.062780015170574188e-03
-4.642370986938476562e+01,3.115120111033320427e-03
-4.620233154296875000e+01,3.169763600453734398e-03
-4.598138809204101562e+01,3.226749831810593605e-03
-4.576087570190429688e+01,3.286117222160100937e-03
-4.554080963134765625e+01,3.347904421389102936e-03
-4.532118606567382812e+01,3.412150545045733452e-03
-4.510202026367187500e+01,3.478894243016839027e-03
-4.488330841064453125e+01,3.548174398019909859e-03
-4.466506195068359375e+01,3.620029659941792488e-03
-4.444728469848632812e+01,3.694498678669333458e-03
-4.422998046875000000e+01,3.771620336920022964e-03
