voltage[mV],steady state
-8.000000000000000000e+01,0.000000000000000000e+00
-7.770446014404296875e+01,1.088816206902265549e-03
-7.537714385986328125e+01,1.883468357846140862e-03
-7.302370452880859375e+01,2.423800528049468994e-03
-7.064981079101562500e+01,2.749656327068805695e-03
-6.826110076904296875e+01,2.900880062952637672e-03
-6.586324310302734375e+01,2.917315345257520676e-03
-6.346189117431640625e+01,2.838806016370654106e-03
-6.106269836425781250e+01,2.705196384340524673e-03
-5.867131805419921875e+01,2.556330291554331779e-03
-5.629341125488281250e+01,2.432051347568631172e-03
-5.393462753295898438e+01,2.372203627601265907e-03
-5.160063171386718750e+01,2.416630974039435387e-03
-4.929707336425781250e+01,2.605177694931626320e-03
-4.702960586547851562e+01,2.977687167003750801e-03
-4.480389022827148438e+01,3.574003465473651886e-03
-4.262558364868164062e+01,4.433970898389816284e-03
-4.050033569335937500e+01,5.597432609647512436e-03
-3.843380737304687500e+01,7.104233372956514359e-03
-3.643165206909179688e+01,8.994217030704021454e-03
-3.449952697753906250e+01,1.130722649395465851e-02
-3.264308547973632812e+01,1.408310607075691223e-02
-3.086798477172851562e+01,1.736170053482055664e-02
-2.917988204956054688e+01,2.118285372853279114e-02
-2.758443069458007812e+01,2.558640763163566589e-02
-2.608728790283203125e+01,3.061220981180667877e-02
-2.469410705566406250e+01,3.630010038614273071e-02
-2.341054916381835938e+01,4.268992319703102112e-02
-2.224226760864257812e+01,4.982152581214904785e-02
-2.119491577148437500e+01,5.773475021123886108e-02
-2.023714065551757812e+01,6.685309857130050659e-02
-1.906098937988281250e+01,8.021168410778045654e-02
-1.794295883178710938e+01,9.468530118465423584e-02
-1.688010406494140625e+01,1.101876422762870789e-01
-1.586949157714843750e+01,1.266324073076248169e-01
-1.490818023681640625e+01,1.439332664012908936e-01
-1.399323272705078125e+01,1.620039343833923340e-01
-1.312171173095703125e+01,1.807581037282943726e-01
-1.229067993164062500e+01,2.001094818115234375e-01
-1.149720001220703125e+01,2.199717313051223755e-01
-1.073833465576171875e+01,2.402585595846176147e-01
-1.001114654541015625e+01,2.608836889266967773e-01
-9.312690734863281250e+00,2.817607522010803223e-01
-8.640037536621093750e+00,3.028035163879394531e-01
-7.990249633789062500e+00,3.239256143569946289e-01
-7.360382080078125000e+00,3.450407981872558594e-01
-6.747505187988281250e+00,3.660627007484436035e-01
-6.148674011230468750e+00,3.869050741195678711e-01
-5.560958862304687500e+00,4.074815511703491211e-01
-4.981407165527343750e+00,4.277058839797973633e-01
-4.407096862792968750e+00,4.474917352199554443e-01
-3.732429504394531250e+00,4.709034264087677002e-01
-3.077583312988281250e+00,4.945598542690277100e-01
-2.448646545410156250e+00,5.180665254592895508e-01
-1.840904235839843750e+00,5.413912534713745117e-01
-1.249649047851562500e+00,5.645018219947814941e-01
-6.701507568359375000e-01,5.873661637306213379e-01
-9.769439697265625000e-02,6.099519729614257812e-01
4.724273681640625000e-01,6.322271823883056641e-01
1.044944763183593750e+00,6.541596055030822754e-01
1.624557495117187500e+00,6.757169961929321289e-01
2.216003417968750000e+00,6.968672275543212891e-01
2.823982238769531250e+00,7.175781726837158203e-01
3.453224182128906250e+00,7.378175854682922363e-01
4.108436584472656250e+00,7.575533390045166016e-01
4.794334411621093750e+00,7.767532467842102051e-01
5.515647888183593750e+00,7.953851222991943359e-01
6.277076721191406250e+00,8.134168386459350586e-01
7.083351135253906250e+00,8.308161497116088867e-01
7.939186096191406250e+00,8.475509881973266602e-01
8.849296569824218750e+00,8.635890483856201172e-01
9.818389892578125000e+00,8.788982629776000977e-01
1.085120391845703125e+01,8.934463858604431152e-01
1.195243835449218750e+01,9.072012901306152344e-01
1.312681579589843750e+01,9.201308488845825195e-01
1.437905120849609375e+01,9.322027564048767090e-01
1.571386718750000000e+01,9.433849453926086426e-01
1.713597106933593750e+01,9.536452293395996094e-01
1.865009307861328125e+01,9.629514217376708984e-01
2.026093292236328125e+01,9.712712764739990234e-01
2.197322082519531250e+01,9.785727858543395996e-01
2.379167175292968750e+01,9.848236441612243652e-01
2.572100067138671875e+01,9.899917244911193848e-01
2.776593017578125000e+01,9.940448403358459473e-01
2.993115997314453125e+01,9.969508051872253418e-01
3.222142791748046875e+01,9.986774921417236328e-01
3.456373596191406250e+01,9.992086291313171387e-01
3.660064697265625000e+01,9.993070960044860840e-01
3.863756561279296875e+01,9.994055628776550293e-01
4.067447662353515625e+01,9.995040297508239746e-01
4.271138763427734375e+01,9.996024966239929199e-01
4.474829864501953125e+01,9.997009634971618652e-01
4.678521728515625000e+01,9.997994303703308105e-01
4.882212829589843750e+01,9.998978972434997559e-01
5.085903930664062500e+01,9.999963641166687012e-01
5.289595031738281250e+01,1.000094890594482422e+00
5.493286132812500000e+01,1.000193357467651367e+00
5.696977233886718750e+01,1.000291824340820312e+00
5.900669860839843750e+01,1.000390291213989258e+00
6.104360961914062500e+01,1.000488758087158203e+00
