voltage[mV],steady state
-8.000000000000000000e+01,1.000000000000000000e+00
-7.796672058105468750e+01,9.993370175361633301e-01
-7.593343353271484375e+01,9.986740350723266602e-01
-7.390015411376953125e+01,9.980110526084899902e-01
-7.186686706542968750e+01,9.973480105400085449e-01
-6.983358764648437500e+01,9.966850280761718750e-01
-6.780030059814453125e+01,9.960220456123352051e-01
-6.576702117919921875e+01,9.953590631484985352e-01
-6.373373794555664062e+01,9.946960806846618652e-01
-6.170045471191406250e+01,9.940330982208251953e-01
-5.942450714111328125e+01,9.924444556236267090e-01
-5.695906829833984375e+01,9.881353378295898438e-01
-5.467684173583984375e+01,9.818828701972961426e-01
-5.256887054443359375e+01,9.738467335700988770e-01
-5.062617492675781250e+01,9.641869068145751953e-01
-4.883979034423828125e+01,9.530631899833679199e-01
-4.720074081420898438e+01,9.406355023384094238e-01
-4.570005798339843750e+01,9.270637035369873047e-01
-4.432877349853515625e+01,9.125076532363891602e-01
-4.307791900634765625e+01,8.971272110939025879e-01
-4.193851852416992188e+01,8.810822963714599609e-01
-4.090160369873046875e+01,8.645326495170593262e-01
-3.995820999145507812e+01,8.476382493972778320e-01
-3.909935760498046875e+01,8.305589556694030762e-01
-3.831608200073242188e+01,8.134545683860778809e-01
-3.759941101074218750e+01,7.964850068092346191e-01
-3.694037628173828125e+01,7.798101902008056641e-01
-3.624959564208984375e+01,7.612248659133911133e-01
-3.557485198974609375e+01,7.416116595268249512e-01
-3.494306945800781250e+01,7.218490839004516602e-01
-3.434733200073242188e+01,7.019611001014709473e-01
-3.378074264526367188e+01,6.819717288017272949e-01
-3.323638534545898438e+01,6.619048118591308594e-01
-3.270735168457031250e+01,6.417843699455261230e-01
-3.218674087524414062e+01,6.216343641281127930e-01
-3.166764068603515625e+01,6.014786958694458008e-01
-3.114313888549804688e+01,5.813413858413696289e-01
-3.060633468627929688e+01,5.612463355064392090e-01
-3.005031585693359375e+01,5.412175655364990234e-01
-2.940831756591796875e+01,5.187625288963317871e-01
-2.879642868041992188e+01,4.964378476142883301e-01
-2.825995635986328125e+01,4.758550822734832764e-01
-2.778488159179687500e+01,4.567376673221588135e-01
-2.735718917846679688e+01,4.388089776039123535e-01
-2.696285629272460938e+01,4.217923581600189209e-01
-2.658786010742187500e+01,4.054112136363983154e-01
-2.621818542480468750e+01,3.893889784812927246e-01
-2.583980941772460938e+01,3.734489679336547852e-01
-2.543871307373046875e+01,3.573146164417266846e-01
-2.500087738037109375e+01,3.407092988491058350e-01
-2.451228332519531250e+01,3.233563899993896484e-01
-2.395890808105468750e+01,3.049792945384979248e-01
-2.332673263549804688e+01,2.853013873100280762e-01
-2.260173797607421875e+01,2.640460431575775146e-01
-2.176990127563476562e+01,2.409366369247436523e-01
-2.081720733642578125e+01,2.156966030597686768e-01
-1.972963333129882812e+01,1.880492866039276123e-01
-1.871797180175781250e+01,1.634093225002288818e-01
-1.784859085083007812e+01,1.445973962545394897e-01
-1.691052627563476562e+01,1.268066912889480591e-01
-1.589713287353515625e+01,1.100640296936035156e-01
-1.480176544189453125e+01,9.439627081155776978e-02
-1.361777496337890625e+01,7.983025908470153809e-02
-1.233850860595703125e+01,6.639284640550613403e-02
-1.095732116699218750e+01,5.411088466644287109e-02
-9.467567443847656250e+00,4.301121458411216736e-02
-7.862602233886718750e+00,3.312069177627563477e-02
-6.135772705078125000e+00,2.446615882217884064e-02
-4.280433654785156250e+00,1.707446947693824768e-02
-2.289932250976562500e+00,1.097247190773487091e-02
-1.576232910156250000e-01,6.187013816088438034e-03
2.123138427734375000e+00,2.744943136349320412e-03
4.558998107910156250e+00,6.731096655130386353e-04
7.107826232910156250e+00,-1.468576038554658680e-09
9.142143249511718750e+00,-2.073683091907696507e-08
1.117646026611328125e+01,-4.000508724288920348e-08
1.321076965332031250e+01,-5.927334001398776309e-08
1.524508666992187500e+01,-7.854159633780000149e-08
1.727939605712890625e+01,-9.780985266161223990e-08
1.931371307373046875e+01,-1.170781089854244783e-07
2.134803009033203125e+01,-1.363463582038093591e-07
2.338233947753906250e+01,-1.556146145276215975e-07
2.541665649414062500e+01,-1.748828708514338359e-07
2.745097351074218750e+01,-1.941511271752460743e-07
2.948528289794921875e+01,-2.134193834990583127e-07
3.151959991455078125e+01,-2.326876398228705511e-07
3.355391693115234375e+01,-2.519558961466827895e-07
3.558822631835937500e+01,-2.712241382596403128e-07
3.762254333496093750e+01,-2.904924087943072664e-07
3.965686035156250000e+01,-3.097606509072647896e-07
4.169116973876953125e+01,-3.290289214419317432e-07
4.372548675537109375e+01,-3.482971635548892664e-07
4.575979614257812500e+01,-3.675654340895562200e-07
4.779411315917968750e+01,-3.868336762025137432e-07
4.982843017578125000e+01,-4.061019183154712664e-07
5.186274719238281250e+01,-4.253701888501382200e-07
5.389706420898437500e+01,-4.446384309630957432e-07
5.593136596679687500e+01,-4.639067014977626968e-07
5.796568298339843750e+01,-4.831749720324296504e-07
6.000000000000000000e+01,-5.024431857236777432e-07
