voltage[mV],time constant [ms]
-8.000000000000000000e+01,9.887144088745117188e+00
-7.611623382568359375e+01,9.949456214904785156e+00
-7.291468048095703125e+01,1.029898452758789062e+01
-7.029996490478515625e+01,1.095862579345703125e+01
-6.817670440673828125e+01,1.195127391815185547e+01
-6.644952392578125000e+01,1.329982566833496094e+01
-6.502305603027343750e+01,1.502717590332031250e+01
-6.336112213134765625e+01,1.794966888427734375e+01
-6.184756469726562500e+01,2.156439590454101562e+01
-6.057474899291992188e+01,2.589142990112304688e+01
-5.945568466186523438e+01,3.032686805725097656e+01
-5.844161987304687500e+01,3.488394927978515625e+01
-5.752079772949218750e+01,3.955179977416992188e+01
-5.668147277832031250e+01,4.431954574584960938e+01
-5.591188812255859375e+01,4.917631912231445312e+01
-5.520029449462890625e+01,5.411123657226562500e+01
-5.453493499755859375e+01,5.911343765258789062e+01
-5.390406417846679688e+01,6.417203521728515625e+01
-5.330235290527343750e+01,6.921875762939453125e+01
-5.272537231445312500e+01,7.417504882812500000e+01
-5.215904235839843750e+01,7.913635253906250000e+01
-5.160273742675781250e+01,8.410269165039062500e+01
-5.105583190917968750e+01,8.907410430908203125e+01
-5.051771163940429688e+01,9.405063629150390625e+01
-4.998774719238281250e+01,9.903231811523437500e+01
-4.946532440185546875e+01,1.040191879272460938e+02
-4.894981765747070312e+01,1.090112762451171875e+02
-4.844060516357421875e+01,1.140086364746093750e+02
-4.793706512451171875e+01,1.190112915039062500e+02
-4.743857574462890625e+01,1.240192871093750000e+02
-4.693165969848632812e+01,1.291572265625000000e+02
-4.604909133911132812e+01,1.373799438476562500e+02
-4.516265869140625000e+01,1.445121154785156250e+02
-4.427231216430664062e+01,1.505381469726562500e+02
-4.337798690795898438e+01,1.554424591064453125e+02
-4.247964096069335938e+01,1.592094726562500000e+02
-4.157720565795898438e+01,1.618235931396484375e+02
-4.067063522338867188e+01,1.632692413330078125e+02
-3.975987243652343750e+01,1.635308532714843750e+02
-3.884486007690429688e+01,1.625928192138671875e+02
-3.792554473876953125e+01,1.604395904541015625e+02
-3.700187301635742188e+01,1.570555572509765625e+02
-3.607378387451171875e+01,1.524251556396484375e+02
-3.514122772216796875e+01,1.465327911376953125e+02
-3.420414733886718750e+01,1.393628997802734375e+02
-3.326248550415039062e+01,1.308998718261718750e+02
-3.295346450805664062e+01,1.278597030639648438e+02
-3.274992370605468750e+01,1.258695755004882812e+02
-3.240427780151367188e+01,1.225062103271484375e+02
-3.193933486938476562e+01,1.180076751708984375e+02
-3.137789916992187500e+01,1.126120605468750000e+02
-3.074277877807617188e+01,1.065574264526367188e+02
-3.005678558349609375e+01,1.000818557739257812e+02
-2.934272003173828125e+01,9.342341613769531250e+01
-2.862339401245117188e+01,8.682018280029296875e+01
-2.792161178588867188e+01,8.051022338867187500e+01
-2.726018524169921875e+01,7.473162078857421875e+01
-2.666191864013671875e+01,6.972245025634765625e+01
-2.607457351684570312e+01,6.501342773437500000e+01
-2.544255065917968750e+01,5.987695312500000000e+01
-2.478166961669921875e+01,5.458247756958007812e+01
-2.408698272705078125e+01,4.927293014526367188e+01
-2.335354614257812500e+01,4.409123992919921875e+01
-2.257641220092773438e+01,3.918033599853515625e+01
-2.175063705444335938e+01,3.468314361572265625e+01
-2.087127685546875000e+01,3.074259757995605469e+01
-1.969787597656250000e+01,2.643406486511230469e+01
-1.849034118652343750e+01,2.255141639709472656e+01
-1.725502777099609375e+01,1.930668830871582031e+01
-1.592514038085937500e+01,1.664737129211425781e+01
-1.443389129638671875e+01,1.452095127105712891e+01
-1.271450042724609375e+01,1.287491798400878906e+01
-1.070017242431640625e+01,1.165676116943359375e+01
-8.324127197265625000e+00,1.081396865844726562e+01
-5.519569396972656250e+00,1.029403018951416016e+01
-2.219711303710937500e+00,1.004443359375000000e+01
1.642227172851562500e+00,1.001266765594482422e+01
4.693458557128906250e+00,1.003941822052001953e+01
7.185516357421875000e+00,1.003941822052001953e+01
9.677566528320312500e+00,1.003941822052001953e+01
1.216962432861328125e+01,1.003941822052001953e+01
1.466167449951171875e+01,1.003941822052001953e+01
1.715372467041015625e+01,1.003941822052001953e+01
1.964578247070312500e+01,1.003941822052001953e+01
2.213783264160156250e+01,1.003941822052001953e+01
2.462989044189453125e+01,1.003941822052001953e+01
2.712194061279296875e+01,1.003941822052001953e+01
2.961399078369140625e+01,1.003941822052001953e+01
3.210604858398437500e+01,1.003941822052001953e+01
3.459809875488281250e+01,1.003941822052001953e+01
3.709015655517578125e+01,1.003941822052001953e+01
3.958220672607421875e+01,1.003941822052001953e+01
4.207425689697265625e+01,1.003941822052001953e+01
4.456631469726562500e+01,1.003941822052001953e+01
4.705836486816406250e+01,1.003941822052001953e+01
4.955041503906250000e+01,1.003941822052001953e+01
5.204246520996093750e+01,1.003941822052001953e+01
5.453453063964843750e+01,1.003941822052001953e+01
5.702658081054687500e+01,1.003941822052001953e+01
5.951863098144531250e+01,1.003941822052001953e+01
