voltage[mV],time constant [ms]
-8.000000000000000000e+01,6.008692932128906250e+01
-7.655322265625000000e+01,5.989476013183593750e+01
-7.340917968750000000e+01,6.046296691894531250e+01
-7.057386779785156250e+01,6.210836791992187500e+01
-6.805329132080078125e+01,6.514778137207031250e+01
-6.585343170166015625e+01,6.989801788330078125e+01
-6.398030471801757812e+01,7.667590332031250000e+01
-6.243989562988281250e+01,8.579825592041015625e+01
-6.100089645385742188e+01,1.004760894775390625e+02
-5.924765014648437500e+01,1.290968322753906250e+02
-5.786549758911132812e+01,1.609794006347656250e+02
-5.685111618041992188e+01,1.936699218750000000e+02
-5.584906387329101562e+01,2.320902862548828125e+02
-5.497580337524414062e+01,2.697461853027343750e+02
-5.421234130859375000e+01,3.066566772460937500e+02
-5.353968811035156250e+01,3.428408508300781250e+02
-5.293885040283203125e+01,3.783177490234375000e+02
-5.239083099365234375e+01,4.131064758300781250e+02
-5.187663650512695312e+01,4.472261352539062500e+02
-5.137727355957031250e+01,4.806957397460937500e+02
-5.082145309448242188e+01,5.173155517578125000e+02
-5.024176406860351562e+01,5.572209472656250000e+02
-4.972529602050781250e+01,5.949916381835937500e+02
-4.925772094726562500e+01,6.311181030273437500e+02
-4.882472229003906250e+01,6.660908203125000000e+02
-4.841197204589843750e+01,7.004002685546875000e+02
-4.800514221191406250e+01,7.345368041992187500e+02
-4.758990859985351562e+01,7.689909667968750000e+02
-4.715195083618164062e+01,8.042531738281250000e+02
-4.667694473266601562e+01,8.408138427734375000e+02
-4.615055847167968750e+01,8.791635131835937500e+02
-4.547904586791992188e+01,9.262363891601562500e+02
-4.458539581298828125e+01,9.856248168945312500e+02
-4.371977233886718750e+01,1.035292602539062500e+03
-4.287606811523437500e+01,1.075159423828125000e+03
-4.204818344116210938e+01,1.105145019531250000e+03
-4.123000717163085938e+01,1.125169189453125000e+03
-4.041544342041015625e+01,1.135151611328125000e+03
-3.959837722778320312e+01,1.135012084960937500e+03
-3.877271270751953125e+01,1.124670166015625000e+03
-3.793233871459960938e+01,1.104045776367187500e+03
-3.707115554809570312e+01,1.073058471679687500e+03
-3.618305587768554688e+01,1.031628051757812500e+03
-3.526193237304687500e+01,9.796743774414062500e+02
-3.430168533325195312e+01,9.171169433593750000e+02
-3.416305541992187500e+01,9.067750244140625000e+02
-3.394623947143554688e+01,8.895377807617187500e+02
-3.360398483276367188e+01,8.624315185546875000e+02
-3.315838241577148438e+01,8.272994384765625000e+02
-3.263153076171875000e+01,7.859847412109375000e+02
-3.204550933837890625e+01,7.403304443359375000e+02
-3.142241287231445312e+01,6.921799316406250000e+02
-3.078433227539062500e+01,6.433762207031250000e+02
-3.015335845947265625e+01,5.957625732421875000e+02
-2.955157852172851562e+01,5.511821289062500000e+02
-2.900700759887695312e+01,5.118923645019531250e+02
-2.851012420654296875e+01,4.768411254882812500e+02
-2.795621109008789062e+01,4.388790588378906250e+02
-2.734970092773437500e+01,3.992337951660156250e+02
-2.669502639770507812e+01,3.591330871582031250e+02
-2.599662399291992188e+01,3.198045959472656250e+02
-2.525893020629882812e+01,2.824760742187500000e+02
-2.448637771606445312e+01,2.483751373291015625e+02
-2.368340301513671875e+01,2.187295532226562500e+02
-2.271726226806640625e+01,1.907364044189453125e+02
-2.152465820312500000e+01,1.623178863525390625e+02
-2.025926208496093750e+01,1.381975097656250000e+02
-1.888737106323242188e+01,1.180416336059570312e+02
-1.737528228759765625e+01,1.015166397094726562e+02
-1.568929290771484375e+01,8.828888702392578125e+01
-1.379570007324218750e+01,7.802474975585937500e+01
-1.166078948974609375e+01,7.039059448242187500e+01
-9.250869750976562500e+00,6.505279541015625000e+01
-6.532226562500000000e+00,6.167771530151367188e+01
-3.471160888671875000e+00,5.993172836303710938e+01
-3.396606445312500000e-02,5.948119735717773438e+01
3.487930297851562500e+00,5.982515716552734375e+01
5.924049377441406250e+00,5.982515716552734375e+01
8.360168457031250000e+00,5.982515716552734375e+01
1.079627990722656250e+01,5.982515716552734375e+01
1.323239898681640625e+01,5.982515716552734375e+01
1.566851806640625000e+01,5.982515716552734375e+01
1.810463714599609375e+01,5.982515716552734375e+01
2.054075622558593750e+01,5.982515716552734375e+01
2.297686767578125000e+01,5.982515716552734375e+01
2.541298675537109375e+01,5.982515716552734375e+01
2.784910583496093750e+01,5.982515716552734375e+01
3.028522491455078125e+01,5.982515716552734375e+01
3.272133636474609375e+01,5.982515716552734375e+01
3.515745544433593750e+01,5.982515716552734375e+01
3.759357452392578125e+01,5.982515716552734375e+01
4.002969360351562500e+01,5.982515716552734375e+01
4.246581268310546875e+01,5.982515716552734375e+01
4.490192413330078125e+01,5.982515716552734375e+01
4.733804321289062500e+01,5.982515716552734375e+01
4.977415466308593750e+01,5.982515716552734375e+01
5.221028137207031250e+01,5.982515716552734375e+01
5.464639282226562500e+01,5.982515716552734375e+01
5.708251953125000000e+01,5.982515716552734375e+01
5.951863098144531250e+01,5.982515716552734375e+01
