voltage[mV],normalized current
-3.982222747802734375e+01,9.760630726814270020e-01
-3.840639495849609375e+01,9.692095518112182617e-01
-3.708913421630859375e+01,9.602261781692504883e-01
-3.586373138427734375e+01,9.491922259330749512e-01
-3.472345733642578125e+01,9.361871480941772461e-01
-3.366160583496093750e+01,9.212903380393981934e-01
-3.267145538330078125e+01,9.045811295509338379e-01
-3.174629020690917969e+01,8.861389756202697754e-01
-3.087938690185546875e+01,8.660432100296020508e-01
-3.006403160095214844e+01,8.443732261657714844e-01
-2.929350471496582031e+01,8.212084770202636719e-01
-2.856109046936035156e+01,7.966282963752746582e-01
-2.786006927490234375e+01,7.707120776176452637e-01
-2.718372726440429688e+01,7.435391545295715332e-01
-2.652534103393554688e+01,7.151890397071838379e-01
-2.587819290161132812e+01,6.857410669326782227e-01
-2.523556900024414062e+01,6.552745699882507324e-01
-2.459075164794921875e+01,6.238690018653869629e-01
-2.393702316284179688e+01,5.916036963462829590e-01
-2.326766204833984375e+01,5.585581064224243164e-01
-2.253277587890625000e+01,5.227054953575134277e-01
-2.160382843017578125e+01,4.776563048362731934e-01
-2.071186447143554688e+01,4.345584213733673096e-01
-1.985308074951171875e+01,3.934156596660614014e-01
-1.902368164062500000e+01,3.542318642139434814e-01
-1.821986389160156250e+01,3.170108199119567871e-01
-1.743782424926757812e+01,2.817563414573669434e-01
-1.667376708984375000e+01,2.484722435474395752e-01
-1.592388534545898438e+01,2.171623557806015015e-01
-1.518437957763671875e+01,1.878304481506347656e-01
-1.445145034790039062e+01,1.604803651571273804e-01
-1.372129821777343750e+01,1.351159065961837769e-01
-1.299011993408203125e+01,1.117408871650695801e-01
-1.225411605834960938e+01,9.035910665988922119e-02
-1.150947952270507812e+01,7.097437977790832520e-02
-1.075241851806640625e+01,5.359052494168281555e-02
-9.979125976562500000e+00,3.821134194731712341e-02
-9.185806274414062500e+00,2.484065108001232147e-02
-8.368652343750000000e+00,1.348225679248571396e-02
-7.523864746093750000e+00,4.139971919357776642e-03
-6.647644042968750000e+00,-3.182393498718738556e-03
-5.736190795898437500e+00,-8.481028489768505096e-03
-4.785701751708984375e+00,-1.175212208181619644e-02
-3.792373657226562500e+00,-1.299186423420906067e-02
-2.752410888671875000e+00,-1.219644397497177124e-02
-1.662010192871093750e+00,-9.362050332129001617e-03
-5.173683166503906250e-01,-4.484873730689287186e-03
6.853141784667968750e-01,2.438897266983985901e-03
1.949836730957031250e+00,1.141307316720485687e-02
3.280002593994140625e+00,2.244146540760993958e-02
4.679611206054687500e+00,3.552788123488426208e-02
6.152465820312500000e+00,5.067613720893859863e-02
7.702362060546875000e+00,6.789004057645797729e-02
9.333106994628906250e+00,8.717340230941772461e-02
1.104850006103515625e+01,1.085300296545028687e-01
1.285234069824218750e+01,1.319637298583984375e-01
1.474842834472656250e+01,1.574783325195312500e-01
1.674056243896484375e+01,1.850776374340057373e-01
1.883255767822265625e+01,2.147654443979263306e-01
2.012242889404296875e+01,2.334416061639785767e-01
2.067295074462890625e+01,2.419917285442352295e-01
2.133060455322265625e+01,2.526405453681945801e-01
2.208947753906250000e+01,2.652755379676818848e-01
2.294365692138671875e+01,2.797842025756835938e-01
2.388721466064453125e+01,2.960540056228637695e-01
2.491424560546875000e+01,3.139724135398864746e-01
2.601882934570312500e+01,3.334269523620605469e-01
2.719504547119140625e+01,3.543050587177276611e-01
2.843698883056640625e+01,3.764942586421966553e-01
2.973873138427734375e+01,3.998819887638092041e-01
3.109436035156250000e+01,4.243557751178741455e-01
3.249796295166015625e+01,4.498030543327331543e-01
3.394361877441406250e+01,4.761113524436950684e-01
3.542541503906250000e+01,5.031681060791015625e-01
3.693743896484375000e+01,5.308608412742614746e-01
3.847376251220703125e+01,5.590770244598388672e-01
4.002848052978515625e+01,5.877041220664978027e-01
4.159567260742187500e+01,6.166296601295471191e-01
4.316941833496093750e+01,6.457411050796508789e-01
4.474380493164062500e+01,6.749258637428283691e-01
4.631291961669921875e+01,7.040715217590332031e-01
4.787084197998046875e+01,7.330655455589294434e-01
4.941165924072265625e+01,7.617953419685363770e-01
5.092945098876953125e+01,7.901484966278076172e-01
5.241830444335937500e+01,8.180123567581176758e-01
5.387229919433593750e+01,8.452745676040649414e-01
5.528552246093750000e+01,8.718224763870239258e-01
5.665205383300781250e+01,8.975436687469482422e-01
5.796598815917968750e+01,9.223255515098571777e-01
5.922138977050781250e+01,9.460556507110595703e-01
6.041236114501953125e+01,9.686213731765747070e-01
6.153298187255859375e+01,9.899103045463562012e-01
6.257732391357421875e+01,1.009809851646423340e+00
6.353948974609375000e+01,1.028207540512084961e+00
6.441354370117187500e+01,1.044990897178649902e+00
6.519358062744140625e+01,1.060047268867492676e+00
6.587368774414062500e+01,1.073264241218566895e+00
6.644793701171875000e+01,1.084529280662536621e+00
6.691042327880859375e+01,1.093729853630065918e+00
6.725522613525390625e+01,1.100753545761108398e+00
