time[ms],current [pA]
5.110312104225158691e-01,-7.955200195312500000e+00
5.761183738708496094e+00,-7.955200195312500000e+00
1.101133632659912109e+01,-7.955200195312500000e+00
1.626148796081542969e+01,-7.955200195312500000e+00
2.151164054870605469e+01,-7.955200195312500000e+00
2.676179313659667969e+01,-7.955200195312500000e+00
3.201194381713867188e+01,-7.955200195312500000e+00
3.726209640502929688e+01,-7.955200195312500000e+00
4.251224899291992188e+01,-7.955200195312500000e+00
4.776240158081054688e+01,-7.955200195312500000e+00
5.301255416870117188e+01,-7.955200195312500000e+00
5.826270675659179688e+01,-7.955200195312500000e+00
6.351285934448242188e+01,-7.955200195312500000e+00
6.910301208496093750e+01,-8.790344238281250000e+00
6.991941833496093750e+01,-1.902081298828125000e+01
6.998777770996093750e+01,-5.544721679687500000e+02
7.026064300537109375e+01,-5.919436645507812500e+02
7.076174926757812500e+01,-6.142523193359375000e+02
7.151016998291015625e+01,-6.156394653320312500e+02
7.254028320312500000e+01,-5.942000732421875000e+02
7.382265472412109375e+01,-5.506382446289062500e+02
7.484648132324218750e+01,-5.125111694335937500e+02
7.572721862792968750e+01,-4.805831604003906250e+02
7.651808929443359375e+01,-4.535672607421875000e+02
7.727231597900390625e+01,-4.301763305664062500e+02
7.804312133789062500e+01,-4.091233520507812500e+02
7.888374328613281250e+01,-3.891213073730468750e+02
7.984739685058593750e+01,-3.688830871582031250e+02
8.098731231689453125e+01,-3.471216430664062500e+02
8.239886474609375000e+01,-3.220572814941406250e+02
8.405045318603515625e+01,-2.963890991210937500e+02
8.587793731689453125e+01,-2.722136840820312500e+02
8.791183471679687500e+01,-2.494900207519531250e+02
9.018264770507812500e+01,-2.281771240234375000e+02
9.272090148925781250e+01,-2.082340698242187500e+02
9.555708312988281250e+01,-1.896198425292968750e+02
9.872172546386718750e+01,-1.722934570312500000e+02
1.022453231811523438e+02,-1.562139587402343750e+02
1.061583938598632812e+02,-1.413403320312500000e+02
1.104914474487304688e+02,-1.276316528320312500e+02
1.152749938964843750e+02,-1.150469055175781250e+02
1.205395355224609375e+02,-1.035451049804687500e+02
1.263155899047851562e+02,-9.308529663085937500e+01
1.326307220458984375e+02,-8.363049316406250000e+01
1.372114562988281250e+02,-7.769580078125000000e+01
1.419722595214843750e+02,-7.208648681640625000e+01
1.469007263183593750e+02,-6.679309082031250000e+01
1.519844970703125000e+02,-6.180615234375000000e+01
1.572111968994140625e+02,-5.711621093750000000e+01
1.625684204101562500e+02,-5.271374511718750000e+01
1.680437927246093750e+02,-4.858941650390625000e+01
1.736249542236328125e+02,-4.473376464843750000e+01
1.792994995117187500e+02,-4.113726806640625000e+01
1.850550537109375000e+02,-3.779046630859375000e+01
1.908792572021484375e+02,-3.468395996093750000e+01
1.967596893310546875e+02,-3.180822753906250000e+01
2.026840057373046875e+02,-2.915393066406250000e+01
2.086398010253906250e+02,-2.671148681640625000e+01
2.146147003173828125e+02,-2.447155761718750000e+01
2.205963134765625000e+02,-2.242456054687500000e+01
2.265722961425781250e+02,-2.056115722656250000e+01
2.325302276611328125e+02,-1.887182617187500000e+01
2.384577331542968750e+02,-1.734710693359375000e+01
2.443424530029296875e+02,-1.597760009765625000e+01
2.501719818115234375e+02,-1.475384521484375000e+01
2.559339599609375000e+02,-1.366632080078125000e+01
2.616159973144531250e+02,-1.270568847656250000e+01
2.672056884765625000e+02,-1.186236572265625000e+01
2.726906738281250000e+02,-1.112695312500000000e+01
2.780585937500000000e+02,-1.048999023437500000e+01
2.832970275878906250e+02,-9.942077636718750000e+00
2.883936462402343750e+02,-9.473693847656250000e+00
2.933359985351562500e+02,-9.075378417968750000e+00
2.981117553710937500e+02,-8.737731933593750000e+00
3.027085266113281250e+02,-8.451293945312500000e+00
3.071138916015625000e+02,-8.206542968750000000e+00
3.113155517578125000e+02,-7.994079589843750000e+00
3.153010253906250000e+02,-7.804504394531250000e+00
3.190580139160156250e+02,-7.628234863281250000e+00
3.225740966796875000e+02,-7.455871582031250000e+00
3.258369140625000000e+02,-7.278015136718750000e+00
