time[ms],current [pA]
-1.200000000000000000e+02,9.373260140419006348e-01
-1.199035415649414062e+02,9.368898868560791016e-01
-1.198072128295898438e+02,9.364526867866516113e-01
-1.197110137939453125e+02,9.360144734382629395e-01
-1.196149368286132812e+02,9.355751872062683105e-01
-1.195189895629882812e+02,9.351348280906677246e-01
-1.194231719970703125e+02,9.346933364868164062e-01
-1.193274688720703125e+02,9.342506527900695801e-01
-1.192318954467773438e+02,9.338067770004272461e-01
-1.191364440917968750e+02,9.333617091178894043e-01
-1.190411071777343750e+02,9.329153895378112793e-01
-1.189458999633789062e+02,9.324678182601928711e-01
-1.188508071899414062e+02,9.320188760757446289e-01
-1.187558364868164062e+02,9.315686225891113281e-01
-1.186609802246093750e+02,9.311169981956481934e-01
-1.185662460327148438e+02,9.306640028953552246e-01
-1.184716186523437500e+02,9.302095174789428711e-01
-1.183771133422851562e+02,9.297536611557006836e-01
-1.182827224731445312e+02,9.292962551116943359e-01
-1.181884460449218750e+02,9.288372993469238281e-01
-1.180942840576171875e+02,9.283768534660339355e-01
-1.180002288818359375e+02,9.279147982597351074e-01
-1.179062881469726562e+02,9.274511337280273438e-01
-1.178124542236328125e+02,9.269858002662658691e-01
-1.177187347412109375e+02,9.265187978744506836e-01
-1.176251144409179688e+02,9.260501265525817871e-01
-1.175316085815429688e+02,9.255797266960144043e-01
-1.174382095336914062e+02,9.251075387001037598e-01
-1.173449096679687500e+02,9.246335625648498535e-01
-1.172517242431640625e+02,9.241577386856079102e-01
-1.171586303710937500e+02,9.236801266670227051e-01
-1.170656509399414062e+02,9.232005476951599121e-01
-1.169727706909179688e+02,9.227191209793090820e-01
-1.168799896240234375e+02,9.222357273101806641e-01
-1.167873077392578125e+02,9.217503666877746582e-01
-1.166947250366210938e+02,9.212629795074462891e-01
-1.166022415161132812e+02,9.207735657691955566e-01
-1.165098571777343750e+02,9.202821254730224609e-01
-1.164175720214843750e+02,9.197885394096374512e-01
-1.163253784179687500e+02,9.192928671836853027e-01
