voltage [mV],steady state [1]
-1.200000000000000000e+02,9.377064704895019531e-01
-1.190324478149414062e+02,9.332822561264038086e-01
-1.180771713256835938e+02,9.287282228469848633e-01
-1.171332626342773438e+02,9.240136146545410156e-01
-1.161998138427734375e+02,9.191074967384338379e-01
-1.152759094238281250e+02,9.139789938926696777e-01
-1.143606414794921875e+02,9.085972905158996582e-01
-1.134531021118164062e+02,9.029315710067749023e-01
-1.125523757934570312e+02,8.969508409500122070e-01
-1.116575546264648438e+02,8.906242847442626953e-01
-1.105813293457031250e+02,8.825660943984985352e-01
-1.095180892944335938e+02,8.742332458496093750e-01
-1.084996566772460938e+02,8.658702969551086426e-01
-1.075230636596679688e+02,8.574653267860412598e-01
-1.065853576660156250e+02,8.490064144134521484e-01
-1.056835937500000000e+02,8.404815793037414551e-01
-1.048148193359375000e+02,8.318789601325988770e-01
-1.039760589599609375e+02,8.231865763664245605e-01
-1.031643676757812500e+02,8.143925666809082031e-01
-1.023768005371093750e+02,8.054849505424499512e-01
-1.016103897094726562e+02,7.964518666267395020e-01
-1.008621826171875000e+02,7.872813344001770020e-01
-1.001292266845703125e+02,7.779614925384521484e-01
-9.940856170654296875e+01,7.684803009033203125e-01
-9.869723510742187500e+01,7.588259577751159668e-01
-9.799230194091796875e+01,7.489865422248840332e-01
-9.729078674316406250e+01,7.389500141143798828e-01
-9.658975219726562500e+01,7.287045717239379883e-01
-9.588623046875000000e+01,7.182382345199584961e-01
-9.517726898193359375e+01,7.075390815734863281e-01
-9.445991516113281250e+01,6.965951323509216309e-01
-9.373121643066406250e+01,6.853945851325988770e-01
-9.305377197265625000e+01,6.748790740966796875e-01
-9.239600372314453125e+01,6.644141077995300293e-01
-9.173034667968750000e+01,6.535797715187072754e-01
-9.105755615234375000e+01,6.424042582511901855e-01
-9.037838745117187500e+01,6.309158205986022949e-01
-8.969358062744140625e+01,6.191428899765014648e-01
-8.900389099121093750e+01,6.071135997772216797e-01
-8.831006622314453125e+01,5.948562622070312500e-01
-8.761286163330078125e+01,5.823991894721984863e-01
-8.691302490234375000e+01,5.697706341743469238e-01
-8.621131134033203125e+01,5.569988489151000977e-01
-8.550846862792968750e+01,5.441121459007263184e-01
-8.480524444580078125e+01,5.311388373374938965e-01
-8.410239410400390625e+01,5.181071162223815918e-01
-8.340066528320312500e+01,5.050452947616577148e-01
-8.270081329345703125e+01,4.919816553592681885e-01
-8.200358581542968750e+01,4.789444804191589355e-01
-8.130973815917968750e+01,4.659620225429534912e-01
-8.062001037597656250e+01,4.530625939369201660e-01
-7.993516540527343750e+01,4.402744472026824951e-01
-7.925593566894531250e+01,4.276258647441864014e-01
-7.843818664550781250e+01,4.125272631645202637e-01
-7.758592224121093750e+01,3.970798552036285400e-01
-7.673931884765625000e+01,3.820365667343139648e-01
-7.589806365966796875e+01,3.673921525478363037e-01
-7.506180572509765625e+01,3.531413674354553223e-01
-7.423022460937500000e+01,3.392789661884307861e-01
-7.340298461914062500e+01,3.257997035980224609e-01
-7.257976531982421875e+01,3.126983344554901123e-01
-7.176022338867187500e+01,2.999696433544158936e-01
-7.094403839111328125e+01,2.876083552837371826e-01
-7.013087463378906250e+01,2.756092250347137451e-01
-6.932040405273437500e+01,2.639670073986053467e-01
-6.851229858398437500e+01,2.526764869689941406e-01
-6.770622253417968750e+01,2.417324036359786987e-01
-6.690185546875000000e+01,2.311294972896575928e-01
-6.609884643554687500e+01,2.208625525236129761e-01
-6.529689025878906250e+01,2.109263092279434204e-01
-6.449563598632812500e+01,2.013155221939086914e-01
-6.369476699829101562e+01,1.920249611139297485e-01
-6.289394378662109375e+01,1.830493509769439697e-01
-6.209284210205078125e+01,1.743834912776947021e-01
-6.129113006591796875e+01,1.660221070051193237e-01
-6.048847579956054688e+01,1.579599529504776001e-01
-5.968454742431640625e+01,1.501918137073516846e-01
-5.887902069091796875e+01,1.427124142646789551e-01
-5.807155990600585938e+01,1.355165243148803711e-01
-5.726183700561523438e+01,1.285988986492156982e-01
-5.644952011108398438e+01,1.219543069601058960e-01
-5.563427734375000000e+01,1.155774816870689392e-01
-5.481578063964843750e+01,1.094631850719451904e-01
-5.399370574951171875e+01,1.036061868071556091e-01
-5.316770935058593750e+01,9.800122678279876709e-02
-5.233747100830078125e+01,9.264306724071502686e-02
-5.150265502929687500e+01,8.752647042274475098e-02
-5.066293334960937500e+01,8.264618366956710815e-02
-4.981797790527343750e+01,7.799696922302246094e-02
-4.896745300292968750e+01,7.357357442378997803e-02
-4.811103057861328125e+01,6.937076896429061890e-02
-4.724838256835937500e+01,6.538329273462295532e-02
-4.637918090820312500e+01,6.160591915249824524e-02
-4.550308227539062500e+01,5.803339183330535889e-02
-4.461977386474609375e+01,5.466046929359436035e-02
-4.372891235351562500e+01,5.148191004991531372e-02
-4.283016967773437500e+01,4.849246889352798462e-02
-4.192321777343750000e+01,4.568690061569213867e-02
-4.100772857666015625e+01,4.305996373295783997e-02
-4.008336639404296875e+01,4.060641303658485413e-02
