voltage [mV],current density [pA/pF]
-1.200000000000000000e+02,-2.912822723388671875e+00
-1.196540222167968750e+02,-2.895564317703247070e+00
-1.192581787109375000e+02,-2.876145601272583008e+00
-1.188154144287109375e+02,-2.854647874832153320e+00
-1.183286361694335938e+02,-2.831152200698852539e+00
-1.178007888793945312e+02,-2.805739879608154297e+00
-1.172347946166992188e+02,-2.778491497039794922e+00
-1.166335830688476562e+02,-2.749488592147827148e+00
-1.160000762939453125e+02,-2.718811750411987305e+00
-1.153372039794921875e+02,-2.686542510986328125e+00
-1.146478958129882812e+02,-2.652761459350585938e+00
-1.139350814819335938e+02,-2.617550134658813477e+00
-1.132016830444335938e+02,-2.580989360809326172e+00
-1.124506301879882812e+02,-2.543160200119018555e+00
-1.116848602294921875e+02,-2.504143714904785156e+00
-1.109072875976562500e+02,-2.464021205902099609e+00
-1.101208419799804688e+02,-2.422873258590698242e+00
-1.093284530639648438e+02,-2.380781412124633789e+00
-1.085330581665039062e+02,-2.337826251983642578e+00
-1.077375717163085938e+02,-2.294089317321777344e+00
-1.069449234008789062e+02,-2.249651432037353516e+00
-1.061580505371093750e+02,-2.204593658447265625e+00
-1.053798675537109375e+02,-2.158997297286987305e+00
-1.046133193969726562e+02,-2.112943172454833984e+00
-1.038914108276367188e+02,-2.068490266799926758e+00
-1.032507476806640625e+02,-2.028387546539306641e+00
-1.026705322265625000e+02,-1.991410970687866211e+00
-1.021387176513671875e+02,-1.956812262535095215e+00
-1.016432342529296875e+02,-1.923843026161193848e+00
-1.011720428466796875e+02,-1.891754746437072754e+00
-1.007130889892578125e+02,-1.859799265861511230e+00
-1.002543334960937500e+02,-1.827227950096130371e+00
-9.978370666503906250e+01,-1.793292641639709473e+00
-9.928916931152343750e+01,-1.757244825363159180e+00
-9.875867462158203125e+01,-1.718336224555969238e+00
-9.818016052246093750e+01,-1.675818324089050293e+00
-9.754158782958984375e+01,-1.628942966461181641e+00
-9.683090209960937500e+01,-1.576961517333984375e+00
-9.603604125976562500e+01,-1.519125699996948242e+00
-9.527223968505859375e+01,-1.463844656944274902e+00
-9.483158874511718750e+01,-1.431652784347534180e+00
-9.438764190673828125e+01,-1.398818373680114746e+00
-9.393972778320312500e+01,-1.365395903587341309e+00
-9.348714447021484375e+01,-1.331439733505249023e+00
-9.302920532226562500e+01,-1.297004103660583496e+00
-9.256521606445312500e+01,-1.262143611907958984e+00
-9.209448242187500000e+01,-1.226912379264831543e+00
-9.161633300781250000e+01,-1.191364765167236328e+00
-9.113005065917968750e+01,-1.155555367469787598e+00
-9.063496398925781250e+01,-1.119538426399230957e+00
-9.013037109375000000e+01,-1.083368182182312012e+00
-8.961558532714843750e+01,-1.047099232673645020e+00
-8.908992004394531250e+01,-1.010785698890686035e+00
-8.855267333984375000e+01,-9.744820594787597656e-01
-8.800316619873046875e+01,-9.382429122924804688e-01
-8.744070434570312500e+01,-9.021222591400146484e-01
-8.686459350585937500e+01,-8.661744594573974609e-01
-8.627413940429687500e+01,-8.304541110992431641e-01
-8.566867065429687500e+01,-7.950155735015869141e-01
-8.504747009277343750e+01,-7.599132061004638672e-01
-8.440986633300781250e+01,-7.252011299133300781e-01
-8.375515747070312500e+01,-6.909339427947998047e-01
-8.308265686035156250e+01,-6.571657657623291016e-01
-8.239167785644531250e+01,-6.239514350891113281e-01
-8.168153381347656250e+01,-5.913448333740234375e-01
-8.095150756835937500e+01,-5.594005584716796875e-01
-8.020094299316406250e+01,-5.281729698181152344e-01
-7.942912292480468750e+01,-4.977161884307861328e-01
-7.863537597656250000e+01,-4.680850505828857422e-01
-7.781900024414062500e+01,-4.393334388732910156e-01
-7.697929382324218750e+01,-4.115159511566162109e-01
-7.611559295654296875e+01,-3.846869468688964844e-01
-7.522718811035156250e+01,-3.589007854461669922e-01
-7.431340026855468750e+01,-3.342118263244628906e-01
-7.337351989746093750e+01,-3.106744289398193359e-01
-7.240687561035156250e+01,-2.883429527282714844e-01
-7.141276550292968750e+01,-2.672717571258544922e-01
-7.039050292968750000e+01,-2.475152015686035156e-01
-6.933940124511718750e+01,-2.291276454925537109e-01
-6.825875854492187500e+01,-2.121634483337402344e-01
-6.714789581298828125e+01,-1.966769695281982422e-01
-6.600611877441406250e+01,-1.827228069305419922e-01
-6.499261474609375000e+01,-1.717803478240966797e-01
-6.412651824951171875e+01,-1.627385616302490234e-01
-6.328567504882812500e+01,-1.541333198547363281e-01
-6.246487808227539062e+01,-1.459262371063232422e-01
-6.165892791748046875e+01,-1.380784511566162109e-01
-6.086261367797851562e+01,-1.305518150329589844e-01
-6.007072830200195312e+01,-1.233077049255371094e-01
-5.927807235717773438e+01,-1.163077354431152344e-01
-5.847943878173828125e+01,-1.095132827758789062e-01
-5.766961669921875000e+01,-1.028861999511718750e-01
-5.684340667724609375e+01,-9.638762474060058594e-02
-5.599560546875000000e+01,-8.997941017150878906e-02
-5.512100219726562500e+01,-8.362269401550292969e-02
-5.421439361572265625e+01,-7.727956771850585938e-02
-5.327057647705078125e+01,-7.091116905212402344e-02
-5.228433990478515625e+01,-6.447911262512207031e-02
-5.125048065185546875e+01,-5.794477462768554688e-02
-5.016379547119140625e+01,-5.127000808715820312e-02
