time [ms],current [pA]
1.511668300628662109e+01,-5.181816101074218750e+00
3.829959487915039062e+01,-5.756568908691406250e+00
6.102375793457031250e+01,-6.378555297851562500e+00
8.663278961181640625e+01,-7.093536376953125000e+00
1.184703063964843750e+02,-7.947280883789062500e+00
1.598799133300781250e+02,-8.985549926757812500e+00
2.142052307128906250e+02,-1.025408935546875000e+01
2.847898864746093750e+02,-1.179867553710937500e+01
3.749774475097656250e+02,-1.366505432128906250e+01
4.291191101074218750e+02,-1.474443817138671875e+01
4.582984008789062500e+02,-1.530819702148437500e+01
4.883487243652343750e+02,-1.587351989746093750e+01
5.193121337890625000e+02,-1.643996429443359375e+01
5.512305297851562500e+02,-1.700706481933593750e+01
5.841459960937500000e+02,-1.757437133789062500e+01
6.181004028320312500e+02,-1.814142990112304688e+01
6.531358642578125000e+02,-1.870779037475585938e+01
6.892942504882812500e+02,-1.927299499511718750e+01
7.266176147460937500e+02,-1.983659362792968750e+01
7.651479492187500000e+02,-2.039812469482421875e+01
8.049271850585937500e+02,-2.095714187622070312e+01
8.459973144531250000e+02,-2.151319122314453125e+01
8.884003906250000000e+02,-2.206581497192382812e+01
9.321783447265625000e+02,-2.261455917358398438e+01
9.773731689453125000e+02,-2.315897369384765625e+01
1.024026855468750000e+03,-2.369860458374023438e+01
1.072181396484375000e+03,-2.423299407958984375e+01
1.121878784179687500e+03,-2.476169204711914062e+01
1.173161010742187500e+03,-2.528424453735351562e+01
1.226070068359375000e+03,-2.580019378662109375e+01
1.280647827148437500e+03,-2.630908966064453125e+01
1.336936401367187500e+03,-2.681047821044921875e+01
1.394977661132812500e+03,-2.730390167236328125e+01
1.454813842773437500e+03,-2.778891372680664062e+01
1.516486572265625000e+03,-2.826505279541015625e+01
1.580038085937500000e+03,-2.873187255859375000e+01
1.645510375976562500e+03,-2.918891143798828125e+01
1.712945312500000000e+03,-2.963571929931640625e+01
1.782384887695312500e+03,-3.007184219360351562e+01
1.853871215820312500e+03,-3.049682998657226562e+01
1.927446044921875000e+03,-3.091022109985351562e+01
2.003151611328125000e+03,-3.131156921386718750e+01
2.081029785156250000e+03,-3.170041656494140625e+01
2.161122558593750000e+03,-3.207630920410156250e+01
2.243471923828125000e+03,-3.243879318237304688e+01
2.328119873046875000e+03,-3.278741836547851562e+01
2.415108398437500000e+03,-3.312172317504882812e+01
2.504479492187500000e+03,-3.344126510620117188e+01
2.596274902343750000e+03,-3.374557876586914062e+01
2.690537109375000000e+03,-3.403421783447265625e+01
2.787307617187500000e+03,-3.430672836303710938e+01
2.886628906250000000e+03,-3.456265258789062500e+01
2.988542480468750000e+03,-3.480154037475585938e+01
3.093090332031250000e+03,-3.502293395996093750e+01
3.193819580078125000e+03,-3.521464538574218750e+01
3.241093261718750000e+03,-3.528969573974609375e+01
3.302054931640625000e+03,-3.537373352050781250e+01
3.373951904296875000e+03,-3.546443176269531250e+01
3.454030273437500000e+03,-3.555945968627929688e+01
3.539537353515625000e+03,-3.565648651123046875e+01
3.627719726562500000e+03,-3.575318145751953125e+01
3.715823974609375000e+03,-3.584721374511718750e+01
3.801097412109375000e+03,-3.593625259399414062e+01
3.880786376953125000e+03,-3.601797103881835938e+01
3.952137939453125000e+03,-3.609003448486328125e+01
4.012398681640625000e+03,-3.615011215209960938e+01
4.058815429687500000e+03,-3.619587707519531250e+01
4.088635009765625000e+03,-3.622499847412109375e+01
4.099104492187500000e+03,-3.622602462768554688e+01
4.112566894531250000e+03,-1.198544311523437500e+01
4.160336425781250000e+03,-1.144864654541015625e+01
4.206269531250000000e+03,-1.104960632324218750e+01
4.256778808593750000e+03,-1.064200592041015625e+01
4.311398437500000000e+03,-1.022882080078125000e+01
4.369663085937500000e+03,-9.813049316406250000e+00
4.431107421875000000e+03,-9.397674560546875000e+00
4.495266113281250000e+03,-8.985671997070312500e+00
4.561672851562500000e+03,-8.580039978027343750e+00
4.629862304687500000e+03,-8.183753967285156250e+00
4.699369628906250000e+03,-7.799804687500000000e+00
4.769729003906250000e+03,-7.431175231933593750e+00
4.840474609375000000e+03,-7.080856323242187500e+00
4.911140625000000000e+03,-6.751831054687500000e+00
4.981262695312500000e+03,-6.447082519531250000e+00
5.050374023437500000e+03,-6.169593811035156250e+00
5.118010253906250000e+03,-5.922355651855468750e+00
