time[ms],[Ca2+]_i[μM]
1.746143717263869632e+00,5.130340531468391418e-02
2.061955098007850040e+00,5.130340531468391418e-02
2.377766478751830448e+00,5.130340531468391418e-02
2.693577874396972049e+00,5.130340531468391418e-02
3.009389240239791263e+00,5.130340531468391418e-02
3.325200576280288089e+00,5.130340531468391418e-02
3.641011971925429691e+00,5.130340531468391418e-02
3.956823367570571293e+00,5.130340531468391418e-02
4.272634763215712894e+00,5.130340531468391418e-02
4.588446158860854496e+00,5.130340531468391418e-02
4.904257554505996097e+00,5.130340531468391418e-02
5.220068950151137699e+00,5.130340531468391418e-02
5.535880345796279300e+00,5.130340531468391418e-02
5.851691741441420902e+00,5.130340531468391418e-02
6.167503137086562504e+00,5.130340531468391418e-02
6.483314294313125004e+00,5.130340531468391418e-02
6.799125928376845707e+00,5.130340531468391418e-02
7.114937085603408207e+00,5.130340531468391418e-02
7.430748719667128910e+00,5.130340531468391418e-02
7.746559876893691410e+00,5.130340531468391418e-02
8.062371510957412113e+00,5.130340531468391418e-02
8.378182668183974613e+00,5.130340531468391418e-02
8.693994302247695316e+00,5.130340531468391418e-02
9.009805459474257816e+00,5.130340531468391418e-02
9.325616616700820316e+00,5.130340531468391418e-02
9.641428250764541019e+00,5.130340531468391418e-02
9.957239407991103519e+00,5.130340531468391418e-02
1.027305056521766602e+01,5.130340531468391418e-02
1.058886267611854493e+01,5.130340531468391418e-02
1.090467383334510743e+01,5.130340531468391418e-02
1.122048499057166993e+01,5.130340531468391418e-02
1.153629614779823243e+01,5.130340531468391418e-02
1.185210825869911133e+01,5.130340531468391418e-02
1.216791941592567383e+01,5.130340531468391418e-02
1.248373057315223633e+01,5.130340531468391418e-02
1.279954173037879883e+01,5.130340531468391418e-02
1.311535384127967774e+01,5.130340531468391418e-02
1.343116499850624024e+01,5.130340531468391418e-02
1.374697615573280274e+01,5.130340531468391418e-02
1.406278731295936524e+01,5.130340531468391418e-02
1.437859847018592774e+01,5.130340531468391418e-02
1.469441058108680664e+01,5.130340531468391418e-02
1.501022173831336914e+01,5.130340531468391418e-02
1.532603289553993164e+01,5.130340531468391418e-02
1.564184405276649414e+01,5.130340531468391418e-02
1.595765616366737305e+01,5.130340531468391418e-02
1.627346732089393555e+01,5.130340531468391418e-02
1.658927847812049805e+01,5.130340531468391418e-02
1.690508963534706055e+01,5.130340531468391418e-02
1.722090174624793946e+01,5.130340531468391418e-02
1.753671290347450196e+01,5.130340531468391418e-02
1.785252406070106446e+01,5.130340531468391418e-02
1.816833521792762696e+01,5.130340531468391418e-02
1.848414637515418946e+01,5.130340531468391418e-02
1.879995753238075196e+01,5.130340531468391418e-02
1.911576868960731446e+01,5.130340531468391418e-02
1.943158175418250977e+01,5.130340531468391418e-02
1.974739291140907227e+01,5.130340531468391418e-02
2.006320406863563477e+01,5.130340531468391418e-02
2.037901522586219727e+01,5.130340531468391418e-02
2.069482638308875977e+01,5.130340531468391418e-02
2.101063754031532227e+01,5.130340531468391418e-02
2.132644869754188477e+01,5.130340531468391418e-02
2.164225985476844727e+01,5.130340531468391418e-02
2.195807291934364258e+01,5.130340531468391418e-02
2.227388407657020508e+01,5.130340531468391418e-02
2.258969523379676758e+01,5.130340531468391418e-02
2.290550639102333008e+01,5.130340531468391418e-02
2.322131754824989258e+01,5.130340531468391418e-02
2.353712870547645508e+01,5.130340531468391418e-02
2.385293986270301758e+01,5.130340531468391418e-02
2.416875101992958008e+01,5.130340531468391418e-02
2.448456217715614258e+01,5.130340531468391418e-02
2.480037524173133789e+01,5.130340531468391418e-02
2.511618639895790039e+01,5.130340531468391418e-02
2.543199755618446289e+01,5.130340531468391418e-02
2.574780871341102539e+01,5.130340531468391418e-02
2.606361987063758789e+01,5.130340531468391418e-02
2.637943102786415039e+01,5.130340531468391418e-02
2.669524218509071289e+01,5.130340531468391418e-02
2.701105334231727539e+01,5.130340531468391418e-02
2.732686640689247071e+01,5.130340531468391418e-02
2.764267756411903321e+01,5.130340531468391418e-02
2.795848872134559571e+01,5.130340531468391418e-02
2.827429987857215821e+01,5.130340531468391418e-02
2.859011103579872071e+01,5.130340531468391418e-02
2.890592219302528321e+01,5.130340531468391418e-02
2.922173335025184571e+01,5.130340531468391418e-02
2.953754450747840821e+01,5.130340531468391418e-02
2.985335566470497071e+01,5.130340531468391418e-02
3.016916872928016602e+01,5.130340531468391418e-02
3.048497988650672852e+01,5.130340531468391418e-02
3.080079104373329102e+01,5.130340531468391418e-02
3.111660220095985352e+01,5.130340531468391418e-02
3.143241335818641602e+01,5.130340531468391418e-02
3.174822451541297852e+01,5.130340531468391418e-02
3.206403567263954102e+01,5.130340531468391418e-02
3.237984682986610352e+01,5.130340531468391418e-02
3.269565989444129883e+01,5.130340531468391418e-02
3.301147105166786133e+01,5.130340531468391418e-02
3.332728220889442383e+01,5.130340531468391418e-02
3.364309336612098633e+01,5.130340531468391418e-02
3.395890452334754883e+01,5.130340531468391418e-02
3.427471568057411133e+01,5.130340531468391418e-02
3.459052683780067383e+01,5.130340531468391418e-02
3.490633799502723633e+01,5.130340531468391418e-02
3.522214915225379883e+01,5.130340531468391418e-02
3.553796030948036133e+01,5.130340531468391418e-02
3.585377146670692383e+01,5.130340531468391418e-02
3.616958262393348633e+01,5.130340531468391418e-02
3.648539378116004883e+01,5.130340531468391418e-02
3.680120875308387696e+01,5.130340531468391418e-02
3.711701991031043946e+01,5.130340531468391418e-02
3.743283106753700196e+01,5.130340531468391418e-02
3.774864222476356446e+01,5.130340531468391418e-02
3.806445338199012696e+01,5.130340531468391418e-02
