time[ms],[Ca2+]_i[mM]
-1.835853127248204819e-01,1.363129240703398193e-01
1.422398516819258496e-01,1.361823745420482901e-01
4.680650160886758449e-01,1.360518250137567609e-01
7.938901804954221486e-01,1.359212754854652039e-01
1.119715344902168397e+00,1.357907259571736747e-01
1.445540509308918420e+00,1.356601764288821177e-01
1.771365673715664890e+00,1.355296269005909771e-01
2.097190838122414913e+00,1.353990773722994478e-01
2.423016002529161383e+00,1.352685278440078909e-01
2.748841166935911406e+00,1.351379783157163617e-01
3.074666331402512665e+00,1.350074287937090556e-01
3.400491495894484295e+00,1.348768792743643974e-01
3.726316660386455926e+00,1.347463297550197669e-01
4.052141824878427556e+00,1.346157802356754973e-01
4.377966989370396078e+00,1.344852307163308669e-01
4.703792153862367265e+00,1.343546811969866250e-01
5.029617318354339339e+00,1.342241316776419668e-01
5.355442482846311414e+00,1.340935821582973364e-01
5.681267647338279048e+00,1.339630326389530668e-01
6.007092811657789966e+00,1.338324831015029470e-01
6.332917975723646009e+00,1.337019335374234341e-01
6.658743139789501164e+00,1.335713839733435326e-01
6.984568303855357208e+00,1.334408344092640197e-01
7.310393467921212363e+00,1.333102848451845068e-01
7.636218631987068406e+00,1.331797352811049939e-01
7.962043796052928002e+00,1.330491857170250924e-01
8.287868960118784045e+00,1.329186361529455795e-01
8.613694124184640089e+00,1.327880865888660666e-01
8.939519288341765346e+00,1.326575370343684723e-01
9.265344453259849899e+00,1.325269875597590852e-01
9.591169618177934453e+00,1.323964380851496980e-01
9.916994783096019006e+00,1.322658886105403386e-01
1.024281994801410178e+01,1.321353391359309515e-01
1.056864511293218634e+01,1.320047896613215643e-01
1.089447027785027444e+01,1.318742401867121772e-01
1.122029544276835722e+01,1.317436907121028178e-01
1.154612060768644177e+01,1.316131412374934306e-01
1.187194577260452277e+01,1.314825917628840435e-01
1.219777093683276625e+01,1.313520422158523937e-01
1.252359610089862230e+01,1.312214926517724922e-01
1.284942126496447656e+01,1.310909430876929793e-01
1.317524642903033261e+01,1.309603935236134664e-01
1.350107159309619220e+01,1.308298439595339258e-01
1.382689675716204825e+01,1.306992943954540520e-01
1.415272192122790429e+01,1.305687448313745114e-01
1.447854708529376033e+01,1.304381952672949985e-01
1.480437224935961993e+01,1.303076457032154856e-01
1.513019741342547064e+01,1.301770961391355841e-01
1.545602257749132669e+01,1.300465465750560712e-01
1.578184774155718628e+01,1.299159970109765583e-01
1.610767290562304055e+01,1.297854474468970454e-01
1.643349806968889837e+01,1.296548978828171439e-01
1.675932323375475264e+01,1.295243483187376310e-01
1.708514839782061046e+01,1.293937987546581181e-01
1.741097356188646472e+01,1.292632491905785774e-01
1.773679872595231899e+01,1.291326996264986759e-01
1.806262389020071879e+01,1.290021500815830280e-01
1.838844905511880512e+01,1.288716006069736408e-01
1.871427422003688790e+01,1.287410511323642814e-01
1.904009938495497423e+01,1.286105016577548943e-01
1.936592454987305345e+01,1.284799521831455071e-01
1.969174971479114333e+01,1.283494027085361200e-01
2.001757487970922966e+01,1.282188532339267328e-01
2.034340004462730889e+01,1.280883037593173734e-01
2.066922520954539877e+01,1.279577542847079863e-01
2.099505037446348510e+01,1.278272048100985991e-01
2.132087553860045048e+01,1.276966552534850030e-01
2.164670070266630830e+01,1.275661056894054901e-01
2.197252586673216967e+01,1.274355561253259772e-01
2.229835103079801684e+01,1.273050065612460757e-01
2.262417619486388176e+01,1.271744569971665628e-01
2.295000135892972892e+01,1.270439074330870499e-01
2.327582652299559385e+01,1.269133578690075370e-01
2.360165168706144811e+01,1.267828083049276355e-01
2.392747685112730593e+01,1.266522587408481226e-01
2.425330201519316020e+01,1.265217091767686097e-01
2.457912717925901447e+01,1.263911596126890968e-01
2.490495234332487229e+01,1.262606100486091953e-01
2.523077750739072656e+01,1.261300604845296547e-01
2.555660267145658437e+01,1.259995109204501418e-01
2.588242783552244575e+01,1.258689613563706289e-01
2.620825299958830001e+01,1.257384117922907274e-01
2.653407816365415783e+01,1.256078622282112145e-01
2.685990332772001210e+01,1.254773126641317016e-01
2.718572849205968112e+01,1.253467631287979722e-01
2.751155365697776034e+01,1.252162136541885851e-01
2.783737882189585022e+01,1.250856641795791979e-01
2.816320398681392945e+01,1.249551147049698246e-01
2.848902915173201933e+01,1.248245652303604514e-01
2.881485431665010566e+01,1.246940157557510642e-01
2.914067948156818488e+01,1.245634662811416910e-01
2.946650464648627477e+01,1.244329168065323038e-01
2.979232981140436110e+01,1.243023673319229305e-01
3.011815497630228933e+01,1.241718178551975416e-01
3.044398014036814359e+01,1.240412682911176401e-01
3.076980530443399786e+01,1.239107187270381272e-01
3.109563046849985568e+01,1.237801691629586143e-01
3.142145563256570995e+01,1.236496195988791014e-01
3.174728079663156777e+01,1.235190700347991999e-01
3.207310596069742559e+01,1.233885204707196731e-01
3.239893112476328696e+01,1.232579709066401602e-01
3.272475628882914123e+01,1.231274213425606473e-01
3.305058145289499549e+01,1.229968717784811344e-01
3.337640661757958327e+01,1.228663222793583421e-01
3.370223178249766249e+01,1.227357728047489688e-01
3.402805694741575593e+01,1.226052233301395816e-01
3.435388211233384226e+01,1.224746738555302084e-01
3.467970727725192148e+01,1.223441243809208212e-01
3.500553244217000071e+01,1.222135749063114479e-01
3.533135760708807993e+01,1.220830254317020608e-01
3.565718277200617337e+01,1.219524759570926875e-01
3.598300793692425259e+01,1.218219264824833004e-01
3.630883310147726917e+01,1.216913769695465858e-01
3.663465826554311633e+01,1.215608274054670729e-01
3.696048342960897770e+01,1.214302778413875600e-01
3.728630859367482486e+01,1.212997282773080332e-01
3.761213375774069334e+01,1.211691787132281456e-01
3.793795892180654050e+01,1.210386291491486188e-01
3.826378408587240187e+01,1.209080795850691059e-01
3.858960924993824904e+01,1.207775300209895930e-01
3.891543441400411041e+01,1.206469804569096915e-01
3.924125957806997889e+01,1.205164308928301786e-01
3.956708474213582605e+01,1.203858813287506518e-01
3.989290990620168742e+01,1.202553317646711389e-01
4.021873507026753458e+01,1.201247822005912375e-01
4.054456023433339595e+01,1.199942326365117246e-01
4.087038539839925022e+01,1.198636830724322117e-01
4.119621056246511159e+01,1.197331335083526849e-01
4.152203572653097297e+01,1.196025839442727834e-01
4.184786089059682013e+01,1.194720343801932705e-01
4.217368605466268860e+01,1.193414848161137576e-01
4.249951121943853138e+01,1.192109353265728977e-01
4.282533638435662482e+01,1.190803858519635244e-01
4.315116154927471115e+01,1.189498363773541373e-01
4.347698671419279037e+01,1.188192869027447640e-01
4.380281187911088381e+01,1.186887374281353769e-01
4.412863704402896303e+01,1.185581879535260036e-01
4.445446220894704226e+01,1.184276384789166164e-01
4.478028737386512148e+01,1.182970890043072432e-01
4.510611253878322202e+01,1.181665395296978560e-01
4.543193770324495517e+01,1.180359900071795975e-01
4.575776286731081655e+01,1.179054404431000846e-01
4.608358803137666371e+01,1.177748908790201832e-01
4.640941319544251087e+01,1.176443413149406703e-01
4.673523835950837224e+01,1.175137917508611574e-01
4.706106352357424072e+01,1.173832421867816306e-01
4.738688868764008788e+01,1.172526926227017291e-01
4.771271385170593504e+01,1.171221430586222162e-01
4.803853901577179641e+01,1.169915934945427033e-01
4.836450856190755587e+01,1.168874109148318879e-01
4.869094077642535723e+01,1.168677206131879531e-01
4.901572048190975295e+01,1.170636209412689865e-01
4.933546873339550842e+01,1.174683741969779760e-01
4.964491532858806266e+01,1.181251933744847799e-01
4.993648384194220569e+01,1.190637746995581170e-01
5.020174168648395607e+01,1.202874391599088877e-01
5.043375138444535821e+01,1.217693727923349345e-01
5.062896720580104670e+01,1.234615839600943926e-01
5.078754705409608761e+01,1.253097980915262588e-01
5.091114777784239465e+01,1.272682729551636860e-01
5.100380604527420303e+01,1.292976805139666729e-01
5.107174491410082595e+01,1.313677722508786450e-01
5.111885166978268558e+01,1.334621889017909291e-01
5.114868699828371490e+01,1.355700980585209381e-01
5.116433265381697737e+01,1.376846269468859907e-01
5.117442272777005030e+01,1.398008425328633730e-01
5.118426141417058517e+01,1.419171129015840138e-01
5.119410010057112004e+01,1.440333832703046824e-01
5.120393878697165491e+01,1.461496536390253509e-01
5.121377747337218977e+01,1.482659240077460194e-01
5.122361615977272464e+01,1.503821943764666602e-01
5.123345484617325951e+01,1.524984647451873288e-01
5.124329353257379438e+01,1.546147351139079973e-01
5.125313221897433635e+01,1.567310054826286381e-01
5.126297090537487122e+01,1.588472758513489180e-01
5.127280959177540609e+01,1.609635462200695866e-01
5.128264827817594096e+01,1.630798165887902551e-01
5.129248696457647583e+01,1.651960869575108959e-01
5.130232565097701070e+01,1.673123573262315644e-01
5.131216433737754556e+01,1.694286276949522330e-01
5.132200302377808043e+01,1.715448980636728737e-01
5.133184171017861530e+01,1.736611684323935423e-01
5.134168039657915017e+01,1.757774388011142108e-01
5.135151908297968504e+01,1.778937091698348516e-01
5.136135776938021991e+01,1.800099795385555201e-01
5.137119645578075477e+01,1.821262499072758001e-01
5.138103514218128964e+01,1.842425202759964686e-01
5.139087382858183162e+01,1.863587906447171094e-01
5.140071251498236649e+01,1.884750610134377780e-01
5.141055120138290135e+01,1.905913313821584465e-01
5.142038988778343622e+01,1.927076017508790873e-01
5.143022857418397109e+01,1.948238721195997558e-01
5.144006726058450596e+01,1.969401424883204244e-01
5.145324038045092863e+01,1.990556066512806921e-01
5.146772353052886473e+01,2.011707540726072607e-01
5.148220668060682215e+01,2.032859014939342179e-01
5.149668983068475825e+01,2.054010489152607866e-01
5.151117298076269435e+01,2.075161963365877438e-01
5.152565613084065177e+01,2.096313437579143124e-01
5.154013928091858787e+01,2.117464911792412696e-01
5.155462243099653108e+01,2.138616386005678105e-01
5.156910558107448139e+01,2.159767860218943791e-01
5.158358873115241749e+01,2.180919334432213363e-01
5.159807188123036070e+01,2.202070808645479050e-01
5.161255503130831102e+01,2.223222282858748622e-01
5.162703818138624712e+01,2.244373757072018194e-01
5.164152133146419033e+01,2.265525231285283880e-01
5.165600448154214064e+01,2.286676705498549567e-01
5.167048763162008385e+01,2.307828179711818861e-01
5.168497078169801995e+01,2.328979653925084548e-01
5.169945393177597026e+01,2.350131128138354120e-01
5.171393708185391347e+01,2.371282602351619806e-01
5.172842023193184957e+01,2.392434076564889378e-01
5.174290338200979988e+01,2.413585550778155064e-01
5.175738653208774309e+01,2.434737024991424359e-01
5.177186968216567919e+01,2.455888499204690045e-01
5.178635283224361530e+01,2.477039973417959617e-01
5.180083598232157271e+01,2.498191447631225304e-01
5.181531913239950882e+01,2.519342921844494598e-01
5.182980228247745202e+01,2.540494396057760285e-01
5.184428543255540234e+01,2.561645870271029857e-01
5.186094636821156456e+01,2.582790028908252822e-01
5.188023274592850953e+01,2.603925368210264213e-01
5.189951912364545450e+01,2.625060707512275604e-01
5.191880550136239947e+01,2.646196046814286440e-01
5.193809187907934444e+01,2.667331386116297831e-01
5.195737825679628941e+01,2.688466725418309222e-01
5.197666463451323438e+01,2.709602064720320613e-01
5.199595101223017934e+01,2.730737404022328119e-01
5.201523738994712431e+01,2.751872743324339510e-01
5.203452376766404797e+01,2.773008082626350346e-01
5.205381014538099294e+01,2.794143421928361737e-01
