time[ms],[Ca2+]_i[μM]
6.972105265974001043e+00,1.776030063629150391e-01
7.235673443793253057e+00,1.775150150060653687e-01
7.499241636513666265e+00,1.774270385503768921e-01
7.762809799431757085e+00,1.773390620946884155e-01
8.026378021954492681e+00,1.772510856389999390e-01
8.289946184872583501e+00,1.771630942821502686e-01
8.553514347790674321e+00,1.770751178264617920e-01
8.817082510708765142e+00,1.769871413707733154e-01
9.080766902684167974e+00,1.769186109304428101e-01
9.344547019719080083e+00,1.768660694360733032e-01
9.608327136753992193e+00,1.768135279417037964e-01
9.872107015370325200e+00,1.767610013484954834e-01
1.013588713240523731e+01,1.767084598541259766e-01
1.039966701102157032e+01,1.766559183597564697e-01
1.066344712805648243e+01,1.766033768653869629e-01
1.092722700667281543e+01,1.765508502721786499e-01
1.119104813170333301e+01,1.765113323926925659e-01
1.145492600035567676e+01,1.764899045228958130e-01
1.171880386900802051e+01,1.764684617519378662e-01
1.198268173766036426e+01,1.764470338821411133e-01
1.224655912947554981e+01,1.764256060123443604e-01
1.251043699812789356e+01,1.764041632413864136e-01
1.277431486678023731e+01,1.763827353715896606e-01
1.303819273543258106e+01,1.763612926006317139e-01
1.330207060408492481e+01,1.763398647308349609e-01
1.356596087050338184e+01,1.763390600681304932e-01
1.382985590529342090e+01,1.763464361429214478e-01
1.409375094008345997e+01,1.763538122177124023e-01
1.435764597487349903e+01,1.763611733913421631e-01
1.462154100966353809e+01,1.763685494661331177e-01
1.488543604445357715e+01,1.763759255409240723e-01
1.514933107924361622e+01,1.763832867145538330e-01
1.541322611403365528e+01,1.763906627893447876e-01
1.567712114882369434e+01,1.763980388641357422e-01
1.594098852705855762e+01,1.764204800128936768e-01
1.620483397078414356e+01,1.764553785324096680e-01
1.646868036818404590e+01,1.764902770519256592e-01
1.673252581190963184e+01,1.765251755714416504e-01
1.699637125563521778e+01,1.765600740909576416e-01
1.726021669936080372e+01,1.765949726104736328e-01
1.752406214308638965e+01,1.766298860311508179e-01
1.778790758681197559e+01,1.766647845506668091e-01
1.805175303053756153e+01,1.766996830701828003e-01
1.831559656691451465e+01,1.767351329326629639e-01
1.857932852339644825e+01,1.767975986003875732e-01
1.884305952620406543e+01,1.768600642681121826e-01
1.910679148268599903e+01,1.769225299358367920e-01
