time[ms],voltage[mV]
6.774716602086023443e+00,-4.258860015869140625e+01
7.083190770267442815e+00,-4.256654739379882812e+01
7.391575293063120000e+00,-4.254343414306640625e+01
7.699866817711786382e+00,-4.251924896240234375e+01
8.008102999447778814e+00,-4.249447250366210938e+01
8.316231594799951665e+00,-4.246854019165039062e+01
8.624360190152124517e+00,-4.244260787963867188e+01
8.932368264912561528e+00,-4.241547393798828125e+01
9.240308986424402349e+00,-4.238766098022460938e+01
9.548249469517664068e+00,-4.235985183715820312e+01
9.856125818013147466e+00,-4.233143997192382812e+01
1.016384862494368946e+01,-4.230159759521484375e+01
1.047157119345565235e+01,-4.227175903320312500e+01
1.077929400038619434e+01,-4.224191665649414062e+01
1.108692644667525684e+01,-4.221129226684570312e+01
1.139439676833053028e+01,-4.217926025390625000e+01
1.170186661314864551e+01,-4.214722824096679688e+01
1.200933693480391895e+01,-4.211519622802734375e+01
1.231680677962203418e+01,-4.208316421508789062e+01
1.262401722502608692e+01,-4.204903793334960938e+01
1.293119333815474903e+01,-4.201462936401367188e+01
1.323836945128341114e+01,-4.198022460937500000e+01
1.354554508757491504e+01,-4.194581985473632812e+01
1.385272120070357715e+01,-4.191141510009765625e+01
1.415957830977340137e+01,-4.187461853027343750e+01
1.446641062331099903e+01,-4.183763122558593750e+01
1.477324293684859668e+01,-4.180064773559570312e+01
1.508007525038619434e+01,-4.176366424560546875e+01
1.538690756392379200e+01,-4.172668075561523438e+01
1.569352053236861622e+01,-4.168816375732421875e+01
1.599994944167037403e+01,-4.164837265014648438e+01
1.630637835097213184e+01,-4.160857772827148438e+01
1.661280726027388965e+01,-4.156878280639648438e+01
1.691923616957564747e+01,-4.152898788452148438e+01
1.722566507887740528e+01,-4.148919677734375000e+01
1.753171728682418262e+01,-4.144696807861328125e+01
1.783767031264205372e+01,-4.140409851074218750e+01
1.814362429213424122e+01,-4.136123275756835938e+01
1.844957731795211231e+01,-4.131836318969726562e+01
1.875553034376998340e+01,-4.127549743652343750e+01
1.906148432326217090e+01,-4.123262786865234375e+01
1.936703108382125293e+01,-4.118732833862304688e+01
1.967242048811812793e+01,-4.114108657836914062e+01
1.997780989241500293e+01,-4.109484481811523438e+01
2.028319929671187793e+01,-4.104860305786132812e+01
2.058858870100875293e+01,-4.100236129760742188e+01
2.089397810530562793e+01,-4.095611953735351562e+01
2.119910906386275684e+01,-4.090844345092773438e+01
2.150382612776656543e+01,-4.085847854614257812e+01
2.180854319167037403e+01,-4.080851745605468750e+01
2.211326025557418262e+01,-4.075855636596679688e+01
2.241797731947799122e+01,-4.070859527587890625e+01
2.272269438338179981e+01,-4.065863418579101562e+01
2.302741049361129200e+01,-4.060866928100585938e+01
2.333144949507613575e+01,-4.055524826049804688e+01
2.363535879683394825e+01,-4.050116729736328125e+01
2.393927000594039356e+01,-4.044708633422851562e+01
2.424317930769820606e+01,-4.039300537109375000e+01
2.454708860945601856e+01,-4.033892440795898438e+01
2.485099981856246387e+01,-4.028484344482421875e+01
2.515477369856734668e+01,-4.023012542724609375e+01
2.545770643782515918e+01,-4.017146301269531250e+01
2.576064108443160450e+01,-4.011280059814453125e+01
2.606357573103804981e+01,-4.005413818359375000e+01
2.636651037764449512e+01,-3.999547576904296875e+01
2.666944311690230762e+01,-3.993681335449218750e+01
2.697237776350875293e+01,-3.987815475463867188e+01
2.727491377425094043e+01,-3.981777572631835938e+01
2.757665823531051075e+01,-3.975399017333984375e+01
2.787840460371871387e+01,-3.969020843505859375e+01
2.818014906477828418e+01,-3.962642288208007812e+01
2.848189352583785450e+01,-3.956263732910156250e+01
2.878363798689742481e+01,-3.949885177612304688e+01
2.908538435530562793e+01,-3.943507003784179688e+01
2.938654135298629200e+01,-3.936895370483398438e+01
2.968705748152633106e+01,-3.930029678344726562e+01
2.998757361006637012e+01,-3.923163986206054688e+01
3.028758429121871387e+01,-3.916110610961914062e+01
3.058705519270797168e+01,-3.908857345581054688e+01
3.088652418684859668e+01,-3.901603698730468750e+01
3.118555067610640918e+01,-3.894193649291992188e+01
3.148403929304976856e+01,-3.886595916748046875e+01
3.178252981734176075e+01,-3.878998184204101562e+01
3.208065413069625293e+01,-3.871277618408203125e+01
3.237823294234176075e+01,-3.863373947143554688e+01
3.267580984663863575e+01,-3.855470275878906250e+01
3.297310064864058887e+01,-3.847473907470703125e+01
3.326983450484176075e+01,-3.839298248291015625e+01
3.356656836104293262e+01,-3.831122207641601562e+01
3.386308477949996387e+01,-3.822878265380859375e+01
3.415904043745894825e+01,-3.814459991455078125e+01
3.445499609541793262e+01,-3.806041717529296875e+01
3.475078199934859668e+01,-3.797572326660156250e+01
3.504602812361617481e+01,-3.788938903808593750e+01
3.534127234053512012e+01,-3.780305480957031250e+01
3.563637159895797168e+01,-3.771629714965820312e+01
3.593097113203902637e+01,-3.762805938720703125e+01
3.622557066512008106e+01,-3.753982543945312500e+01
3.652002333235640918e+01,-3.745116806030273438e+01
3.681404303145308887e+01,-3.736125946044921875e+01
3.710806082320113575e+01,-3.727135086059570312e+01
3.740190886092086231e+01,-3.718095779418945312e+01
3.769541548323531543e+01,-3.708959960937500000e+01
3.798892210554976856e+01,-3.699824523925781250e+01
3.828221129012008106e+01,-3.690628433227539062e+01
3.857527350020308887e+01,-3.681369400024414062e+01
3.886833571028609668e+01,-3.672109985351562500e+01
3.916112898421187793e+01,-3.662776947021484375e+01
3.945381926131148731e+01,-3.653415679931640625e+01
3.974649427962203418e+01,-3.644050216674804688e+01
4.003889082503219043e+01,-3.634609222412109375e+01
4.033129118513961231e+01,-3.625168228149414062e+01
4.062358473372359668e+01,-3.615699768066406250e+01
4.091577147078414356e+01,-3.606202697753906250e+01
4.120795439314742481e+01,-3.596703720092773438e+01
4.150003431868453418e+01,-3.587177658081054688e+01
4.179211424422164356e+01,-3.577651214599609375e+01
4.208419798445601856e+01,-3.568125915527343750e+01
4.237628172469039356e+01,-3.558600616455078125e+01
4.266459272932906543e+01,-3.548152542114257812e+01
4.295035170149703418e+01,-3.537080001831054688e+01
4.323611448836226856e+01,-3.526007461547851562e+01
4.352187346053023731e+01,-3.514934921264648438e+01
4.380763243269820606e+01,-3.503862380981445312e+01
4.409339521956344043e+01,-3.492789840698242188e+01
4.437915419173140918e+01,-3.481717300415039062e+01
4.466491697859664356e+01,-3.470644760131835938e+01
4.493647764754195606e+01,-3.456874084472656250e+01
4.520490263533492481e+01,-3.442507553100585938e+01
4.547333143782515918e+01,-3.428141021728515625e+01
4.574175642561812793e+01,-3.413774871826171875e+01
4.601018141341109668e+01,-3.399408340454101562e+01
4.627861021590133106e+01,-3.385041809082031250e+01
4.654703520369429981e+01,-3.370675277709960938e+01
4.680138777327437793e+01,-3.354343032836914062e+01
4.704606627058883106e+01,-3.336660385131835938e+01
4.729074858260054981e+01,-3.318977737426757812e+01
4.753542707991500293e+01,-3.301295089721679688e+01
4.778010557722945606e+01,-3.283612442016601562e+01
4.802478788924117481e+01,-3.265929412841796875e+01
4.826946638655562793e+01,-3.248246765136718750e+01
4.849277494978804981e+01,-3.228332138061523438e+01
4.870818327498336231e+01,-3.207591629028320312e+01
4.892358778548140918e+01,-3.186851119995117188e+01
4.913899229597945606e+01,-3.166110610961914062e+01
4.935439680647750293e+01,-3.145370292663574219e+01
4.956980131697554981e+01,-3.124629783630371094e+01
4.978385542464156543e+01,-3.103782463073730469e+01
4.996681974959273731e+01,-3.080482482910156250e+01
5.014978788924117481e+01,-3.057182502746582031e+01
5.033275221419234668e+01,-3.033882522583007812e+01
5.051572035384078418e+01,-3.010582542419433594e+01
5.069868849348922168e+01,-2.987282562255859375e+01
5.088165281844039356e+01,-2.963982772827148438e+01
5.105322264265914356e+01,-2.939999961853027344e+01
5.120362852644820606e+01,-2.914749717712402344e+01
5.135403059554000293e+01,-2.889499473571777344e+01
5.150443647932906543e+01,-2.864249038696289062e+01
5.165484236311812793e+01,-2.838998794555664062e+01
5.180524824690719043e+01,-2.813748550415039062e+01
5.195565031599898731e+01,-2.788498306274414062e+01
5.209099958968062793e+01,-2.762562370300292969e+01
5.221134184431929981e+01,-2.735943412780761719e+01
5.233168409895797168e+01,-2.709324264526367188e+01
5.245202635359664356e+01,-2.682705116271972656e+01
5.257236860823531543e+01,-2.656085968017578125e+01
5.269270704817672168e+01,-2.629467010498046875e+01
5.281304930281539356e+01,-2.602847862243652344e+01
5.292377470564742481e+01,-2.575895881652832031e+01
5.301814268660445606e+01,-2.548378372192382812e+01
5.311251066756148731e+01,-2.520860671997070312e+01
5.320688246321578418e+01,-2.493342971801757812e+01
5.330125044417281543e+01,-2.465825271606445312e+01
5.339561842512984668e+01,-2.438307762145996094e+01
5.348998640608687793e+01,-2.410790061950683594e+01
5.358435820174117481e+01,-2.383272361755371094e+01
5.366027449202437793e+01,-2.355270004272460938e+01
5.373333357405562793e+01,-2.327192687988281250e+01
5.380639265608687793e+01,-2.299115180969238281e+01
5.387945555281539356e+01,-2.271037864685058594e+01
5.395251463484664356e+01,-2.242960357666015625e+01
