time[ms],[Ca2+]_i[mM]
5.019048577141674627e+00,1.553312242031097412e-01
5.352800672840984930e+00,1.551835536956787109e-01
5.686552768540295233e+00,1.550358831882476807e-01
6.020304834437283148e+00,1.548881977796554565e-01
6.354056930136593451e+00,1.547405272722244263e-01
6.687809085440548529e+00,1.545928567647933960e-01
7.021561121535214056e+00,1.544451862573623657e-01
7.355313276839169134e+00,1.542975008487701416e-01
7.689065432143124212e+00,1.541498303413391113e-01
8.022817349028500189e+00,1.540021598339080811e-01
8.356569504332455267e+00,1.538544893264770508e-01
8.690321659636410345e+00,1.537068188190460205e-01
9.024073576521786322e+00,1.535591334104537964e-01
9.357825731825741400e+00,1.534114629030227661e-01
9.691577887129696478e+00,1.532637923955917358e-01
1.002533004243365156e+01,1.531161218881607056e-01
1.035908219773760663e+01,1.529684364795684814e-01
1.069283435304156171e+01,1.528207659721374512e-01
1.102658603150835859e+01,1.526730954647064209e-01
1.136033818681231367e+01,1.525254249572753906e-01
1.169409034211626874e+01,1.523777544498443604e-01
1.202784249742022382e+01,1.522300690412521362e-01
1.236159465272417890e+01,1.520823985338211060e-01
1.269534680802813398e+01,1.519347280263900757e-01
1.302909896333208906e+01,1.517870575189590454e-01
1.336285111863604413e+01,1.516393870115280151e-01
1.369660279710284101e+01,1.514917165040969849e-01
1.403035542924395429e+01,1.513440310955047607e-01
1.436410710771075117e+01,1.511963605880737305e-01
1.469785973985186445e+01,1.510486900806427002e-01
1.503161141831866132e+01,1.509010195732116699e-01
1.536536309678545820e+01,1.507533341646194458e-01
1.569911572892657148e+01,1.506056636571884155e-01
1.603286740739336835e+01,1.504579931497573853e-01
1.636662003953448163e+01,1.503103226423263550e-01
1.670037171800127851e+01,1.501626372337341309e-01
1.703412435014239179e+01,1.500149667263031006e-01
1.736787602860918867e+01,1.498672962188720703e-01
1.770162770707598554e+01,1.497196257114410400e-01
1.803538033921709882e+01,1.495719552040100098e-01
1.836913201768389570e+01,1.494242697954177856e-01
1.870288464982500898e+01,1.492765992879867554e-01
1.903663632829180585e+01,1.491289287805557251e-01
1.937038896043291913e+01,1.489812582731246948e-01
1.970414063889971601e+01,1.488335728645324707e-01
2.003789327104082929e+01,1.486859023571014404e-01
2.037164494950762617e+01,1.485382318496704102e-01
2.070539662797442304e+01,1.483905613422393799e-01
2.103914926011553632e+01,1.482428759336471558e-01
2.137290093858233320e+01,1.480952054262161255e-01
2.170665261704913007e+01,1.479475349187850952e-01
2.204040620286455976e+01,1.477998644113540649e-01
2.237415788133135663e+01,1.476521790027618408e-01
2.270790955979815351e+01,1.475045084953308105e-01
2.304166123826495038e+01,1.473568379878997803e-01
2.337541291673174726e+01,1.472091674804687500e-01
2.370916650254717695e+01,1.470614969730377197e-01
2.404291818101397382e+01,1.469138115644454956e-01
2.437666985948077070e+01,1.467661410570144653e-01
2.471042153794756757e+01,1.466184705495834351e-01
2.504417512376299726e+01,1.464708000421524048e-01
2.537792680222979413e+01,1.463231295347213745e-01
2.571167848069659101e+01,1.461754441261291504e-01
2.604543015916338788e+01,1.460277736186981201e-01
2.637918183763018476e+01,1.458801031112670898e-01
2.671293542344561445e+01,1.457324326038360596e-01
2.704668710191241132e+01,1.455847620964050293e-01
2.738043878037920820e+01,1.454370915889739990e-01
2.771419045884600507e+01,1.452894061803817749e-01
2.804794404466143476e+01,1.451417356729507446e-01
2.838169572312823163e+01,1.449940651655197144e-01
2.871544740159502851e+01,1.448463946580886841e-01
2.904919908006182538e+01,1.446987092494964600e-01
2.938295075852862226e+01,1.445510387420654297e-01
2.971670434434405195e+01,1.444033682346343994e-01
3.005045602281084882e+01,1.442556977272033691e-01
3.038420770127764570e+01,1.441080123186111450e-01
3.071795937974444257e+01,1.439603418111801147e-01
3.105171105821123945e+01,1.438126713037490845e-01
3.138546464402666913e+01,1.436650007963180542e-01
3.171921632249346601e+01,1.435173153877258301e-01
3.205296800096026288e+01,1.433696448802947998e-01
3.238671967942705976e+01,1.432219743728637695e-01
3.272047326524248945e+01,1.430743038654327393e-01
3.305422494370928632e+01,1.429266184568405151e-01
3.338797662217608320e+01,1.427789479494094849e-01
3.372172830064288007e+01,1.426312774419784546e-01
3.405547997910967695e+01,1.424836069345474243e-01
3.438923356492510663e+01,1.423359364271163940e-01
3.472298524339190351e+01,1.421882510185241699e-01
3.505673692185870038e+01,1.420405805110931396e-01
3.539048860032549726e+01,1.418929100036621094e-01
3.572424218614092695e+01,1.417452394962310791e-01
3.605799386460772382e+01,1.415975540876388550e-01
3.639174554307452070e+01,1.414498835802078247e-01
3.672549722154131757e+01,1.413022130727767944e-01
3.705924890000811445e+01,1.411545425653457642e-01
3.739300057847491132e+01,1.410068571567535400e-01
3.772675225694170820e+01,1.408591866493225098e-01
3.806050775010577070e+01,1.407115161418914795e-01
3.839425942857256757e+01,1.405638456344604492e-01
3.872801110703936445e+01,1.404161602258682251e-01
3.906176278550616132e+01,1.402684897184371948e-01
3.939551446397295820e+01,1.401208192110061646e-01
3.972926614243975507e+01,1.399731487035751343e-01
4.006301782090655195e+01,1.398254781961441040e-01
4.039676949937334882e+01,1.396777927875518799e-01
4.073052117784014570e+01,1.395301222801208496e-01
4.106427285630694257e+01,1.393824517726898193e-01
4.139802834947100507e+01,1.392347812652587891e-01
4.173178002793780195e+01,1.390871107578277588e-01
4.206553170640459882e+01,1.389394253492355347e-01
4.239928338487139570e+01,1.387917548418045044e-01
4.273303506333819257e+01,1.386440843343734741e-01
4.306678674180498945e+01,1.384964138269424438e-01
4.340053842027178632e+01,1.383487433195114136e-01
4.373429009873858320e+01,1.382010728120803833e-01
