voltage [mV],normalized current [1]
-9.005954742431640625e+01,-1.356253504753112793e+00
-8.945689392089843750e+01,-1.277740120887756348e+00
-8.892581939697265625e+01,-1.207262516021728516e+00
-8.845844268798828125e+01,-1.144003987312316895e+00
-8.804689788818359375e+01,-1.087147951126098633e+00
-8.768331909179687500e+01,-1.035877823829650879e+00
-8.735983276367187500e+01,-9.893768429756164551e-01
-8.706856536865234375e+01,-9.468284845352172852e-01
-8.680165100097656250e+01,-9.074160456657409668e-01
-8.655123138427734375e+01,-8.703228831291198730e-01
-8.630941772460937500e+01,-8.347324132919311523e-01
-8.606835174560546875e+01,-7.998279929161071777e-01
-8.582015991210937500e+01,-7.647929191589355469e-01
-8.555697631835937500e+01,-7.288106083869934082e-01
-8.527093505859375000e+01,-6.910644173622131348e-01
-8.495415496826171875e+01,-6.507377028465270996e-01
-8.459877014160156250e+01,-6.070138812065124512e-01
-8.421157836914062500e+01,-5.603919625282287598e-01
-8.382206726074218750e+01,-5.134746432304382324e-01
-8.343051147460937500e+01,-4.663951396942138672e-01
-8.303590393066406250e+01,-4.191815853118896484e-01
-8.263722991943359375e+01,-3.718621730804443359e-01
-8.223347473144531250e+01,-3.244650363922119141e-01
-8.182361602783203125e+01,-2.770183086395263672e-01
-8.140666198730468750e+01,-2.295500040054321289e-01
-8.098158264160156250e+01,-1.820884943008422852e-01
-8.054737854003906250e+01,-1.346617937088012695e-01
-8.010301971435546875e+01,-8.729803562164306641e-02
-7.964751434326171875e+01,-4.002547264099121094e-02
-7.917984008789062500e+01,7.127881050109863281e-03
-7.869897460937500000e+01,5.413377285003662109e-02
-7.820392608642578125e+01,1.009640693664550781e-01
-7.769366455078125000e+01,1.475907564163208008e-01
-7.716719055175781250e+01,1.939854621887207031e-01
-7.662347412109375000e+01,2.401201725006103516e-01
-7.606152343750000000e+01,2.859667539596557617e-01
-7.548030853271484375e+01,3.314970731735229492e-01
-7.487882995605468750e+01,3.766828775405883789e-01
-7.425607299804687500e+01,4.214961528778076172e-01
-7.361101531982421875e+01,4.659086465835571289e-01
-7.294264984130859375e+01,5.098922252655029297e-01
-7.224996948242187500e+01,5.534188747406005859e-01
-7.151821899414062500e+01,5.972797870635986328e-01
-7.072489929199218750e+01,6.422853469848632812e-01
-6.986718750000000000e+01,6.873295307159423828e-01
-6.892929840087890625e+01,7.320218086242675781e-01
-6.789541625976562500e+01,7.759709358215332031e-01
-6.674975585937500000e+01,8.187856674194335938e-01
-6.547651672363281250e+01,8.600754737854003906e-01
-6.415963745117187500e+01,8.969764709472656250e-01
-6.273583602905273438e+01,9.308655261993408203e-01
-6.108570098876953125e+01,9.614818096160888672e-01
-5.918592453002929688e+01,9.855232238769531250e-01
-5.701319885253906250e+01,9.996874332427978516e-01
-5.454421234130859375e+01,1.000672101974487305e+00
-5.175565719604492188e+01,9.851746559143066406e-01
-4.862422561645507812e+01,9.498932361602783203e-01
-4.617675018310546875e+01,9.126780033111572266e-01
-4.442345046997070312e+01,8.857138156890869141e-01
-4.289758300781250000e+01,8.619921207427978516e-01
-4.145685577392578125e+01,8.387260437011718750e-01
-3.995898056030273438e+01,8.131291866302490234e-01
-3.826166915893554688e+01,7.824146747589111328e-01
-3.622262954711914062e+01,7.437961101531982422e-01
-3.369957733154296875e+01,6.944863796234130859e-01
-3.106203460693359375e+01,6.420788764953613281e-01
-2.918757629394531250e+01,6.059901714324951172e-01
-2.731114196777343750e+01,5.713133811950683594e-01
-2.542769622802734375e+01,5.377402305603027344e-01
-2.353221893310546875e+01,5.049614906311035156e-01
-2.161968994140625000e+01,4.726691246032714844e-01
-1.968508148193359375e+01,4.405541419982910156e-01
-1.771556091308593750e+01,4.082065820693969727e-01
-1.565134429931640625e+01,3.760857582092285156e-01
-1.352838897705078125e+01,3.456404209136962891e-01
-1.134961700439453125e+01,3.168267011642456055e-01
-9.117950439453125000e+00,2.896009683609008789e-01
-6.836326599121093750e+00,2.639193534851074219e-01
-4.507667541503906250e+00,2.397379875183105469e-01
-2.134902954101562500e+00,2.170132398605346680e-01
2.790451049804687500e-01,1.957013607025146484e-01
2.731246948242187500e+00,1.757583618164062500e-01
5.218772888183593750e+00,1.571406126022338867e-01
7.738700866699218750e+00,1.398042440414428711e-01
1.028810119628906250e+01,1.237056255340576172e-01
1.286404418945312500e+01,1.088008880615234375e-01
1.546360778808593750e+01,9.504616260528564453e-02
1.808386993408203125e+01,8.239781856536865234e-02
2.072188568115234375e+01,7.081198692321777344e-02
2.337474822998046875e+01,6.024491786956787109e-02
2.603951263427734375e+01,5.065274238586425781e-02
2.871325683593750000e+01,4.199182987213134766e-02
3.139306640625000000e+01,3.421843051910400391e-02
3.407600402832031250e+01,2.728855609893798828e-02
3.675914001464843750e+01,2.115845680236816406e-02
3.943955993652343750e+01,1.578450202941894531e-02
4.211431884765625000e+01,1.112282276153564453e-02
4.478050231933593750e+01,7.129669189453125000e-03
4.743518066406250000e+01,3.761291503906250000e-03
5.007542419433593750e+01,9.738206863403320312e-04
