voltage [mV],steady state [1]
-8.000000000000000000e+01,0.000000000000000000e+00
-7.609597778320312500e+01,4.848034295719116926e-04
-7.243054962158203125e+01,1.044755103066563606e-03
-6.899378967285156250e+01,1.699420856311917305e-03
-6.577578735351562500e+01,2.468366408720612526e-03
-6.276661682128906250e+01,3.371157450601458549e-03
-5.995636749267578125e+01,4.427359439432621002e-03
-5.733512115478515625e+01,5.656538996845483780e-03
-5.489295959472656250e+01,7.078260648995637894e-03
-5.261996841430664062e+01,8.712091483175754547e-03
-5.050622558593750000e+01,1.057759579271078110e-02
-4.854180908203125000e+01,1.269434019923210144e-02
-4.671681213378906250e+01,1.508189085870981216e-02
-4.502130889892578125e+01,1.775981299579143524e-02
-4.344538497924804688e+01,2.074767090380191803e-02
-4.197912216186523438e+01,2.406503260135650635e-02
-4.061260223388671875e+01,2.773146331310272217e-02
-3.933591079711914062e+01,3.176653012633323669e-02
-3.813912582397460938e+01,3.618979454040527344e-02
-3.701233291625976562e+01,4.102082550525665283e-02
-3.594561386108398438e+01,4.627918824553489685e-02
-3.492905044555664062e+01,5.198444798588752747e-02
-3.395272445678710938e+01,5.815616995096206665e-02
-3.300671768188476562e+01,6.481391936540603638e-02
-3.208111572265625000e+01,7.197726517915725708e-02
-3.116599655151367188e+01,7.966577261686325073e-02
-3.025144577026367188e+01,8.789900690317153931e-02
-2.932212829589843750e+01,9.674941003322601318e-02
-2.785087203979492188e+01,1.120234131813049316e-01
-2.650713729858398438e+01,1.277778148651123047e-01
-2.527853012084960938e+01,1.439662277698516846e-01
-2.415264511108398438e+01,1.605422645807266235e-01
-2.311708831787109375e+01,1.774594932794570923e-01
-2.215946197509765625e+01,1.946715414524078369e-01
-2.126736450195312500e+01,2.121320217847824097e-01
-2.042839813232421875e+01,2.297945022583007812e-01
-1.963016891479492188e+01,2.476126104593276978e-01
-1.886027145385742188e+01,2.655399441719055176e-01
-1.810631561279296875e+01,2.835300862789154053e-01
-1.735187149047851562e+01,3.016479909420013428e-01
-1.659231567382812500e+01,3.203227221965789795e-01
-1.585639190673828125e+01,3.390789628028869629e-01
-1.514173889160156250e+01,3.579066991806030273e-01
-1.444599151611328125e+01,3.767959475517272949e-01
-1.376678466796875000e+01,3.957366943359375000e-01
-1.310176849365234375e+01,4.147190153598785400e-01
-1.244857025146484375e+01,4.337328374385833740e-01
-1.180484008789062500e+01,4.527682363986968994e-01
-1.116819763183593750e+01,4.718151986598968506e-01
-1.053630065917968750e+01,4.908637106418609619e-01
-9.906784057617187500e+00,5.099037885665893555e-01
-9.277275085449218750e+00,5.289254784584045410e-01
-8.645431518554687500e+00,5.479187965393066406e-01
-8.008872985839843750e+00,5.668736696243286133e-01
-7.365242004394531250e+00,5.857801437377929688e-01
-6.712188720703125000e+00,6.046283245086669922e-01
-6.047340393066406250e+00,6.234080791473388672e-01
-5.368339538574218750e+00,6.421094536781311035e-01
-4.672821044921875000e+00,6.607224941253662109e-01
-3.958427429199218750e+00,6.792372465133666992e-01
-3.222801208496093750e+00,6.976436376571655273e-01
-2.463577270507812500e+00,7.159317135810852051e-01
-1.678390502929687500e+00,7.340914607048034668e-01
-8.648757934570312500e-01,7.521129250526428223e-01
-6.119537353515625000e-02,7.693575024604797363e-01
7.560424804687500000e-01,7.863997220993041992e-01
1.597106933593750000e+00,8.031908273696899414e-01
2.471717834472656250e+00,8.196700811386108398e-01
3.389610290527343750e+00,8.357767462730407715e-01
4.360504150390625000e+00,8.514502048492431641e-01
5.394126892089843750e+00,8.666296601295471191e-01
6.500198364257812500e+00,8.812544941902160645e-01
7.688453674316406250e+00,8.952639102935791016e-01
8.968612670898437500e+00,9.085972905158996582e-01
1.035041046142578125e+01,9.211938381195068359e-01
1.184355926513671875e+01,9.329929351806640625e-01
1.345778656005859375e+01,9.439338445663452148e-01
1.520282745361328125e+01,9.539558291435241699e-01
1.708840942382812500e+01,9.629982113838195801e-01
1.912424468994140625e+01,9.710003137588500977e-01
2.132006835937500000e+01,9.779013395309448242e-01
2.368560028076171875e+01,9.836406707763671875e-01
2.575074768066406250e+01,9.874802231788635254e-01
2.724152374267578125e+01,9.899545907974243164e-01
2.860357666015625000e+01,9.920138716697692871e-01
2.987446594238281250e+01,9.937005639076232910e-01
3.109175872802734375e+01,9.950571060180664062e-01
3.229300689697265625e+01,9.961260557174682617e-01
3.351578521728515625e+01,9.969499111175537109e-01
3.479764556884765625e+01,9.975711107254028320e-01
3.617615509033203125e+01,9.980322122573852539e-01
3.768888854980468750e+01,9.983757138252258301e-01
3.937339019775390625e+01,9.986440539360046387e-01
4.126722717285156250e+01,9.988798499107360840e-01
4.340797424316406250e+01,9.991254806518554688e-01
4.583317565917968750e+01,9.994235038757324219e-01
4.858041381835937500e+01,9.998163580894470215e-01
5.168724060058593750e+01,1.000346660614013672e+00
5.519120788574218750e+01,1.001056790351867676e+00
5.912991333007812500e+01,1.001989364624023438e+00
