time constant [ms],steady state [1]
-1.200000000000000000e+02,1.105061149597167969e+01
-1.178445281982421875e+02,1.191298007965087891e+01
-1.153148803710937500e+02,1.346092987060546875e+01
-1.126109237670898438e+02,1.553192615509033203e+01
-1.099325180053710938e+02,1.796343231201171875e+01
-1.076088027954101562e+02,2.044706535339355469e+01
-1.055581207275390625e+02,2.305726814270019531e+01
-1.034956817626953125e+02,2.607925224304199219e+01
-1.014330902099609375e+02,2.948193168640136719e+01
-9.938189697265625000e+01,3.323421859741210938e+01
-9.735369873046875000e+01,3.730503082275390625e+01
-9.536006164550781250e+01,4.166327667236328125e+01
-9.341256713867187500e+01,4.627787780761718750e+01
-9.152278900146484375e+01,5.111774063110351562e+01
-8.970230102539062500e+01,5.615178298950195312e+01
-8.796268463134765625e+01,6.134891510009765625e+01
-8.631552124023437500e+01,6.667805480957031250e+01
-8.477236938476562500e+01,7.210811614990234375e+01
-8.334482574462890625e+01,7.760801696777343750e+01
-8.204444885253906250e+01,8.314665985107421875e+01
-8.071211242675781250e+01,8.940901947021484375e+01
-7.934211730957031250e+01,9.599174499511718750e+01
-7.804740142822265625e+01,1.022966537475585938e+02
-7.681924438476562500e+01,1.083581924438476562e+02
-7.564892578125000000e+01,1.142108154296875000e+02
-7.452774047851562500e+01,1.198889846801757812e+02
-7.344697570800781250e+01,1.254271392822265625e+02
-7.239790344238281250e+01,1.308597564697265625e+02
-7.137181091308593750e+01,1.362212677001953125e+02
-7.035998535156250000e+01,1.415461425781250000e+02
-6.935372161865234375e+01,1.468688201904296875e+02
-6.834428405761718750e+01,1.522237701416015625e+02
-6.732296752929687500e+01,1.576454315185546875e+02
-6.628106689453125000e+01,1.631682739257812500e+02
-6.519950866699218750e+01,1.688811035156250000e+02
-6.332320785522460938e+01,1.781337738037109375e+02
-6.150779724121093750e+01,1.858315734863281250e+02
-5.974530410766601562e+01,1.920265197753906250e+02
-5.802774810791015625e+01,1.967706298828125000e+02
-5.634715270996093750e+01,2.001159515380859375e+02
-5.469554138183593750e+01,2.021144714355468750e+02
-5.306492614746093750e+01,2.028182220458984375e+02
-5.144734191894531250e+01,2.022792358398437500e+02
-4.983480834960937500e+01,2.005495147705078125e+02
-4.821934509277343750e+01,1.976811065673828125e+02
-4.659296417236328125e+01,1.937260131835937500e+02
-4.494770812988281250e+01,1.887362670898437500e+02
-4.327558135986328125e+01,1.827638702392578125e+02
-4.156861877441406250e+01,1.758608703613281250e+02
-3.997550201416015625e+01,1.688081512451171875e+02
-3.875636291503906250e+01,1.631856842041015625e+02
-3.755356597900390625e+01,1.575294189453125000e+02
-3.636209106445312500e+01,1.518490295410156250e+02
-3.517689514160156250e+01,1.461541290283203125e+02
-3.399294281005859375e+01,1.404544067382812500e+02
-3.280520629882812500e+01,1.347594757080078125e+02
-3.160864257812500000e+01,1.290790100097656250e+02
-3.039821624755859375e+01,1.234226455688476562e+02
-2.916889953613281250e+01,1.178000335693359375e+02
-2.791565704345703125e+01,1.122208251953125000e+02
-2.663345336914062500e+01,1.066946716308593750e+02
-2.531725311279296875e+01,1.012312164306640625e+02
-2.396202087402343750e+01,9.584011077880859375e+01
-2.256272125244140625e+01,9.053100585937500000e+01
-2.111431884765625000e+01,8.531355285644531250e+01
-1.961178588867187500e+01,8.019739532470703125e+01
-1.805007934570312500e+01,7.519218444824218750e+01
-1.642417144775390625e+01,7.030756378173828125e+01
-1.473246765136718750e+01,6.556207275390625000e+01
-1.303932189941406250e+01,6.107974243164062500e+01
-1.133459472656250000e+01,5.679880142211914062e+01
-9.610214233398437500e+00,5.271444702148437500e+01
-7.858108520507812500e+00,4.882187652587890625e+01
-6.070198059082031250e+00,4.511628341674804688e+01
-4.238403320312500000e+00,4.159286499023437500e+01
-2.354667663574218750e+00,3.824681854248046875e+01
-4.109039306640625000e-01,3.507334136962890625e+01
1.600952148437500000e+00,3.206762695312500000e+01
3.688987731933593750e+00,2.922487449645996094e+01
5.861259460449218750e+00,2.654027938842773438e+01
8.125854492187500000e+00,2.400903892517089844e+01
1.049084472656250000e+01,2.162634849548339844e+01
1.296429443359375000e+01,1.938740539550781250e+01
1.555429077148437500e+01,1.728740501403808594e+01
1.826889038085937500e+01,1.532154560089111328e+01
2.111618041992187500e+01,1.348502254486083984e+01
2.410423278808593750e+01,1.177303218841552734e+01
2.724111938476562500e+01,1.018077182769775391e+01
3.053491210937500000e+01,8.703436851501464844e+00
3.371438598632812500e+01,7.444527149200439453e+00
3.639666748046875000e+01,6.540619373321533203e+00
3.895971679687500000e+01,5.824227333068847656e+00
4.144348144531250000e+01,5.259616851806640625e+00
4.388795471191406250e+01,4.811053276062011719e+00
4.633312988281250000e+01,4.442802906036376953e+00
4.881898498535156250e+01,4.119131565093994141e+00
5.138548278808593750e+01,3.804305791854858398e+00
5.407263183593750000e+01,3.462590932846069336e+00
5.692041015625000000e+01,3.058253526687622070e+00
5.996879577636718750e+01,2.555559396743774414e+00
