voltage [mV],normalized current [1]
-3.984134292602539062e+01,5.027043074369430542e-02
-3.804201507568359375e+01,6.306517124176025391e-02
-3.636706161499023438e+01,7.681176811456680298e-02
-3.481240463256835938e+01,9.146415442228317261e-02
-3.337396621704101562e+01,1.069762855768203735e-01
-3.204766845703125000e+01,1.233020871877670288e-01
-3.082943344116210938e+01,1.403954923152923584e-01
-2.971517562866210938e+01,1.582104563713073730e-01
-2.870082473754882812e+01,1.767009198665618896e-01
-2.778229904174804688e+01,1.958207935094833374e-01
-2.695551681518554688e+01,2.155240476131439209e-01
-2.595969009399414062e+01,2.413977831602096558e-01
-2.501249694824218750e+01,2.666841149330139160e-01
-2.411887741088867188e+01,2.912109494209289551e-01
-2.327519607543945312e+01,3.150277435779571533e-01
-2.247782135009765625e+01,3.381839096546173096e-01
-2.172311019897460938e+01,3.607289493083953857e-01
-2.100743103027343750e+01,3.827122449874877930e-01
-2.032714080810546875e+01,4.041832685470581055e-01
-1.967860794067382812e+01,4.251914620399475098e-01
-1.905819320678710938e+01,4.457862377166748047e-01
-1.846225738525390625e+01,4.660170972347259521e-01
-1.788716888427734375e+01,4.859334230422973633e-01
-1.732928466796875000e+01,5.055847167968750000e-01
-1.678496932983398438e+01,5.250203609466552734e-01
-1.625058746337890625e+01,5.442898273468017578e-01
-1.572250366210937500e+01,5.634425282478332520e-01
-1.519707489013671875e+01,5.825279355049133301e-01
-1.467066192626953125e+01,6.015955209732055664e-01
-1.413964080810546875e+01,6.206946969032287598e-01
-1.360036468505859375e+01,6.398748755455017090e-01
-1.304920196533203125e+01,6.591855287551879883e-01
-1.248250579833984375e+01,6.786761283874511719e-01
-1.189665222167968750e+01,6.983960866928100586e-01
-1.128799438476562500e+01,7.183948159217834473e-01
-1.065289306640625000e+01,7.387217879295349121e-01
-9.907073974609375000e+00,7.618825435638427734e-01
-8.786750793457031250e+00,7.947354316711425781e-01
-7.663093566894531250e+00,8.251946568489074707e-01
-6.535926818847656250e+00,8.532698154449462891e-01
-5.405059814453125000e+00,8.789706230163574219e-01
-4.270309448242187500e+00,9.023067951202392578e-01
-3.131507873535156250e+00,9.232879877090454102e-01
-1.988464355468750000e+00,9.419239163398742676e-01
-8.410034179687500000e-01,9.582241773605346680e-01
3.110656738281250000e-01,9.721985459327697754e-01
1.467918395996093750e+00,9.838566780090332031e-01
2.629730224609375000e+00,9.932081699371337891e-01
3.796684265136718750e+00,1.000262856483459473e+00
4.968971252441406250e+00,1.005030274391174316e+00
6.146766662597656250e+00,1.007520198822021484e+00
7.330245971679687500e+00,1.007742166519165039e+00
8.519592285156250000e+00,1.005706071853637695e+00
9.714996337890625000e+00,1.001421451568603516e+00
1.091662597656250000e+01,9.948979616165161133e-01
1.212467193603515625e+01,9.861454367637634277e-01
1.333930969238281250e+01,9.751734137535095215e-01
1.456072235107421875e+01,9.619916081428527832e-01
1.578909301757812500e+01,9.466097354888916016e-01
1.702459716796875000e+01,9.290374517440795898e-01
1.826741790771484375e+01,9.092844128608703613e-01
1.951774597167968750e+01,8.873603343963623047e-01
2.077574920654296875e+01,8.632749319076538086e-01
2.204161071777343750e+01,8.370378017425537109e-01
2.331552124023437500e+01,8.086586594581604004e-01
2.459764862060546875e+01,7.781472206115722656e-01
2.549662780761718750e+01,7.558367848396301270e-01
2.630060577392578125e+01,7.357861399650573730e-01
2.709889221191406250e+01,7.158473730087280273e-01
2.789361572265625000e+01,6.960052251815795898e-01
2.868690490722656250e+01,6.762442588806152344e-01
2.948089599609375000e+01,6.565492153167724609e-01
3.027773284912109375e+01,6.369045972824096680e-01
3.107955169677734375e+01,6.172952055931091309e-01
3.188847351074218750e+01,5.977056026458740234e-01
3.270664215087890625e+01,5.781204700469970703e-01
3.353619384765625000e+01,5.585244894027709961e-01
3.437926483154296875e+01,5.389022231101989746e-01
3.523798370361328125e+01,5.192383527755737305e-01
3.611449432373046875e+01,4.995175898075103760e-01
3.701092529296875000e+01,4.797244966030120850e-01
3.792941284179687500e+01,4.598437547683715820e-01
3.887208557128906250e+01,4.398600161075592041e-01
3.984109497070312500e+01,4.197579622268676758e-01
4.083856201171875000e+01,3.995221555233001709e-01
4.186663055419921875e+01,3.791373372077941895e-01
4.292742919921875000e+01,3.585880994796752930e-01
4.400032043457031250e+01,3.383063673973083496e-01
4.504028320312500000e+01,3.196197748184204102e-01
4.612349700927734375e+01,3.013309240341186523e-01
4.725239562988281250e+01,2.834392189979553223e-01
4.842942810058593750e+01,2.659440934658050537e-01
4.965705871582031250e+01,2.488449662923812866e-01
5.093769836425781250e+01,2.321412265300750732e-01
5.227383422851562500e+01,2.158323228359222412e-01
5.366787719726562500e+01,1.999176591634750366e-01
5.512229919433593750e+01,1.843966543674468994e-01
5.663952636718750000e+01,1.692687273025512695e-01
5.822203063964843750e+01,1.545332968235015869e-01
5.987223815917968750e+01,1.401897817850112915e-01
