voltage [mV],normalized current [1]
-3.944786071777343750e+01,3.243483603000640869e-02
-3.757943725585937500e+01,4.148788005113601685e-02
-3.589810562133789062e+01,4.988616704940795898e-02
-3.438480758666992188e+01,5.783482268452644348e-02
-3.302048492431640625e+01,6.553897261619567871e-02
-3.178606796264648438e+01,7.320373505353927612e-02
-3.066250610351562500e+01,8.103424310684204102e-02
-2.963073348999023438e+01,8.923561871051788330e-02
-2.867169189453125000e+01,9.801297634840011597e-02
-2.776632308959960938e+01,1.075714603066444397e-01
-2.689556121826171875e+01,1.181161776185035706e-01
-2.604034805297851562e+01,1.298522502183914185e-01
-2.515293884277343750e+01,1.431152820587158203e-01
-2.428958892822265625e+01,1.566438227891921997e-01
-2.345318984985351562e+01,1.703659743070602417e-01
-2.264260101318359375e+01,1.842710226774215698e-01
-2.185667419433593750e+01,1.983482688665390015e-01
-2.109426879882812500e+01,2.125870138406753540e-01
-2.035424804687500000e+01,2.269765436649322510e-01
-1.963546752929687500e+01,2.415061742067337036e-01
-1.893678283691406250e+01,2.561651766300201416e-01
-1.825705718994140625e+01,2.709428369998931885e-01
-1.759514617919921875e+01,2.858285009860992432e-01
-1.694990539550781250e+01,3.008114397525787354e-01
-1.632019805908203125e+01,3.158809244632720947e-01
-1.570487976074218750e+01,3.310263156890869141e-01
-1.510280609130859375e+01,3.462368249893188477e-01
-1.451284027099609375e+01,3.615018129348754883e-01
-1.393383789062500000e+01,3.768105506896972656e-01
-1.336465454101562500e+01,3.921523392200469971e-01
-1.280415344238281250e+01,4.075164794921875000e-01
-1.225119018554687500e+01,4.228922724723815918e-01
-1.170462799072265625e+01,4.382689893245697021e-01
-1.116331481933593750e+01,4.536359608173370361e-01
-1.062611389160156250e+01,4.689824581146240234e-01
-1.009188842773437500e+01,4.842977821826934814e-01
-9.559494018554687500e+00,4.995712339878082275e-01
-9.027778625488281250e+00,5.147920846939086914e-01
-8.495613098144531250e+00,5.299496650695800781e-01
-7.961853027343750000e+00,5.450332760810852051e-01
-7.425354003906250000e+00,5.600322484970092773e-01
-6.884979248046875000e+00,5.749357342720031738e-01
-6.339576721191406250e+00,5.897331833839416504e-01
-5.788017272949218750e+00,6.044138073921203613e-01
-5.229148864746093750e+00,6.189669370651245117e-01
-4.661834716796875000e+00,6.333819031715393066e-01
-4.084930419921875000e+00,6.476479172706604004e-01
-3.497291564941406250e+00,6.617543101310729980e-01
-2.897789001464843750e+00,6.756904125213623047e-01
-2.285263061523437500e+00,6.894454956054687500e-01
-1.658592224121093750e+00,7.030088305473327637e-01
-7.837371826171875000e-01,7.212057709693908691e-01
1.452178955078125000e-01,7.397766113281250000e-01
1.068527221679687500e+00,7.574356794357299805e-01
1.988464355468750000e+00,7.742082476615905762e-01
2.907318115234375000e+00,7.901196479797363281e-01
3.827346801757812500e+00,8.051952123641967773e-01
4.750839233398437500e+00,8.194601535797119141e-01
5.680068969726562500e+00,8.329398632049560547e-01
6.617309570312500000e+00,8.456596732139587402e-01
7.564834594726562500e+00,8.576447367668151855e-01
8.524917602539062500e+00,8.689205050468444824e-01
9.499847412109375000e+00,8.795122504234313965e-01
1.049189758300781250e+01,8.894452452659606934e-01
1.150333404541015625e+01,8.987448215484619141e-01
1.253643798828125000e+01,9.074362516403198242e-01
1.359348297119140625e+01,9.155449271202087402e-01
1.467675018310546875e+01,9.230960011482238770e-01
1.578852081298828125e+01,9.301149249076843262e-01
1.693105316162109375e+01,9.366269707679748535e-01
1.810663604736328125e+01,9.426573514938354492e-01
1.931754302978515625e+01,9.482314586639404297e-01
2.056605529785156250e+01,9.533746242523193359e-01
2.185443878173828125e+01,9.581121206283569336e-01
2.318497467041015625e+01,9.624691605567932129e-01
2.455994415283203125e+01,9.664711952209472656e-01
2.598161315917968750e+01,9.701434373855590820e-01
2.745226287841796875e+01,9.735112786293029785e-01
2.897417449951171875e+01,9.765999317169189453e-01
3.048976898193359375e+01,9.793432354927062988e-01
3.193905639648437500e+01,9.817640185356140137e-01
3.337908935546875000e+01,9.839918017387390137e-01
3.481189727783203125e+01,9.860336184501647949e-01
3.623948669433593750e+01,9.878962635993957520e-01
3.766389465332031250e+01,9.895867705345153809e-01
3.908712768554687500e+01,9.911119937896728516e-01
4.051121520996093750e+01,9.924788475036621094e-01
4.193817901611328125e+01,9.936943054199218750e-01
4.337004089355468750e+01,9.947652816772460938e-01
4.480882263183593750e+01,9.956986904144287109e-01
4.625653839111328125e+01,9.965013861656188965e-01
4.771521759033203125e+01,9.971804022789001465e-01
4.918687438964843750e+01,9.977425336837768555e-01
5.067353820800781250e+01,9.981948137283325195e-01
5.217721557617187500e+01,9.985441565513610840e-01
5.369995117187500000e+01,9.987974166870117188e-01
5.524375915527343750e+01,9.989615082740783691e-01
5.681063842773437500e+01,9.990434646606445312e-01
5.840263366699218750e+01,9.990500807762145996e-01
6.002175903320312500e+01,9.989883303642272949e-01
