time [ms],current [pA]
9.195261554850731045e-06,1.768470525741577148e+00
1.214622783660888672e+01,1.768470525741577148e+00
2.429244804382324219e+01,1.768470525741577148e+00
3.643866729736328125e+01,1.768470525741577148e+00
4.858488464355468750e+01,1.768470525741577148e+00
5.785055923461914062e+01,3.514484643936157227e+00
6.684916687011718750e+01,5.429784774780273438e+00
7.606855010986328125e+01,7.212664127349853516e+00
8.548999023437500000e+01,8.867536544799804688e+00
9.509479522705078125e+01,1.039881706237792969e+01
1.048642501831054688e+02,1.181091976165771484e+01
1.147796630859375000e+02,1.310825920104980469e+01
1.248223114013671875e+02,1.429525089263916016e+01
1.349735107421875000e+02,1.537630844116210938e+01
1.452145385742187500e+02,1.635584640502929688e+01
1.555267028808593750e+02,1.723827934265136719e+01
1.658912963867187500e+02,1.802802276611328125e+01
1.762895965576171875e+02,1.872949028015136719e+01
1.867029266357421875e+02,1.934709739685058594e+01
1.971125640869140625e+02,1.988525772094726562e+01
2.074998168945312500e+02,2.034838485717773438e+01
2.178459625244140625e+02,2.074089622497558594e+01
2.283483428955078125e+02,2.107370567321777344e+01
2.407164001464843750e+02,2.142199516296386719e+01
2.529091644287109375e+02,2.174171829223632812e+01
2.649454650878906250e+02,2.203411483764648438e+01
2.768441162109375000e+02,2.230041885375976562e+01
2.886239624023437500e+02,2.254186439514160156e+01
3.003037719726562500e+02,2.275968933105468750e+01
3.119024047851562500e+02,2.295512580871582031e+01
3.234386291503906250e+02,2.312941169738769531e+01
3.349313354492187500e+02,2.328378105163574219e+01
3.463992919921875000e+02,2.341947174072265625e+01
3.578613281250000000e+02,2.353771591186523438e+01
3.693362731933593750e+02,2.363975143432617188e+01
3.808429260253906250e+02,2.372681236267089844e+01
3.924001464843750000e+02,2.380013656616210938e+01
4.040266723632812500e+02,2.386095619201660156e+01
4.157413940429687500e+02,2.391050720214843750e+01
4.275631103515625000e+02,2.395002746582031250e+01
4.395106506347656250e+02,2.398075103759765625e+01
4.516028137207031250e+02,2.400391387939453125e+01
4.638583984375000000e+02,2.402075004577636719e+01
4.762962646484375000e+02,2.403249549865722656e+01
4.889352416992187500e+02,2.404038619995117188e+01
5.017940979003906250e+02,2.404565620422363281e+01
5.148916625976562500e+02,2.404954338073730469e+01
5.282467651367187500e+02,2.405328178405761719e+01
5.418782348632812500e+02,2.405810737609863281e+01
5.522334594726562500e+02,2.398723602294921875e+01
5.522421264648437500e+02,1.991605949401855469e+01
5.522758789062500000e+02,1.721415138244628906e+01
5.534476318359375000e+02,1.489975738525390625e+01
5.552529296875000000e+02,1.630283164978027344e+01
5.560042114257812500e+02,1.873764801025390625e+01
5.562554931640625000e+02,2.116681480407714844e+01
5.563635253906250000e+02,2.354047584533691406e+01
5.564635620117187500e+02,2.563855361938476562e+01
5.566906738281250000e+02,2.724096488952636719e+01
5.609110717773437500e+02,2.889739799499511719e+01
5.696751098632812500e+02,2.800383377075195312e+01
5.788358764648437500e+02,2.683070564270019531e+01
5.883638916015625000e+02,2.568798446655273438e+01
5.982276611328125000e+02,2.457621765136718750e+01
6.083956909179687500e+02,2.349595642089843750e+01
6.188365478515625000e+02,2.244775199890136719e+01
6.295188598632812500e+02,2.143215560913085938e+01
6.404111938476562500e+02,2.044971466064453125e+01
6.514820556640625000e+02,1.950098037719726562e+01
6.627000122070312500e+02,1.858650207519531250e+01
6.740336303710937500e+02,1.770683288574218750e+01
6.854515380859375000e+02,1.686252212524414062e+01
6.969221801757812500e+02,1.605411720275878906e+01
7.084142456054687500e+02,1.528217124938964844e+01
7.198961791992187500e+02,1.454723358154296875e+01
7.313410644531250000e+02,1.384966087341308594e+01
7.430795898437500000e+02,1.318261146545410156e+01
7.552717895507812500e+02,1.254402351379394531e+01
7.678551635742187500e+02,1.193360996246337891e+01
7.807672729492187500e+02,1.135108661651611328e+01
7.939456176757812500e+02,1.079616737365722656e+01
8.073277587890625000e+02,1.026856517791748047e+01
8.208511962890625000e+02,9.767995834350585938e+00
8.344534301757812500e+02,9.294172286987304688e+00
8.480720214843750000e+02,8.846809387207031250e+00
8.616445312500000000e+02,8.425621032714843750e+00
8.751083984375000000e+02,8.030322074890136719e+00
8.884011840820312500e+02,7.660625457763671875e+00
9.014604492187500000e+02,7.316246509552001953e+00
9.142237548828125000e+02,6.996899127960205078e+00
9.266284790039062500e+02,6.702296733856201172e+00
9.386123046875000000e+02,6.432154655456542969e+00
9.501127319335937500e+02,6.186186313629150391e+00
9.610671997070312500e+02,5.964106559753417969e+00
9.714133300781250000e+02,5.765628814697265625e+00
9.810885620117187500e+02,5.590467453002929688e+00
9.900305175781250000e+02,5.438336849212646484e+00
9.981766357421875000e+02,5.308951377868652344e+00
1.005464538574218750e+03,5.202024936676025391e+00
