voltage [mV],ratio of molecules in open formation [1]
-8.770993041992187500e+01,1.003115296363830566e+00
-8.572540283203125000e+01,1.000831842422485352e+00
-8.376611328125000000e+01,9.952507615089416504e-01
-8.188625335693359375e+01,9.868404865264892578e-01
-8.014001464843750000e+01,9.760695099830627441e-01
-7.858160400390625000e+01,9.634062051773071289e-01
-7.726521301269531250e+01,9.493190646171569824e-01
-7.624504089355468750e+01,9.342764616012573242e-01
-7.554983520507812500e+01,9.184755682945251465e-01
-7.494842529296875000e+01,9.019562005996704102e-01
-7.437846374511718750e+01,8.854836225509643555e-01
-7.383842468261718750e+01,8.690548539161682129e-01
-7.332675933837890625e+01,8.526667356491088867e-01
-7.284194183349609375e+01,8.363163471221923828e-01
-7.238243103027343750e+01,8.200006484985351562e-01
-7.194668579101562500e+01,8.037165403366088867e-01
-7.153318023681640625e+01,7.874611020088195801e-01
-7.114036560058593750e+01,7.712311744689941406e-01
-7.076670837402343750e+01,7.550237774848937988e-01
-7.041065979003906250e+01,7.388359308242797852e-01
-7.007070922851562500e+01,7.226645350456237793e-01
-6.974530029296875000e+01,7.065065503120422363e-01
-6.943289184570312500e+01,6.903589963912963867e-01
-6.913195800781250000e+01,6.742188334465026855e-01
-6.884095764160156250e+01,6.580830216407775879e-01
-6.855834960937500000e+01,6.419484615325927734e-01
-6.828259277343750000e+01,6.258122324943542480e-01
-6.801216888427734375e+01,6.096712350845336914e-01
-6.774552917480468750e+01,5.935224890708923340e-01
-6.748112487792968750e+01,5.773628950119018555e-01
-6.721743774414062500e+01,5.611894726753234863e-01
-6.695292663574218750e+01,5.449991226196289062e-01
-6.668603515625000000e+01,5.287888646125793457e-01
-6.641525268554687500e+01,5.125557184219360352e-01
-6.613658905029296875e+01,4.960481822490692139e-01
-6.585662841796875000e+01,4.795617461204528809e-01
-6.557556152343750000e+01,4.631099998950958252e-01
-6.529331970214843750e+01,4.466897845268249512e-01
-6.500981140136718750e+01,4.302979707717895508e-01
-6.472496032714843750e+01,4.139314293861389160e-01
-6.443867492675781250e+01,3.975870013236999512e-01
-6.415087890625000000e+01,3.812615573406219482e-01
-6.386148834228515625e+01,3.649519681930541992e-01
-6.357041549682617188e+01,3.486550748348236084e-01
-6.327757644653320312e+01,3.323677480220794678e-01
-6.298289108276367188e+01,3.160868585109710693e-01
-6.268627929687500000e+01,2.998092472553253174e-01
-6.238764953613281250e+01,2.835317552089691162e-01
-6.208692932128906250e+01,2.672513127326965332e-01
-6.178402328491210938e+01,2.509647011756896973e-01
-6.147885894775390625e+01,2.346688508987426758e-01
-6.117134857177734375e+01,2.183605730533599854e-01
-6.086140823364257812e+01,2.020367383956909180e-01
-6.054895401000976562e+01,1.856942176818847656e-01
-6.006640625000000000e+01,1.631038188934326172e-01
-5.940930938720703125e+01,1.397995948791503906e-01
-5.862978744506835938e+01,1.181119456887245178e-01
-5.774160766601562500e+01,9.808767586946487427e-02
-5.675851821899414062e+01,7.977359741926193237e-02
-5.569428253173828125e+01,6.321652978658676147e-02
-5.456265258789062500e+01,4.846327379345893860e-02
-5.337738800048828125e+01,3.556064888834953308e-02
-5.215224456787109375e+01,2.455546148121356964e-02
-5.090098571777343750e+01,1.549452822655439377e-02
-4.963735198974609375e+01,8.424659259617328644e-03
-4.837511444091796875e+01,3.392666345462203026e-03
-4.712802886962890625e+01,4.453615983948111534e-04
-4.578768920898437500e+01,-3.866433107759803534e-04
-4.358520507812500000e+01,-3.866433107759803534e-04
-4.138272094726562500e+01,-3.866433107759803534e-04
-3.918023681640625000e+01,-3.866433107759803534e-04
-3.697776031494140625e+01,-3.866433107759803534e-04
-3.477527618408203125e+01,-3.866433107759803534e-04
-3.257279205322265625e+01,-3.866433107759803534e-04
-3.037030792236328125e+01,-3.866433107759803534e-04
-2.816783142089843750e+01,-3.866433107759803534e-04
-2.596534729003906250e+01,-3.866433107759803534e-04
-2.376286315917968750e+01,-3.866433107759803534e-04
-2.156037902832031250e+01,-3.866433107759803534e-04
-1.935790252685546875e+01,-3.866433107759803534e-04
-1.715541839599609375e+01,-3.866433107759803534e-04
-1.495293426513671875e+01,-3.866433107759803534e-04
-1.275045013427734375e+01,-3.866433107759803534e-04
-1.054797363281250000e+01,-3.866433107759803534e-04
-8.345489501953125000e+00,-3.866433107759803534e-04
-6.143005371093750000e+00,-3.866433107759803534e-04
-3.940521240234375000e+00,-3.866433107759803534e-04
-1.738037109375000000e+00,-3.866433107759803534e-04
4.644393920898437500e-01,-3.866433107759803534e-04
2.666923522949218750e+00,-3.866433107759803534e-04
4.869407653808593750e+00,-3.866433107759803534e-04
7.071891784667968750e+00,-3.866433107759803534e-04
9.274368286132812500e+00,-3.866433107759803534e-04
1.147685241699218750e+01,-3.866433107759803534e-04
1.367933654785156250e+01,-3.866433107759803534e-04
1.588182067871093750e+01,-3.866433107759803534e-04
1.808430480957031250e+01,-3.866433107759803534e-04
2.028678894042968750e+01,-3.866433107759803534e-04
2.248925781250000000e+01,-3.866433107759803534e-04
2.469174194335937500e+01,-3.866433107759803534e-04
