voltage [mV],current density [pA/pF]
-7.164924621582031250e+01,5.963439941406250000e-01
-6.798947143554687500e+01,5.876770019531250000e-01
-6.432968139648437500e+01,5.790100097656250000e-01
-6.066990280151367188e+01,5.703277587890625000e-01
-5.699069213867187500e+01,5.613555908203125000e-01
-5.313967514038085938e+01,2.089843750000000000e-01
-5.002233505249023438e+01,-9.575500488281250000e-01
-4.738740158081054688e+01,-3.183425903320312500e+00
-4.498359680175781250e+01,-6.713867187500000000e+00
-4.255964660644531250e+01,-1.179406738281250000e+01
-4.150276184082031250e+01,-1.446351623535156250e+01
-4.089263534545898438e+01,-1.639418029785156250e+01
-4.029106521606445312e+01,-1.864308166503906250e+01
-3.969583129882812500e+01,-2.121546936035156250e+01
-3.910469818115234375e+01,-2.411657714843750000e+01
-3.851544570922851562e+01,-2.735163879394531250e+01
-3.792584228515625000e+01,-3.092590332031250000e+01
-3.733366394042968750e+01,-3.484461975097656250e+01
-3.673668289184570312e+01,-3.911299133300781250e+01
-3.613266754150390625e+01,-4.373628234863281250e+01
-3.551940155029296875e+01,-4.871972656250000000e+01
-3.489464569091796875e+01,-5.406854248046875000e+01
-3.425617218017578125e+01,-5.978800964355468750e+01
-3.360176849365234375e+01,-6.588333129882812500e+01
-3.292919921875000000e+01,-7.235975646972656250e+01
-3.223622894287109375e+01,-7.922251892089843750e+01
-3.152064514160156250e+01,-8.647686767578125000e+01
-3.078021240234375000e+01,-9.412802124023437500e+01
-3.001270294189453125e+01,-1.021812438964843750e+02
-2.921588897705078125e+01,-1.106417541503906250e+02
-2.843879699707031250e+01,-1.189612426757812500e+02
-2.795343017578125000e+01,-1.240133514404296875e+02
-2.745781707763671875e+01,-1.289497375488281250e+02
-2.695156860351562500e+01,-1.338068695068359375e+02
-2.643429565429687500e+01,-1.386212158203125000e+02
-2.590562438964843750e+01,-1.434292755126953125e+02
-2.536515045166015625e+01,-1.482675018310546875e+02
-2.481250000000000000e+01,-1.531723632812500000e+02
-2.424727630615234375e+01,-1.581803741455078125e+02
-2.366909790039062500e+01,-1.633279724121093750e+02
-2.307756805419921875e+01,-1.686516418457031250e+02
-2.247231292724609375e+01,-1.741878814697265625e+02
-2.185292816162109375e+01,-1.799731445312500000e+02
-2.112967681884765625e+01,-1.866185455322265625e+02
-2.011132812500000000e+01,-1.932135009765625000e+02
-1.887648010253906250e+01,-1.982898559570312500e+02
-1.742498779296875000e+01,-2.018317871093750000e+02
-1.575670623779296875e+01,-2.038235168457031250e+02
-1.387148284912109375e+01,-2.042492065429687500e+02
-1.176917266845703125e+01,-2.030930786132812500e+02
-9.449623107910156250e+00,-2.003392791748046875e+02
-6.912689208984375000e+00,-1.959720306396484375e+02
-4.158218383789062500e+00,-1.899755096435546875e+02
-1.274749755859375000e+00,-1.825776672363281250e+02
3.934326171875000000e-01,-1.779616088867187500e+02
2.028297424316406250e+00,-1.733228454589843750e+02
3.632255554199218750e+00,-1.686630554199218750e+02
5.207740783691406250e+00,-1.639838714599609375e+02
6.757171630859375000e+00,-1.592869262695312500e+02
8.282981872558593750e+00,-1.545738525390625000e+02
9.787590026855468750e+00,-1.498463134765625000e+02
1.127342224121093750e+01,-1.451059417724609375e+02
1.274290466308593750e+01,-1.403544006347656250e+02
1.419845581054687500e+01,-1.355933074951171875e+02
1.564250946044921875e+01,-1.308243255615234375e+02
1.707748413085937500e+01,-1.260490951538085938e+02
1.850580596923828125e+01,-1.212692565917968750e+02
1.992989349365234375e+01,-1.164864501953125000e+02
2.135218811035156250e+01,-1.117023315429687500e+02
2.277509307861328125e+01,-1.069185333251953125e+02
2.420104980468750000e+01,-1.021367034912109375e+02
2.563247680664062500e+01,-9.735848999023437500e+01
2.707180023193359375e+01,-9.258552551269531250e+01
2.852143859863281250e+01,-8.781947326660156250e+01
2.998382568359375000e+01,-8.306195068359375000e+01
3.146138000488281250e+01,-7.831462097167968750e+01
3.295652770996093750e+01,-7.357913208007812500e+01
3.455477905273437500e+01,-6.859832763671875000e+01
3.637121582031250000e+01,-6.301152038574218750e+01
3.822375488281250000e+01,-5.738096618652343750e+01
4.010531616210937500e+01,-5.172769165039062500e+01
4.200881958007812500e+01,-4.607270812988281250e+01
4.392716979980468750e+01,-4.043702697753906250e+01
4.585325622558593750e+01,-3.484170532226562500e+01
4.777999877929687500e+01,-2.930773925781250000e+01
4.970031738281250000e+01,-2.385615539550781250e+01
5.160710144042968750e+01,-1.850798034667968750e+01
5.349327087402343750e+01,-1.328424072265625000e+01
5.535173034667968750e+01,-8.205947875976562500e+00
5.717539978027343750e+01,-3.294128417968750000e+00
5.895718383789062500e+01,1.430191040039062500e+00
6.068997192382812500e+01,5.945983886718750000e+00
6.236669921875000000e+01,1.023223876953125000e+01
6.398025512695312500e+01,1.426791381835937500e+01
6.552355957031250000e+01,1.803201293945312500e+01
6.698950195312500000e+01,2.150350952148437500e+01
6.837101745605468750e+01,2.466137695312500000e+01
6.966101074218750000e+01,2.748455810546875000e+01
7.085237121582031250e+01,2.995208740234375000e+01
7.193803405761718750e+01,3.204290771484375000e+01
