voltage [mV],time [ms]
-8.978693389892578125e+01,1.538886502385139465e-02
-8.779099273681640625e+01,1.876112632453441620e-02
-8.548347473144531250e+01,2.290209941565990448e-02
-8.292568969726562500e+01,2.810277789831161499e-02
-8.017894744873046875e+01,3.465416282415390015e-02
-7.730456542968750000e+01,4.284724593162536621e-02
-7.436385345458984375e+01,5.297302454710006714e-02
-7.141812896728515625e+01,6.532249599695205688e-02
-6.855957031250000000e+01,8.001050353050231934e-02
-6.680731964111328125e+01,9.054987132549285889e-02
-6.520867919921875000e+01,1.012897714972496033e-01
-6.375132369995117188e+01,1.122108027338981628e-01
-6.242295455932617188e+01,1.232935711741447449e-01
-6.121125793457031250e+01,1.345186978578567505e-01
-6.010391998291015625e+01,1.458667665719985962e-01
-5.908863830566406250e+01,1.573184132575988770e-01
-5.815309524536132812e+01,1.688542217016220093e-01
-5.728498458862304688e+01,1.804548054933547974e-01
-5.647199630737304688e+01,1.921007633209228516e-01
-5.570182037353515625e+01,2.037727236747741699e-01
-5.496214675903320312e+01,2.154512852430343628e-01
-5.424066162109375000e+01,2.271170467138290405e-01
-5.352506256103515625e+01,2.387506216764450073e-01
-5.281250381469726562e+01,2.504795491695404053e-01
-5.212297058105468750e+01,2.622306346893310547e-01
-5.145505142211914062e+01,2.739976942539215088e-01
-5.080704498291015625e+01,2.857787907123565674e-01
-5.017725753784179688e+01,2.975720465183258057e-01
-4.956398773193359375e+01,3.093755543231964111e-01
-4.896553421020507812e+01,3.211873173713684082e-01
-4.838020706176757812e+01,3.330054879188537598e-01
-4.780629730224609375e+01,3.448281586170196533e-01
-4.724211120605468750e+01,3.566533327102661133e-01
-4.668595123291015625e+01,3.684791624546051025e-01
-4.613611984252929688e+01,3.803037106990814209e-01
-4.559091567993164062e+01,3.921250700950622559e-01
-4.504864120483398438e+01,4.039413034915924072e-01
-4.450759506225585938e+01,4.157504737377166748e-01
-4.396608352661132812e+01,4.275507330894470215e-01
-4.342240524291992188e+01,4.393400847911834717e-01
-4.287486267089843750e+01,4.511166810989379883e-01
-4.232175827026367188e+01,4.628785550594329834e-01
-4.176139068603515625e+01,4.746237993240356445e-01
-4.119206237792968750e+01,4.863505065441131592e-01
-4.061207580566406250e+01,4.980567395687103271e-01
-4.001972961425781250e+01,5.097405910491943359e-01
-3.941333007812500000e+01,5.214001536369323730e-01
-3.879117202758789062e+01,5.330335497856140137e-01
-3.815156555175781250e+01,5.446387529373168945e-01
-3.749280548095703125e+01,5.562139153480529785e-01
-3.681319427490234375e+01,5.677571296691894531e-01
-3.611103820800781250e+01,5.792664885520935059e-01
-3.443108367919921875e+01,6.031054854393005371e-01
-3.264842224121093750e+01,6.220054626464843750e-01
-3.083393096923828125e+01,6.355570554733276367e-01
-2.900208282470703125e+01,6.442677974700927734e-01
-2.716734313964843750e+01,6.486452221870422363e-01
-2.534419250488281250e+01,6.491968631744384766e-01
-2.354709625244140625e+01,6.464303135871887207e-01
-2.179054260253906250e+01,6.408530473709106445e-01
-2.008898925781250000e+01,6.329726576805114746e-01
-1.845691680908203125e+01,6.232966184616088867e-01
-1.690879821777343750e+01,6.123325228691101074e-01
-1.545909881591796875e+01,6.005879044532775879e-01
-1.415332794189453125e+01,5.889497995376586914e-01
-1.292244720458984375e+01,5.777432918548583984e-01
-1.169744873046875000e+01,5.665352940559387207e-01
-1.047416687011718750e+01,5.553294420242309570e-01
-9.248405456542968750e+00,5.441295504570007324e-01
-8.015991210937500000e+00,5.329391360282897949e-01
-6.772735595703125000e+00,5.217619538307189941e-01
-5.514457702636718750e+00,5.106016993522644043e-01
-4.236976623535156250e+00,4.994620680809020996e-01
-2.936111450195312500e+00,4.883466660976409912e-01
-1.607673645019531250e+00,4.772592186927795410e-01
-2.474822998046875000e-01,4.662033617496490479e-01
1.148643493652343750e+00,4.551828503608703613e-01
2.584892272949218750e+00,4.442012906074523926e-01
4.065429687500000000e+00,4.332623779773712158e-01
5.594459533691406250e+00,4.223698079586029053e-01
7.176147460937500000e+00,4.115272462368011475e-01
8.814689636230468750e+00,4.007383882999420166e-01
1.051425170898437500e+01,3.900068700313568115e-01
1.240616607666015625e+01,3.785413801670074463e-01
1.438767242431640625e+01,3.669347465038299561e-01
1.639208984375000000e+01,3.556251823902130127e-01
1.842417144775390625e+01,3.446211218833923340e-01
2.048862457275390625e+01,3.339310288429260254e-01
2.259019470214843750e+01,3.235633373260498047e-01
2.473360443115234375e+01,3.135265111923217773e-01
2.692359161376953125e+01,3.038289546966552734e-01
2.916487121582031250e+01,2.944791615009307861e-01
3.146218872070312500e+01,2.854855656623840332e-01
3.382028198242187500e+01,2.768565714359283447e-01
3.624385070800781250e+01,2.686006724834442139e-01
3.873764038085937500e+01,2.607263028621673584e-01
4.130639648437500000e+01,2.532418966293334961e-01
4.395481872558593750e+01,2.461558729410171509e-01
4.668766784667968750e+01,2.394767254590988159e-01
4.950964355468750000e+01,2.332128733396530151e-01
