voltage [mV],time [ms]
-8.988857269287109375e+01,3.047397804260253906e+01
-8.903333282470703125e+01,3.047614479064941406e+01
-8.676859283447265625e+01,3.047914505004882812e+01
-8.354580688476562500e+01,3.047771835327148438e+01
-7.981644439697265625e+01,3.046660614013671875e+01
-7.603195190429687500e+01,3.044054985046386719e+01
-7.264380645751953125e+01,3.039429283142089844e+01
-6.933750915527343750e+01,3.029803657531738281e+01
-6.629975128173828125e+01,3.013685798645019531e+01
-6.363961791992187500e+01,2.992003250122070312e+01
-6.132450103759765625e+01,2.965437507629394531e+01
-5.932177734375000000e+01,2.934670448303222656e+01
-5.759883880615234375e+01,2.900383567810058594e+01
-5.612305831909179688e+01,2.863258552551269531e+01
-5.486182022094726562e+01,2.823976898193359375e+01
-5.378251266479492188e+01,2.783220481872558594e+01
-5.285251235961914062e+01,2.741670799255371094e+01
-5.203920364379882812e+01,2.700009536743164062e+01
-5.113385391235351562e+01,2.649047279357910156e+01
-5.023156738281250000e+01,2.595308303833007812e+01
-4.941067123413085938e+01,2.543379402160644531e+01
-4.866500091552734375e+01,2.493114852905273438e+01
-4.798838806152343750e+01,2.444368934631347656e+01
-4.737467575073242188e+01,2.396996498107910156e+01
-4.681768798828125000e+01,2.350851440429687500e+01
-4.631126403808593750e+01,2.305788421630859375e+01
-4.584924316406250000e+01,2.261661720275878906e+01
-4.542545318603515625e+01,2.218325805664062500e+01
-4.503372955322265625e+01,2.175635147094726562e+01
-4.466791152954101562e+01,2.133444023132324219e+01
-4.432183074951171875e+01,2.091606903076171875e+01
-4.398932266235351562e+01,2.049978065490722656e+01
-4.366421890258789062e+01,2.008411979675292969e+01
-4.334035873413085938e+01,1.966763305664062500e+01
-4.301157379150390625e+01,1.924885940551757812e+01
-4.267169952392578125e+01,1.882634735107421875e+01
-4.231457519531250000e+01,1.839863777160644531e+01
-4.193402481079101562e+01,1.796427726745605469e+01
-4.152389526367187500e+01,1.752180671691894531e+01
-4.107974624633789062e+01,1.707132720947265625e+01
-4.064431381225585938e+01,1.663181686401367188e+01
-4.022136306762695312e+01,1.618924903869628906e+01
-3.980920410156250000e+01,1.574385833740234375e+01
-3.940614700317382812e+01,1.529587268829345703e+01
-3.901050186157226562e+01,1.484552478790283203e+01
-3.862057876586914062e+01,1.439304447174072266e+01
-3.823468780517578125e+01,1.393866252899169922e+01
-3.785113525390625000e+01,1.348261070251464844e+01
-3.746823883056640625e+01,1.302511978149414062e+01
-3.708430099487304688e+01,1.256641960144042969e+01
-3.669763565063476562e+01,1.210674190521240234e+01
-3.630655288696289062e+01,1.164631748199462891e+01
-3.590936279296875000e+01,1.118537616729736328e+01
-3.550437164306640625e+01,1.072415065765380859e+01
-3.508988952636718750e+01,1.026286983489990234e+01
-3.466423797607421875e+01,9.801765441894531250e+00
-3.422570800781250000e+01,9.341069221496582031e+00
-3.377262878417968750e+01,8.881010055541992188e+00
-3.330329895019531250e+01,8.421820640563964844e+00
-3.281603240966796875e+01,7.963730812072753906e+00
-3.230912780761718750e+01,7.506971359252929688e+00
-3.178091430664062500e+01,7.051774024963378906e+00
-3.122969055175781250e+01,6.598368644714355469e+00
-3.065377044677734375e+01,6.146986484527587891e+00
-3.005146026611328125e+01,5.697858333587646484e+00
-2.942107391357421875e+01,5.251214981079101562e+00
-2.876091766357421875e+01,4.807287693023681641e+00
-2.806930541992187500e+01,4.366307258605957031e+00
-2.734454345703125000e+01,3.928503751754760742e+00
-2.658493804931640625e+01,3.494108676910400391e+00
-2.558802795410156250e+01,2.978828191757202148e+00
-2.425811004638671875e+01,2.452861547470092773e+00
-2.273941802978515625e+01,2.001344203948974609e+00
-2.104248809814453125e+01,1.618544578552246094e+00
-1.917789459228515625e+01,1.298731446266174316e+00
-1.715618133544921875e+01,1.036173582077026367e+00
-1.498790740966796875e+01,8.251393437385559082e-01
-1.268363189697265625e+01,6.598976254463195801e-01
-1.025391387939453125e+01,5.347169637680053711e-01
-7.709304809570312500e+00,4.438660740852355957e-01
-5.060356140136718750e+00,3.816135525703430176e-01
-2.317634582519531250e+00,3.422280550003051758e-01
5.083084106445312500e-01,3.199782669544219971e-01
3.406921386718750000e+00,3.091328144073486328e-01
6.367637634277343750e+00,3.039603531360626221e-01
9.379913330078125000e+00,2.987295389175415039e-01
1.243318176269531250e+01,2.877090275287628174e-01
1.537995147705078125e+01,2.816010713577270508e-01
1.826020050048828125e+01,2.816010713577270508e-01
2.114044952392578125e+01,2.816010713577270508e-01
2.402069091796875000e+01,2.816010713577270508e-01
2.690093994140625000e+01,2.816010713577270508e-01
2.978118896484375000e+01,2.816010713577270508e-01
3.266143798828125000e+01,2.816010713577270508e-01
3.554168701171875000e+01,2.816010713577270508e-01
3.842193603515625000e+01,2.816010713577270508e-01
4.130216979980468750e+01,2.816010713577270508e-01
4.418241882324218750e+01,2.816010713577270508e-01
4.706266784667968750e+01,2.816010713577270508e-01
4.994291687011718750e+01,2.816010713577270508e-01
