voltage [mV],time [ms]
-9.030520629882812500e+01,1.233313064575195312e+02
-8.719898223876953125e+01,1.233313064575195312e+02
-8.409276580810546875e+01,1.233313064575195312e+02
-8.098654174804687500e+01,1.233313064575195312e+02
-7.788032531738281250e+01,1.233313064575195312e+02
-7.449676513671875000e+01,1.232978897094726562e+02
-7.138240814208984375e+01,1.228653945922851562e+02
-6.908766174316406250e+01,1.219784927368164062e+02
-6.746067810058593750e+01,1.206910018920898438e+02
-6.634960174560546875e+01,1.190567550659179688e+02
-6.560258483886718750e+01,1.171295852661132812e+02
-6.506777954101562500e+01,1.149633178710937500e+02
-6.462454223632812500e+01,1.127628479003906250e+02
-6.436176300048828125e+01,1.113468246459960938e+02
-6.411622619628906250e+01,1.098581466674804688e+02
-6.388650131225585938e+01,1.083001098632812500e+02
-6.367116546630859375e+01,1.066759948730468750e+02
-6.346878814697265625e+01,1.049891052246093750e+02
-6.327794647216796875e+01,1.032427215576171875e+02
-6.309720993041992188e+01,1.014401321411132812e+02
-6.292515182495117188e+01,9.958464050292968750e+01
-6.276034545898437500e+01,9.767952728271484375e+01
-6.260136413574218750e+01,9.572808837890625000e+01
-6.244677734375000000e+01,9.373361206054687500e+01
-6.229516220092773438e+01,9.169938659667968750e+01
-6.214509201049804688e+01,8.962871551513671875e+01
-6.199513244628906250e+01,8.752487182617187500e+01
-6.184386444091796875e+01,8.539116668701171875e+01
-6.168985748291015625e+01,8.323087310791015625e+01
-6.153168487548828125e+01,8.104729461669921875e+01
-6.136791610717773438e+01,7.884371185302734375e+01
-6.119712829589843750e+01,7.662342071533203125e+01
-6.101789093017578125e+01,7.438971710205078125e+01
-6.082878112792968750e+01,7.214588165283203125e+01
-6.062836837768554688e+01,6.989521789550781250e+01
-6.041522598266601562e+01,6.764100646972656250e+01
-6.018793106079101562e+01,6.538654327392578125e+01
-5.999104690551757812e+01,6.352148818969726562e+01
-5.987291336059570312e+01,6.216168212890625000e+01
-5.977165603637695312e+01,6.068308258056640625e+01
-5.968458175659179688e+01,5.909442138671875000e+01
-5.960900115966796875e+01,5.740442276000976562e+01
-5.954222488403320312e+01,5.562181472778320312e+01
-5.948157119750976562e+01,5.375532531738281250e+01
-5.942434310913085938e+01,5.181367874145507812e+01
-5.936785888671875000e+01,4.980560684204101562e+01
-5.930942153930664062e+01,4.773983764648437500e+01
-5.924634933471679688e+01,4.562509155273437500e+01
-5.917594909667968750e+01,4.347010421752929688e+01
-5.909553146362304688e+01,4.128359603881835938e+01
-5.900241088867187500e+01,3.907429885864257812e+01
-5.889389801025390625e+01,3.685094070434570312e+01
-5.876730346679687500e+01,3.462224197387695312e+01
-5.861993789672851562e+01,3.239693832397460938e+01
-5.844911193847656250e+01,3.018375396728515625e+01
-5.825213623046875000e+01,2.799141502380371094e+01
-5.802632522583007812e+01,2.582864952087402344e+01
-5.776898574829101562e+01,2.370418548583984375e+01
-5.747743225097656250e+01,2.162675094604492188e+01
-5.714897537231445312e+01,1.960507202148437500e+01
-5.678092575073242188e+01,1.764787673950195312e+01
-5.637059020996093750e+01,1.576389122009277344e+01
-5.550032424926757812e+01,1.220775127410888672e+01
-5.466988372802734375e+01,9.272032737731933594e+00
-5.383034896850585938e+01,7.082217216491699219e+00
-5.287551498413085938e+01,5.523659706115722656e+00
-5.169917297363281250e+01,4.481717109680175781e+00
-5.019511413574218750e+01,3.841744899749755859e+00
-4.825712585449218750e+01,3.489099264144897461e+00
-4.577899932861328125e+01,3.309135913848876953e+00
-4.268043518066406250e+01,3.305946588516235352e+00
-3.957421875000000000e+01,3.305946588516235352e+00
-3.646799850463867188e+01,3.305946588516235352e+00
-3.336177825927734375e+01,3.305946588516235352e+00
-3.025556182861328125e+01,3.305946588516235352e+00
-2.714934539794921875e+01,3.305946588516235352e+00
-2.404312133789062500e+01,3.305946588516235352e+00
-2.093690490722656250e+01,3.305946588516235352e+00
-1.783068847656250000e+01,3.305946588516235352e+00
-1.472447204589843750e+01,3.305946588516235352e+00
-1.161824798583984375e+01,3.305946588516235352e+00
-8.512031555175781250e+00,3.305946588516235352e+00
-5.405815124511718750e+00,3.305946588516235352e+00
-2.299591064453125000e+00,3.305946588516235352e+00
8.066253662109375000e-01,3.305946588516235352e+00
3.912841796875000000e+00,3.305946588516235352e+00
7.019065856933593750e+00,3.305946588516235352e+00
1.012528228759765625e+01,3.305946588516235352e+00
1.323149871826171875e+01,3.305946588516235352e+00
1.633771514892578125e+01,3.305946588516235352e+00
1.944393920898437500e+01,3.305946588516235352e+00
2.255015563964843750e+01,3.305946588516235352e+00
2.565637207031250000e+01,3.305946588516235352e+00
2.876258850097656250e+01,3.305946588516235352e+00
3.186880493164062500e+01,3.305946588516235352e+00
3.497503662109375000e+01,3.305946588516235352e+00
3.808125305175781250e+01,3.305946588516235352e+00
4.118746948242187500e+01,3.305946588516235352e+00
4.429368591308593750e+01,3.305946588516235352e+00
4.739990234375000000e+01,3.305946588516235352e+00
