time [ms],current density [pA/pF]
0.000000000000000000e+00,-1.920789480209350586e-01
5.803205490112304688e+00,-1.920789480209350586e-01
1.160641098022460938e+01,-1.920789480209350586e-01
1.740961647033691406e+01,-1.920789480209350586e-01
2.321282196044921875e+01,-1.920789480209350586e-01
2.901602745056152344e+01,-1.920789480209350586e-01
3.481923294067382812e+01,-1.920789480209350586e-01
4.062244033813476562e+01,-1.920789480209350586e-01
4.642564392089843750e+01,-1.920789480209350586e-01
4.979930877685546875e+01,-1.307396888732910156e-01
4.982462310791015625e+01,1.513600349426269531e-02
4.984993743896484375e+01,1.610116958618164062e-01
4.987525177001953125e+01,3.068873882293701172e-01
4.990056610107421875e+01,4.527630805969238281e-01
4.992588424682617188e+01,5.986387729644775391e-01
4.995119857788085938e+01,7.445144653320312500e-01
4.997651290893554688e+01,8.903901576995849609e-01
5.000182723999023438e+01,1.036265850067138672e+00
5.002714157104492188e+01,1.182141542434692383e+00
5.005245590209960938e+01,1.328017234802246094e+00
5.007777404785156250e+01,1.473892927169799805e+00
5.010308837890625000e+01,1.619768619537353516e+00
5.012840270996093750e+01,1.765644311904907227e+00
5.015371704101562500e+01,1.911520004272460938e+00
5.017903137207031250e+01,2.057395458221435547e+00
5.020434951782226562e+01,2.203271389007568359e+00
5.022966384887695312e+01,2.349146842956542969e+00
5.025497817993164062e+01,2.495022773742675781e+00
5.028029251098632812e+01,2.640898227691650391e+00
5.063061904907226562e+01,2.727511882781982422e+00
5.193728256225585938e+01,2.700730323791503906e+00
5.384922790527343750e+01,2.652656078338623047e+00
5.635812377929687500e+01,2.585521697998046875e+00
5.945564270019531250e+01,2.501560211181640625e+00
6.313346099853515625e+01,2.403004646301269531e+00
6.738324737548828125e+01,2.292087078094482422e+00
7.219667816162109375e+01,2.171041488647460938e+00
7.756542968750000000e+01,2.042099475860595703e+00
8.348116302490234375e+01,1.907494783401489258e+00
8.993556213378906250e+01,1.769459724426269531e+00
9.692030334472656250e+01,1.630227327346801758e+00
1.031195373535156250e+02,1.514820098876953125e+00
1.077808227539062500e+02,1.429302692413330078e+00
1.124727859497070312e+02,1.343383073806762695e+00
1.171958618164062500e+02,1.257378578186035156e+00
1.219504547119140625e+02,1.171607732772827148e+00
1.267369995117187500e+02,1.086388349533081055e+00
1.315559082031250000e+02,1.002038240432739258e+00
1.364076080322265625e+02,9.188754558563232422e-01
1.412925109863281250e+02,8.372178077697753906e-01
1.462110443115234375e+02,7.573835849761962891e-01
1.511636199951171875e+02,6.796903610229492188e-01
1.561506652832031250e+02,6.044564247131347656e-01
1.611726074218750000e+02,5.319993495941162109e-01
1.662298583984375000e+02,4.626374244689941406e-01
1.713228302001953125e+02,3.966884613037109375e-01
1.764519653320312500e+02,3.344705104827880859e-01
1.816176757812500000e+02,2.763013839721679688e-01
1.866100158691406250e+02,2.225296497344970703e-01
1.913787384033203125e+02,1.714427471160888672e-01
1.959678955078125000e+02,1.227433681488037109e-01
2.004196014404296875e+02,7.615613937377929688e-02
2.047759857177734375e+02,3.140640258789062500e-02
2.090791778564453125e+02,-1.178109645843505859e-02
2.133713073730468750e+02,-5.368149280548095703e-02
2.176944885253906250e+02,-9.456968307495117188e-02
2.220908508300781250e+02,-1.347206830978393555e-01
2.266025238037109375e+02,-1.744096279144287109e-01
2.312716217041015625e+02,-2.139115333557128906e-01
2.361402893066406250e+02,-2.535014152526855469e-01
2.412506408691406250e+02,-2.934542894363403320e-01
2.466447906494140625e+02,-3.340451717376708984e-01
2.523648834228515625e+02,-3.755491971969604492e-01
2.584530334472656250e+02,-4.182413816452026367e-01
2.649513854980468750e+02,-4.623967409133911133e-01
2.719020385742187500e+02,-5.082902908325195312e-01
2.793471069335937500e+02,-5.561970472335815430e-01
2.873287658691406250e+02,-6.063921451568603516e-01
2.958890991210937500e+02,-6.591504812240600586e-01
2.997710571289062500e+02,-5.991610288619995117e-01
2.998236999511718750e+02,-4.532899856567382812e-01
2.998763427734375000e+02,-3.074188232421875000e-01
3.012349853515625000e+02,-1.946765184402465820e-01
3.070382080078125000e+02,-1.946765184402465820e-01
3.128414001464843750e+02,-1.946765184402465820e-01
3.186446228027343750e+02,-1.946765184402465820e-01
3.244478149414062500e+02,-1.946765184402465820e-01
3.302510375976562500e+02,-1.946765184402465820e-01
3.360542297363281250e+02,-1.946765184402465820e-01
3.418574523925781250e+02,-1.946765184402465820e-01
3.476606445312500000e+02,-1.946765184402465820e-01
3.534638366699218750e+02,-1.946765184402465820e-01
3.592670593261718750e+02,-1.946765184402465820e-01
3.650702514648437500e+02,-1.946765184402465820e-01
3.708734741210937500e+02,-1.946765184402465820e-01
3.766766662597656250e+02,-1.946765184402465820e-01
3.824798889160156250e+02,-1.946765184402465820e-01
3.882830810546875000e+02,-1.946765184402465820e-01
3.940863037109375000e+02,-1.946765184402465820e-01
3.998894958496093750e+02,-1.946765184402465820e-01
