time [ms],current density [pA/pF]
0.000000000000000000e+00,-8.787214756011962891e-02
4.817887783050537109e+00,-8.787214756011962891e-02
9.635775566101074219e+00,-8.787214756011962891e-02
1.445366287231445312e+01,-8.787214756011962891e-02
1.927155113220214844e+01,-8.787214756011962891e-02
2.408943939208984375e+01,-8.787214756011962891e-02
2.890732574462890625e+01,-8.787214756011962891e-02
3.372521591186523438e+01,-8.787214756011962891e-02
3.854310226440429688e+01,-8.787214756011962891e-02
4.336098861694335938e+01,-8.787214756011962891e-02
4.817887878417968750e+01,-8.787214756011962891e-02
4.980837249755859375e+01,-7.230520248413085938e-03
4.983797073364257812e+01,1.138761043548583984e-01
4.986756896972656250e+01,2.349824905395507812e-01
4.989716720581054688e+01,3.560891151428222656e-01
4.992676544189453125e+01,4.771957397460937500e-01
4.995636367797851562e+01,5.983021259307861328e-01
4.998595809936523438e+01,7.194087505340576172e-01
5.001555633544921875e+01,8.405151367187500000e-01
5.004515457153320312e+01,9.616217613220214844e-01
5.007475280761718750e+01,1.082728385925292969e+00
5.010435104370117188e+01,1.203834772109985352e+00
5.013394927978515625e+01,1.324941396713256836e+00
5.116617202758789062e+01,1.355659723281860352e+00
5.274125671386718750e+01,1.344894886016845703e+00
5.452183914184570312e+01,1.327557325363159180e+00
5.654420089721679688e+01,1.303986072540283203e+00
5.884463119506835938e+01,1.274520158767700195e+00
6.145941162109375000e+01,1.239498615264892578e+00
6.442482757568359375e+01,1.199260950088500977e+00
6.777716827392578125e+01,1.154145956039428711e+00
7.155271911621093750e+01,1.104492902755737305e+00
7.578775787353515625e+01,1.050640583038330078e+00
8.051856994628906250e+01,9.929285049438476562e-01
8.578144836425781250e+01,9.316954612731933594e-01
9.161267089843750000e+01,8.672807216644287109e-01
9.804852294921875000e+01,8.000233173370361328e-01
1.051252899169921875e+02,7.302622795104980469e-01
1.128792572021484375e+02,6.583371162414550781e-01
1.213467178344726562e+02,5.845863819122314453e-01
1.296188964843750000e+02,5.167989730834960938e-01
1.367468719482421875e+02,4.610977172851562500e-01
1.438536224365234375e+02,4.078190326690673828e-01
1.509289093017578125e+02,3.569130897521972656e-01
1.579625396728515625e+02,3.083300590515136719e-01
1.649442749023437500e+02,2.620201110839843750e-01
1.718639221191406250e+02,2.179334163665771484e-01
1.787112274169921875e+02,1.760203838348388672e-01
1.854760131835937500e+02,1.362309455871582031e-01
1.921480407714843750e+02,9.851527214050292969e-02
1.987171020507812500e+02,6.282353401184082031e-02
2.051729736328125000e+02,2.910590171813964844e-02
2.115054473876953125e+02,-2.687215805053710938e-03
2.177042846679687500e+02,-3.260576725006103516e-02
2.237592926025390625e+02,-6.069970130920410156e-02
2.296602478027343750e+02,-8.701884746551513672e-02
2.353969268798828125e+02,-1.116127967834472656e-01
2.409591064453125000e+02,-1.345316171646118164e-01
2.463365936279296875e+02,-1.558248996734619141e-01
2.515191497802734375e+02,-1.755427122116088867e-01
2.564965515136718750e+02,-1.937347650527954102e-01
2.612586059570312500e+02,-2.104507684707641602e-01
2.657950744628906250e+02,-2.257407903671264648e-01
2.700957641601562500e+02,-2.396544218063354492e-01
2.741504516601562500e+02,-2.522416114807128906e-01
2.779488830566406250e+02,-2.635520696640014648e-01
2.814808959960937500e+02,-2.736357450485229492e-01
2.847362365722656250e+02,-2.825424671173095703e-01
2.877047119140625000e+02,-2.903219461441040039e-01
2.903760681152343750e+02,-2.970241308212280273e-01
2.927401428222656250e+02,-3.026987314224243164e-01
2.947866516113281250e+02,-3.073955774307250977e-01
2.965054321289062500e+02,-3.111646175384521484e-01
2.978862609863281250e+02,-3.140555620193481445e-01
2.989188842773437500e+02,-3.161182403564453125e-01
2.995931091308593750e+02,-3.174026012420654297e-01
2.998987426757812500e+02,-3.179582357406616211e-01
2.999170227050781250e+02,-2.344180345535278320e-01
3.035317382812500000e+02,-8.306431770324707031e-02
3.083496398925781250e+02,-8.306431770324707031e-02
3.131675109863281250e+02,-8.306431770324707031e-02
3.179854125976562500e+02,-8.306431770324707031e-02
3.228032836914062500e+02,-8.306431770324707031e-02
3.276211853027343750e+02,-8.306431770324707031e-02
3.324390563964843750e+02,-8.306431770324707031e-02
3.372569580078125000e+02,-8.306431770324707031e-02
3.420748291015625000e+02,-8.306431770324707031e-02
3.468927307128906250e+02,-8.306431770324707031e-02
3.517106323242187500e+02,-8.306431770324707031e-02
3.565285034179687500e+02,-8.306431770324707031e-02
3.613464050292968750e+02,-8.306431770324707031e-02
3.661642761230468750e+02,-8.306431770324707031e-02
3.709821777343750000e+02,-8.306431770324707031e-02
3.758000488281250000e+02,-8.306431770324707031e-02
3.806179504394531250e+02,-8.306431770324707031e-02
3.854358215332031250e+02,-8.306431770324707031e-02
3.902537231445312500e+02,-8.306431770324707031e-02
3.950715942382812500e+02,-8.306431770324707031e-02
3.998894958496093750e+02,-8.306431770324707031e-02
