voltage [mV],current density [pA/pF]
-7.994524383544921875e+01,-6.663239002227783203e-01
-7.820953369140625000e+01,-6.632900238037109375e-01
-7.637892913818359375e+01,-6.446269750595092773e-01
-7.456207275390625000e+01,-6.257804036140441895e-01
-7.275881958007812500e+01,-6.067456007003784180e-01
-7.096900177001953125e+01,-5.875177383422851562e-01
-6.919246673583984375e+01,-5.680921077728271484e-01
-6.742904663085937500e+01,-5.484638810157775879e-01
-6.567858123779296875e+01,-5.286283493041992188e-01
-6.394091033935546875e+01,-5.085808038711547852e-01
-6.221588134765625000e+01,-4.883163571357727051e-01
-6.050333023071289062e+01,-4.678303599357604980e-01
-5.880309295654296875e+01,-4.471179842948913574e-01
-5.711501312255859375e+01,-4.261744618415832520e-01
-5.543893051147460938e+01,-4.049950838088989258e-01
-5.377468109130859375e+01,-3.835750818252563477e-01
-5.212211608886718750e+01,-3.619096279144287109e-01
-5.048105621337890625e+01,-3.399940133094787598e-01
-4.885136032104492188e+01,-3.178234696388244629e-01
-4.723285675048828125e+01,-2.953932285308837891e-01
-4.562538909912109375e+01,-2.726985216140747070e-01
-4.402879714965820312e+01,-2.497346401214599609e-01
-4.244292449951171875e+01,-2.264967560768127441e-01
-4.086760330200195312e+01,-2.029801011085510254e-01
-3.930267715454101562e+01,-1.791799664497375488e-01
-3.774798583984375000e+01,-1.550915837287902832e-01
-3.620336914062500000e+01,-1.307101845741271973e-01
-3.466866683959960938e+01,-1.060309410095214844e-01
-3.314372253417968750e+01,-8.104920387268066406e-02
-3.162836837768554688e+01,-5.576008558273315430e-02
-3.012245178222656250e+01,-3.015893697738647461e-02
-2.862580871582031250e+01,-4.240930080413818359e-03
-2.713827896118164062e+01,2.199864387512207031e-02
-2.565970230102539062e+01,4.856455326080322266e-02
-2.418992233276367188e+01,7.546162605285644531e-02
-2.272877502441406250e+01,1.026946306228637695e-01
-2.127610015869140625e+01,1.302682161331176758e-01
-1.983173751831054688e+01,1.581872701644897461e-01
-1.839553070068359375e+01,1.864564418792724609e-01
-1.696731567382812500e+01,2.150804996490478516e-01
-1.554692840576171875e+01,2.440643310546875000e-01
-1.413422393798828125e+01,2.734125852584838867e-01
-1.272902679443359375e+01,3.031300306320190430e-01
-1.133118438720703125e+01,3.332215547561645508e-01
-9.940528869628906250e+00,3.636916875839233398e-01
-8.556907653808593750e+00,3.945454359054565430e-01
-7.180160522460937500e+00,4.257874488830566406e-01
-5.810127258300781250e+00,4.574223756790161133e-01
-4.446647644042968750e+00,4.894552230834960938e-01
-3.089553833007812500e+00,5.218905210494995117e-01
-1.738693237304687500e+00,5.547331571578979492e-01
-3.939056396484375000e-01,5.879878997802734375e-01
9.449691772460937500e-01,6.216593980789184570e-01
2.278099060058593750e+00,6.557526588439941406e-01
3.605628967285156250e+00,6.902720928192138672e-01
4.927734375000000000e+00,7.252228260040283203e-01
6.244567871093750000e+00,7.606092691421508789e-01
7.556289672851562500e+00,7.964364290237426758e-01
8.863067626953125000e+00,8.327090740203857422e-01
1.016504669189453125e+01,8.694318532943725586e-01
1.146239471435546875e+01,9.066095352172851562e-01
1.275527954101562500e+01,9.442468881607055664e-01
1.404385375976562500e+01,9.823486804962158203e-01
1.532826995849609375e+01,1.020919799804687500e+00
1.660870361328125000e+01,1.059964895248413086e+00
1.788530731201171875e+01,1.099488496780395508e+00
1.915824127197265625e+01,1.139495849609375000e+00
2.042766571044921875e+01,1.179991483688354492e+00
2.169373321533203125e+01,1.220979928970336914e+00
2.295661926269531250e+01,1.262466192245483398e+00
2.421647644042968750e+01,1.304455280303955078e+00
2.547346496582031250e+01,1.346951484680175781e+00
2.672774505615234375e+01,1.389959812164306641e+00
2.797947692871093750e+01,1.433484792709350586e+00
2.922882080078125000e+01,1.477531671524047852e+00
3.047592926025390625e+01,1.522104740142822266e+00
3.172097778320312500e+01,1.567209005355834961e+00
3.296411895751953125e+01,1.612848997116088867e+00
3.420550537109375000e+01,1.659029722213745117e+00
3.544531250000000000e+01,1.705755949020385742e+00
3.668368530273437500e+01,1.753032207489013672e+00
3.792079162597656250e+01,1.800863504409790039e+00
3.915679168701171875e+01,1.849254369735717773e+00
4.039184570312500000e+01,1.898209810256958008e+00
4.162611389160156250e+01,1.947734355926513672e+00
4.285975646972656250e+01,1.997833013534545898e+00
4.409292602539062500e+01,2.048510313034057617e+00
4.532579040527343750e+01,2.099771261215209961e+00
4.655850982666015625e+01,2.151620388031005859e+00
4.779124450683593750e+01,2.204062461853027344e+00
4.902415466308593750e+01,2.257102489471435547e+00
5.025740051269531250e+01,2.310744762420654297e+00
5.149113464355468750e+01,2.364994525909423828e+00
5.272552490234375000e+01,2.419856548309326172e+00
5.396072387695312500e+01,2.475335121154785156e+00
5.519689941406250000e+01,2.531435489654541016e+00
5.643421936035156250e+01,2.588162183761596680e+00
5.767282104492187500e+01,2.645519971847534180e+00
5.891288757324218750e+01,2.703513622283935547e+00
6.015455627441406250e+01,2.762147903442382812e+00
