voltage [mV],current density [pA/pF]
-1.000000000000000000e+02,-4.215188026428222656e-01
-9.843714904785156250e+01,-4.080270528793334961e-01
-9.688143920898437500e+01,-3.946957588195800781e-01
-9.533268737792968750e+01,-3.815094232559204102e-01
-9.379069519042968750e+01,-3.684526681900024414e-01
-9.225527191162109375e+01,-3.555098772048950195e-01
-9.072623443603515625e+01,-3.426656723022460938e-01
-8.920338439941406250e+01,-3.299045562744140625e-01
-8.768653106689453125e+01,-3.172109127044677734e-01
-8.617548370361328125e+01,-3.045692443847656250e-01
-8.467005920410156250e+01,-2.919642925262451172e-01
-8.317005920410156250e+01,-2.793803215026855469e-01
-8.167529296875000000e+01,-2.668019533157348633e-01
-8.018556213378906250e+01,-2.542135715484619141e-01
-7.870069885253906250e+01,-2.415999174118041992e-01
-7.722048950195312500e+01,-2.289452552795410156e-01
-7.574475860595703125e+01,-2.162343263626098633e-01
-7.427330780029296875e+01,-2.034513950347900391e-01
-7.280594635009765625e+01,-1.905810832977294922e-01
-7.134248352050781250e+01,-1.776080131530761719e-01
-6.988273620605468750e+01,-1.645164489746093750e-01
-6.842649841308593750e+01,-1.512911319732666016e-01
-6.697358703613281250e+01,-1.379164457321166992e-01
-6.552381896972656250e+01,-1.243768930435180664e-01
-6.407699584960937500e+01,-1.106569766998291016e-01
-6.263292312622070312e+01,-9.674119949340820312e-02
-6.119141769409179688e+01,-8.261418342590332031e-02
-5.975228118896484375e+01,-6.826043128967285156e-02
-5.831533050537109375e+01,-5.366432666778564453e-02
-5.688036727905273438e+01,-3.881037235260009766e-02
-5.544720840454101562e+01,-2.368319034576416016e-02
-5.401565933227539062e+01,-8.267164230346679688e-03
-5.258552551269531250e+01,7.453083992004394531e-03
-5.115662384033203125e+01,2.349317073822021484e-02
-4.972875595092773438e+01,3.986835479736328125e-02
-4.830173492431640625e+01,5.659437179565429688e-02
-4.687537002563476562e+01,7.368671894073486328e-02
-4.544947052001953125e+01,9.116065502166748047e-02
-4.402384567260742188e+01,1.090319156646728516e-01
-4.259830093383789062e+01,1.273157596588134766e-01
-4.117265319824218750e+01,1.460279226303100586e-01
-3.974670028686523438e+01,1.651837825775146484e-01
-3.832026290893554688e+01,1.847987174987792969e-01
-3.689314270019531250e+01,2.048884630203247070e-01
-3.546515655517578125e+01,2.254683971405029297e-01
-3.403610229492187500e+01,2.465538978576660156e-01
-3.260579681396484375e+01,2.681605815887451172e-01
-3.117404937744140625e+01,2.903039455413818359e-01
-2.974066925048828125e+01,3.129994869232177734e-01
-2.830545806884765625e+01,3.362627029418945312e-01
-2.686823272705078125e+01,3.601089715957641602e-01
-2.542880249023437500e+01,3.845537900924682617e-01
-2.398697662353515625e+01,4.096127748489379883e-01
-2.254255676269531250e+01,4.353014230728149414e-01
-2.109535980224609375e+01,4.616351127624511719e-01
-1.964519500732421875e+01,4.886294603347778320e-01
-1.819186401367187500e+01,5.162999629974365234e-01
-1.673519134521484375e+01,5.446617603302001953e-01
-1.527496337890625000e+01,5.737309455871582031e-01
-1.381101226806640625e+01,6.035225391387939453e-01
-1.234313201904296875e+01,6.340520381927490234e-01
-1.087113189697265625e+01,6.653351783752441406e-01
-9.394836425781250000e+00,6.973874568939208984e-01
-7.914039611816406250e+00,7.302243709564208984e-01
-6.428550720214843750e+00,7.638609409332275391e-01
-4.938186645507812500e+00,7.983133792877197266e-01
-3.442756652832031250e+00,8.335967063903808594e-01
-1.942062377929687500e+00,8.697264194488525391e-01
-4.359130859375000000e-01,9.067182540893554688e-01
1.075866699218750000e+00,9.445874691009521484e-01
2.593490600585937500e+00,9.833495616912841797e-01
4.117126464843750000e+00,1.023020267486572266e+00
5.646987915039062500e+00,1.063615083694458008e+00
7.183250427246093750e+00,1.105149030685424805e+00
8.726104736328125000e+00,1.147638082504272461e+00
1.027574920654296875e+01,1.191097736358642578e+00
1.183236694335937500e+01,1.235543012619018555e+00
1.339616394042968750e+01,1.280989885330200195e+00
1.496730804443359375e+01,1.327453613281250000e+00
1.654600524902343750e+01,1.374949932098388672e+00
1.813244628906250000e+01,1.423493862152099609e+00
1.972682189941406250e+01,1.473101377487182617e+00
2.132931518554687500e+01,1.523787498474121094e+00
2.294012451171875000e+01,1.575568199157714844e+00
2.455943298339843750e+01,1.628458738327026367e+00
2.618743896484375000e+01,1.682474851608276367e+00
2.782433319091796875e+01,1.737631559371948242e+00
2.947030639648437500e+01,1.793944597244262695e+00
3.112553405761718750e+01,1.851429462432861328e+00
3.279023742675781250e+01,1.910101890563964844e+00
3.446458435058593750e+01,1.969976902008056641e+00
3.614875793457031250e+01,2.031070232391357422e+00
3.784298706054687500e+01,2.093397378921508789e+00
3.954740905761718750e+01,2.156973838806152344e+00
4.126226806640625000e+01,2.221815109252929688e+00
4.298771667480468750e+01,2.287936687469482422e+00
4.472396850585937500e+01,2.355354070663452148e+00
4.647119140625000000e+01,2.424082756042480469e+00
4.822959899902343750e+01,2.494138002395629883e+00
4.999937438964843750e+01,2.565535545349121094e+00
