voltage [mV],current [pA]
-1.479779052734375000e+02,1.896190834045410156e+01
-1.457713317871093750e+02,1.955364990234375000e+01
-1.435519409179687500e+02,2.016276359558105469e+01
-1.413191528320312500e+02,2.078996086120605469e+01
-1.390723876953125000e+02,2.143595123291015625e+01
-1.368110656738281250e+02,2.210144233703613281e+01
-1.345346374511718750e+02,2.278714561462402344e+01
-1.322425079345703125e+02,2.349376869201660156e+01
-1.299340972900390625e+02,2.422202301025390625e+01
-1.276088562011718750e+02,2.497262001037597656e+01
-1.252661895751953125e+02,2.574626541137695312e+01
-1.229055328369140625e+02,2.654367065429687500e+01
-1.205263137817382812e+02,2.736554527282714844e+01
-1.181279602050781250e+02,2.821260070800781250e+01
-1.157098846435546875e+02,2.908554458618164062e+01
-1.132715301513671875e+02,2.998508453369140625e+01
-1.108123168945312500e+02,3.091193580627441406e+01
-1.083316650390625000e+02,3.186680221557617188e+01
-1.058290023803710938e+02,3.285039901733398438e+01
-1.033037567138671875e+02,3.386343002319335938e+01
-1.007553634643554688e+02,3.490660858154296875e+01
-9.818324279785156250e+01,3.598064422607421875e+01
-9.558680725097656250e+01,3.708624649047851562e+01
-9.296549987792968750e+01,3.822412490844726562e+01
-9.031874084472656250e+01,3.939498901367187500e+01
-8.764596557617187500e+01,4.059954833984375000e+01
-8.494657897949218750e+01,4.183850860595703125e+01
-8.222003173828125000e+01,4.311258697509765625e+01
-7.946572875976562500e+01,4.442248916625976562e+01
-7.668311309814453125e+01,4.576892471313476562e+01
-7.387159729003906250e+01,4.715260314941406250e+01
-7.103062438964843750e+01,4.857423400878906250e+01
-6.815959930419921875e+01,5.003452682495117188e+01
-6.525796508789062500e+01,5.153419494628906250e+01
-6.232513427734375000e+01,5.307394409179687500e+01
-5.936054611206054688e+01,5.465448379516601562e+01
-5.636362075805664062e+01,5.627652740478515625e+01
-5.333378601074218750e+01,5.794078063964843750e+01
-5.027046203613281250e+01,5.964795303344726562e+01
-4.717308044433593750e+01,6.139875793457031250e+01
-4.404107666015625000e+01,6.319390106201171875e+01
-4.087385559082031250e+01,6.503409576416015625e+01
-3.767086029052734375e+01,6.692005157470703125e+01
-3.443151092529296875e+01,6.885247039794921875e+01
-3.115523529052734375e+01,7.083206939697265625e+01
-2.784145355224609375e+01,7.285955810546875000e+01
-2.448960113525390625e+01,7.493564605712890625e+01
-2.109909820556640625e+01,7.706104278564453125e+01
-1.766937255859375000e+01,7.923645019531250000e+01
-1.419985198974609375e+01,8.146259307861328125e+01
-1.068996429443359375e+01,8.374016571044921875e+01
-7.139122009277343750e+00,8.606988525390625000e+01
-3.546768188476562500e+00,8.845246124267578125e+01
8.767700195312500000e-02,9.088861083984375000e+01
3.652870178222656250e+00,9.330279541015625000e+01
6.113471984863281250e+00,9.497441864013671875e+01
8.576278686523437500e+00,9.664404296875000000e+01
1.104153442382812500e+01,9.831135559082031250e+01
1.350941467285156250e+01,9.997601318359375000e+01
1.598016357421875000e+01,1.016376876831054688e+02
1.845401000976562500e+01,1.032960586547851562e+02
2.093115234375000000e+01,1.049507980346679688e+02
2.341181945800781250e+01,1.066015625000000000e+02
2.589624023437500000e+01,1.082480468750000000e+02
2.838461303710937500e+01,1.098899002075195312e+02
3.087716674804687500e+01,1.115268096923828125e+02
3.337411499023437500e+01,1.131584396362304688e+02
3.587570190429687500e+01,1.147844619750976562e+02
3.838211059570312500e+01,1.164045562744140625e+02
4.089358520507812500e+01,1.180183792114257812e+02
4.341033935546875000e+01,1.196256179809570312e+02
4.593258666992187500e+01,1.212259368896484375e+02
4.846055603027343750e+01,1.228190002441406250e+02
5.099446105957031250e+01,1.244044952392578125e+02
5.353451538085937500e+01,1.259820785522460938e+02
5.608094787597656250e+01,1.275514373779296875e+02
5.863397216796875000e+01,1.291122283935546875e+02
6.119380187988281250e+01,1.306641235351562500e+02
6.376068115234375000e+01,1.322068176269531250e+02
6.633479309082031250e+01,1.337399444580078125e+02
6.891638183593750000e+01,1.352632141113281250e+02
7.150566101074218750e+01,1.367762756347656250e+02
7.410284423828125000e+01,1.382787933349609375e+02
7.670816040039062500e+01,1.397704620361328125e+02
7.932182312011718750e+01,1.412509460449218750e+02
8.194406127929687500e+01,1.427199096679687500e+02
8.457507324218750000e+01,1.441770172119140625e+02
8.721510314941406250e+01,1.456219635009765625e+02
8.986434936523437500e+01,1.470543975830078125e+02
9.252302551269531250e+01,1.484739990234375000e+02
9.519137573242187500e+01,1.498804473876953125e+02
9.786961364746093750e+01,1.512734069824218750e+02
1.005579528808593750e+02,1.526525573730468750e+02
1.032566070556640625e+02,1.540175628662109375e+02
1.059658050537109375e+02,1.553680877685546875e+02
1.086857604980468750e+02,1.567038116455078125e+02
1.114166870117187500e+02,1.580244140625000000e+02
1.141588134765625000e+02,1.593295593261718750e+02
1.169123687744140625e+02,1.606189117431640625e+02
1.196775512695312500e+02,1.618921508789062500e+02
