voltage [mV],current [pA]
-1.478319091796875000e+02,8.705469965934753418e-01
-1.461593322753906250e+02,9.054186940193176270e-01
-1.443995971679687500e+02,9.405866861343383789e-01
-1.425547332763671875e+02,9.763864278793334961e-01
-1.406267395019531250e+02,1.013153553009033203e+00
-1.386175994873046875e+02,1.051223516464233398e+00
-1.365293273925781250e+02,1.090932130813598633e+00
-1.343639221191406250e+02,1.132614731788635254e+00
-1.321233673095703125e+02,1.176607131958007812e+00
-1.298096923828125000e+02,1.223244667053222656e+00
-1.274248886108398438e+02,1.272862911224365234e+00
-1.249709472656250000e+02,1.325797677040100098e+00
-1.224498748779296875e+02,1.382384300231933594e+00
-1.198636703491210938e+02,1.442958593368530273e+00
-1.172143325805664062e+02,1.507855892181396484e+00
-1.145038681030273438e+02,1.577411890029907227e+00
-1.117342681884765625e+02,1.651962041854858398e+00
-1.089075469970703125e+02,1.731842160224914551e+00
-1.060256958007812500e+02,1.817387580871582031e+00
-1.030907135009765625e+02,1.908933997154235840e+00
-1.001046142578125000e+02,2.006816864013671875e+00
-9.706938171386718750e+01,2.111371994018554688e+00
-9.398702239990234375e+01,2.222934961318969727e+00
-9.085954284667968750e+01,2.341840982437133789e+00
-8.768893432617187500e+01,2.468425750732421875e+00
-8.447720336914062500e+01,2.603025197982788086e+00
-8.122635650634765625e+01,2.745974302291870117e+00
-7.793838500976562500e+01,2.897609233856201172e+00
-7.461528778076171875e+01,3.058265209197998047e+00
-7.125907897949218750e+01,3.228277921676635742e+00
-6.787173461914062500e+01,3.407982826232910156e+00
-6.445528411865234375e+01,3.597715616226196289e+00
-6.101171112060546875e+01,3.797811985015869141e+00
-5.754301834106445312e+01,4.008607387542724609e+00
-5.405120849609375000e+01,4.230437278747558594e+00
-5.053828430175781250e+01,4.463637351989746094e+00
-4.700624084472656250e+01,4.708542823791503906e+00
-4.345708465576171875e+01,4.965489864349365234e+00
-3.989281463623046875e+01,5.234813690185546875e+00
-3.631542968750000000e+01,5.516849994659423828e+00
-3.272692871093750000e+01,5.811934471130371094e+00
-2.912931823730468750e+01,6.120402336120605469e+00
-2.552458953857421875e+01,6.442589759826660156e+00
-2.191475677490234375e+01,6.778831481933593750e+00
-1.830180358886718750e+01,7.129463672637939453e+00
-1.468775177001953125e+01,7.494821548461914062e+00
-1.107458496093750000e+01,7.875241279602050781e+00
-7.464309692382812500e+00,8.271058082580566406e+00
-3.858924865722656250e+00,8.682606697082519531e+00
-2.604370117187500000e-01,9.110224723815917969e+00
3.329162597656250000e+00,9.554245948791503906e+00
6.965950012207031250e+00,1.001903057098388672e+01
1.053483581542968750e+01,1.048166465759277344e+01
1.400724792480468750e+01,1.093795108795166016e+01
1.738609313964843750e+01,1.138810634613037109e+01
2.067428588867187500e+01,1.183234882354736328e+01
2.387477111816406250e+01,1.227089500427246094e+01
2.699046325683593750e+01,1.270396041870117188e+01
3.002429199218750000e+01,1.313176441192626953e+01
3.297918701171875000e+01,1.355452251434326172e+01
3.585806274414062500e+01,1.397245216369628906e+01
3.866386413574218750e+01,1.438577079772949219e+01
4.139949035644531250e+01,1.479469490051269531e+01
4.406787109375000000e+01,1.519944190979003906e+01
4.667195129394531250e+01,1.560022830963134766e+01
4.921463012695312500e+01,1.599727153778076172e+01
5.169886779785156250e+01,1.639078903198242188e+01
5.412754821777343750e+01,1.678099822998046875e+01
5.650363159179687500e+01,1.716811370849609375e+01
5.883001708984375000e+01,1.755235481262207031e+01
6.110964965820312500e+01,1.793393898010253906e+01
6.334544372558593750e+01,1.831307983398437500e+01
6.554032897949218750e+01,1.868999862670898438e+01
6.769721984863281250e+01,1.906491088867187500e+01
6.981906127929687500e+01,1.943803215026855469e+01
7.190876770019531250e+01,1.980958175659179688e+01
7.396925354003906250e+01,2.017977523803710938e+01
7.600346374511718750e+01,2.054883003234863281e+01
7.801431274414062500e+01,2.091696357727050781e+01
8.000473022460937500e+01,2.128439140319824219e+01
8.197763061523437500e+01,2.165133285522460938e+01
8.393595886230468750e+01,2.201800346374511719e+01
8.588261413574218750e+01,2.238462066650390625e+01
8.782054138183593750e+01,2.275140190124511719e+01
8.975267028808593750e+01,2.311856269836425781e+01
9.168191528320312500e+01,2.348632240295410156e+01
9.361119079589843750e+01,2.385489654541015625e+01
9.554344177246093750e+01,2.422450256347656250e+01
9.748158264160156250e+01,2.459535598754882812e+01
9.942854309082031250e+01,2.496767807006835938e+01
1.013872528076171875e+02,2.534168052673339844e+01
1.033606262207031250e+02,2.571758460998535156e+01
1.053515930175781250e+02,2.609560394287109375e+01
1.073630828857421875e+02,2.647595977783203125e+01
1.093980255126953125e+02,2.685886383056640625e+01
1.114593200683593750e+02,2.724453926086425781e+01
1.135499267578125000e+02,2.763319778442382812e+01
1.156727447509765625e+02,2.802505874633789062e+01
1.178307037353515625e+02,2.842033958435058594e+01
1.200267333984375000e+02,2.881925582885742188e+01
