voltage [mV],current [pA]
-1.471892242431640625e+02,-2.690151023864746094e+01
-1.442253265380859375e+02,-2.642239379882812500e+01
-1.413323974609375000e+02,-2.595645904541015625e+01
-1.385075988769531250e+02,-2.550324630737304688e+01
-1.357481231689453125e+02,-2.506229972839355469e+01
-1.330511322021484375e+02,-2.463315963745117188e+01
-1.304138031005859375e+02,-2.421537017822265625e+01
-1.278333129882812500e+02,-2.380846977233886719e+01
-1.253068161010742188e+02,-2.341200256347656250e+01
-1.228314971923828125e+02,-2.302550888061523438e+01
-1.204045257568359375e+02,-2.264853286743164062e+01
-1.180230712890625000e+02,-2.228061294555664062e+01
-1.156843032836914062e+02,-2.192129516601562500e+01
-1.133854064941406250e+02,-2.157011795043945312e+01
-1.111235427856445312e+02,-2.122662353515625000e+01
-1.088958892822265625e+02,-2.089035415649414062e+01
-1.066996154785156250e+02,-2.056085586547851562e+01
-1.045318908691406250e+02,-2.023766326904296875e+01
-1.023898925781250000e+02,-1.992032623291015625e+01
-1.002707824707031250e+02,-1.960837936401367188e+01
-9.817175292968750000e+01,-1.930136871337890625e+01
-9.608995056152343750e+01,-1.899883270263671875e+01
-9.402256774902343750e+01,-1.870031738281250000e+01
-9.196676635742187500e+01,-1.840536117553710938e+01
-8.991972351074218750e+01,-1.811350631713867188e+01
-8.787861633300781250e+01,-1.782429885864257812e+01
-8.584059143066406250e+01,-1.753727722167968750e+01
-8.380285644531250000e+01,-1.725198364257812500e+01
-8.176255798339843750e+01,-1.696795654296875000e+01
-7.971687316894531250e+01,-1.668474578857421875e+01
-7.766298675537109375e+01,-1.640188598632812500e+01
-7.559805297851562500e+01,-1.611892318725585938e+01
-7.351925659179687500e+01,-1.583539581298828125e+01
-7.142376708984375000e+01,-1.555084991455078125e+01
-6.930874633789062500e+01,-1.526482391357421875e+01
-6.717138671875000000e+01,-1.497686004638671875e+01
-6.500883483886718750e+01,-1.468650436401367188e+01
-6.281828689575195312e+01,-1.439329147338867188e+01
-6.059690093994140625e+01,-1.409677124023437500e+01
-5.834185409545898438e+01,-1.379647827148437500e+01
-5.605031585693359375e+01,-1.349195861816406250e+01
-5.371945953369140625e+01,-1.318275070190429688e+01
-5.134645080566406250e+01,-1.286840438842773438e+01
-4.892847442626953125e+01,-1.254845046997070312e+01
-4.646269989013671875e+01,-1.222243881225585938e+01
-4.394628906250000000e+01,-1.188991165161132812e+01
-4.137641906738281250e+01,-1.155040359497070312e+01
-3.875026702880859375e+01,-1.120346450805664062e+01
-3.606500244140625000e+01,-1.084862899780273438e+01
-3.331778717041015625e+01,-1.048544311523437500e+01
-3.050581359863281250e+01,-1.011345291137695312e+01
-2.762623596191406250e+01,-9.732189178466796875e+00
-2.467623901367187500e+01,-9.341205596923828125e+00
-2.178365325927734375e+01,-8.958053588867187500e+00
-1.900925445556640625e+01,-8.593692779541015625e+00
-1.628855895996093750e+01,-8.240207672119140625e+00
-1.361737823486328125e+01,-7.897377014160156250e+00
-1.099151611328125000e+01,-7.564994812011718750e+00
-8.406776428222656250e+00,-7.242843627929687500e+00
-5.858970642089843750e+00,-6.930709838867187500e+00
-3.343902587890625000e+00,-6.628376007080078125e+00
-8.573837280273437500e-01,-6.335636138916015625e+00
1.604789733886718750e+00,-6.052268981933593750e+00
4.046806335449218750e+00,-5.778060913085937500e+00
6.472854614257812500e+00,-5.512805938720703125e+00
8.887130737304687500e+00,-5.256282806396484375e+00
1.129383850097656250e+01,-5.008277893066406250e+00
1.369715881347656250e+01,-4.768581390380859375e+00
1.610128784179687500e+01,-4.536979675292968750e+00
1.851042175292968750e+01,-4.313251495361328125e+00
2.092875671386718750e+01,-4.097190856933593750e+00
2.336047363281250000e+01,-3.888580322265625000e+00
2.580978393554687500e+01,-3.687206268310546875e+00
2.828085327148437500e+01,-3.492858886718750000e+00
3.077790832519531250e+01,-3.305316925048828125e+00
3.330513000488281250e+01,-3.124370574951171875e+00
3.586669921875000000e+01,-2.949806213378906250e+00
3.846682739257812500e+01,-2.781410217285156250e+00
4.110971069335937500e+01,-2.618968963623046875e+00
4.379951477050781250e+01,-2.462265014648437500e+00
4.654046630859375000e+01,-2.311088562011718750e+00
4.933673095703125000e+01,-2.165225982666015625e+00
5.219252014160156250e+01,-2.024459838867187500e+00
5.511201477050781250e+01,-1.888580322265625000e+00
5.809942626953125000e+01,-1.757369995117187500e+00
6.115892028808593750e+01,-1.630615234375000000e+00
6.429472351074218750e+01,-1.508102416992187500e+00
6.751101684570312500e+01,-1.389621734619140625e+00
7.081198120117187500e+01,-1.274955749511718750e+00
7.420181274414062500e+01,-1.163890838623046875e+00
7.768472290039062500e+01,-1.056213378906250000e+00
8.126489257812500000e+01,-9.517097473144531250e-01
8.494650268554687500e+01,-8.501663208007812500e-01
8.873377990722656250e+01,-7.513694763183593750e-01
9.263088989257812500e+01,-6.551055908203125000e-01
9.664202880859375000e+01,-5.611572265625000000e-01
1.007714080810546875e+02,-4.693145751953125000e-01
1.050231933593750000e+02,-3.793640136718750000e-01
1.094016113281250000e+02,-2.910881042480468750e-01
1.139108276367187500e+02,-2.042732238769531250e-01
