voltage [mV],current [pA]
-1.481660156250000000e+02,-1.486562957763671875e+02
-1.456981048583984375e+02,-1.471682281494140625e+02
-1.432390747070312500e+02,-1.456873474121093750e+02
-1.407883758544921875e+02,-1.442134094238281250e+02
-1.383454895019531250e+02,-1.427461242675781250e+02
-1.359098968505859375e+02,-1.412852325439453125e+02
-1.334810485839843750e+02,-1.398304443359375000e+02
-1.310584106445312500e+02,-1.383815002441406250e+02
-1.286414642333984375e+02,-1.369381103515625000e+02
-1.262296600341796875e+02,-1.355000305175781250e+02
-1.238224792480468750e+02,-1.340669708251953125e+02
-1.214193954467773438e+02,-1.326386566162109375e+02
-1.190198669433593750e+02,-1.312148284912109375e+02
-1.166233596801757812e+02,-1.297951965332031250e+02
-1.142293395996093750e+02,-1.283795013427734375e+02
-1.118372879028320312e+02,-1.269674682617187500e+02
-1.094466629028320312e+02,-1.255588226318359375e+02
-1.070569381713867188e+02,-1.241532897949218750e+02
-1.046675720214843750e+02,-1.227505950927734375e+02
-1.022780380249023438e+02,-1.213504791259765625e+02
-9.988780975341796875e+01,-1.199526519775390625e+02
-9.749635314941406250e+01,-1.185568542480468750e+02
-9.510312652587890625e+01,-1.171628112792968750e+02
-9.270760345458984375e+01,-1.157702484130859375e+02
-9.030925750732421875e+01,-1.143788909912109375e+02
-8.790754699707031250e+01,-1.129884719848632812e+02
-8.550195312500000000e+01,-1.115987167358398438e+02
-8.309193420410156250e+01,-1.102093505859375000e+02
-8.067695617675781250e+01,-1.088200988769531250e+02
-7.825649261474609375e+01,-1.074306945800781250e+02
-7.583000946044921875e+01,-1.060408630371093750e+02
-7.339697265625000000e+01,-1.046503372192382812e+02
-7.095685577392578125e+01,-1.032588348388671875e+02
-6.850912475585937500e+01,-1.018660888671875000e+02
-6.605324554443359375e+01,-1.004718246459960938e+02
-6.358868408203125000e+01,-9.907577514648437500e+01
-6.111491394042968750e+01,-9.767765808105468750e+01
-5.863140106201171875e+01,-9.627720642089843750e+01
-5.613761520385742188e+01,-9.487415313720703125e+01
-5.363301849365234375e+01,-9.346821594238281250e+01
-5.111708068847656250e+01,-9.205912780761718750e+01
-4.858927917480468750e+01,-9.064661407470703125e+01
-4.604906463623046875e+01,-8.923040771484375000e+01
-4.349592590332031250e+01,-8.781022644042968750e+01
-4.092931365966796875e+01,-8.638581085205078125e+01
-3.834870147705078125e+01,-8.495687866210937500e+01
-3.575356292724609375e+01,-8.352315521240234375e+01
-3.314335632324218750e+01,-8.208437347412109375e+01
-3.051755523681640625e+01,-8.064025878906250000e+01
-2.787562561035156250e+01,-7.919054412841796875e+01
-2.521704101562500000e+01,-7.773495483398437500e+01
-2.254126739501953125e+01,-7.627320861816406250e+01
-1.984776306152343750e+01,-7.480504608154296875e+01
-1.713600921630859375e+01,-7.333019256591796875e+01
-1.440546417236328125e+01,-7.184836578369140625e+01
-1.165560150146484375e+01,-7.035929870605468750e+01
-8.885887145996093750e+00,-6.886272430419921875e+01
-5.767440795898437500e+00,-6.718331909179687500e+01
-2.068298339843750000e+00,-6.521851348876953125e+01
1.588272094726562500e+00,-6.330998229980468750e+01
5.202857971191406250e+00,-6.145656585693359375e+01
8.776031494140625000e+00,-5.965708160400390625e+01
1.230839538574218750e+01,-5.791035461425781250e+01
1.580050659179687500e+01,-5.621520996093750000e+01
1.925296020507812500e+01,-5.457048034667968750e+01
2.266632080078125000e+01,-5.297499084472656250e+01
2.604118347167968750e+01,-5.142756652832031250e+01
2.937814331054687500e+01,-4.992703247070312500e+01
3.267774963378906250e+01,-4.847219848632812500e+01
3.594059753417968750e+01,-4.706193542480468750e+01
3.916728210449218750e+01,-4.569502258300781250e+01
4.235836791992187500e+01,-4.437030029296875000e+01
4.551443481445312500e+01,-4.308660888671875000e+01
4.863607788085937500e+01,-4.184275817871093750e+01
5.172387695312500000e+01,-4.063758850097656250e+01
5.477839660644531250e+01,-3.946992492675781250e+01
5.780023193359375000e+01,-3.833857727050781250e+01
6.078996276855468750e+01,-3.724237060546875000e+01
6.374815368652343750e+01,-3.618016052246093750e+01
6.667541503906250000e+01,-3.515074157714843750e+01
6.957231140136718750e+01,-3.415296936035156250e+01
7.243942260742187500e+01,-3.318563842773437500e+01
7.527732849121093750e+01,-3.224758911132812500e+01
7.808662414550781250e+01,-3.133766174316406250e+01
8.086787414550781250e+01,-3.045465087890625000e+01
8.362167358398437500e+01,-2.959741210937500000e+01
8.634860229492187500e+01,-2.876477050781250000e+01
8.904922485351562500e+01,-2.795552062988281250e+01
9.172413635253906250e+01,-2.716851806640625000e+01
9.437391662597656250e+01,-2.640258789062500000e+01
9.699916076660156250e+01,-2.565655517578125000e+01
9.960041809082031250e+01,-2.492922973632812500e+01
1.021782836914062500e+02,-2.421943664550781250e+01
1.047333526611328125e+02,-2.352603149414062500e+01
1.072661895751953125e+02,-2.284782409667968750e+01
1.097773895263671875e+02,-2.218362426757812500e+01
1.122675170898437500e+02,-2.153228759765625000e+01
1.147371673583984375e+02,-2.089262390136718750e+01
1.171869201660156250e+02,-2.026345825195312500e+01
1.196173553466796875e+02,-1.964361572265625000e+01
