voltage [mV],current [pA]
-6.102982330322265625e+01,2.953669548034667969e+00
-6.010802841186523438e+01,3.406066894531250000e+00
-5.919071960449218750e+01,3.855777740478515625e+00
-5.827763366699218750e+01,4.302895545959472656e+00
-5.736851119995117188e+01,4.747512817382812500e+00
-5.646310043334960938e+01,5.189723014831542969e+00
-5.556114196777343750e+01,5.629618644714355469e+00
-5.466237258911132812e+01,6.067295074462890625e+00
-5.376654052734375000e+01,6.502841949462890625e+00
-5.287338638305664062e+01,6.936353683471679688e+00
-5.198265075683593750e+01,7.367925643920898438e+00
-5.109407806396484375e+01,7.797649383544921875e+00
-5.020740890502929688e+01,8.225616455078125000e+00
-4.932238769531250000e+01,8.651920318603515625e+00
-4.843875122070312500e+01,9.076656341552734375e+00
-4.755624771118164062e+01,9.499916076660156250e+00
-4.667461395263671875e+01,9.921791076660156250e+00
-4.579359817504882812e+01,1.034237861633300781e+01
-4.491293716430664062e+01,1.076176834106445312e+01
-4.403237915039062500e+01,1.118005371093750000e+01
-4.315165710449218750e+01,1.159732818603515625e+01
-4.227052307128906250e+01,1.201368522644042969e+01
-4.138871383666992188e+01,1.242921829223632812e+01
-4.050597381591796875e+01,1.284401893615722656e+01
-3.962203979492187500e+01,1.325818252563476562e+01
-3.873666000366210938e+01,1.367179870605468750e+01
-3.784957504272460938e+01,1.408496475219726562e+01
-3.696052551269531250e+01,1.449777030944824219e+01
-3.606925964355468750e+01,1.491031074523925781e+01
-3.517550659179687500e+01,1.532267761230468750e+01
-3.427902221679687500e+01,1.573496627807617188e+01
-3.337954330444335938e+01,1.614726638793945312e+01
-3.247681045532226562e+01,1.655967330932617188e+01
-3.157056808471679688e+01,1.697227859497070312e+01
-3.066055679321289062e+01,1.738517761230468750e+01
-2.974651908874511719e+01,1.779846191406250000e+01
-2.882819938659667969e+01,1.821222496032714844e+01
-2.790533828735351562e+01,1.862656021118164062e+01
-2.697767639160156250e+01,1.904155921936035156e+01
-2.604495620727539062e+01,1.945731735229492188e+01
-2.510692214965820312e+01,1.987392616271972656e+01
-2.416331481933593750e+01,2.029147911071777344e+01
-2.321387863159179688e+01,2.071006774902343750e+01
-2.225835037231445312e+01,2.112978935241699219e+01
-2.129647827148437500e+01,2.155073165893554688e+01
-2.032800292968750000e+01,2.197299194335937500e+01
-1.935266494750976562e+01,2.239666366577148438e+01
-1.837020492553710938e+01,2.282183456420898438e+01
-1.738037109375000000e+01,2.324860382080078125e+01
-1.639817810058593750e+01,2.367039489746093750e+01
-1.543810272216796875e+01,2.407994079589843750e+01
-1.447813034057617188e+01,2.448645019531250000e+01
-1.351808547973632812e+01,2.489001083374023438e+01
-1.255780410766601562e+01,2.529071044921875000e+01
-1.159712219238281250e+01,2.568863677978515625e+01
-1.063586807250976562e+01,2.608388900756835938e+01
-9.673877716064453125e+00,2.647655105590820312e+01
-8.710987091064453125e+00,2.686671066284179688e+01
-7.747020721435546875e+00,2.725446319580078125e+01
-6.781818389892578125e+00,2.763989639282226562e+01
-5.815208435058593750e+00,2.802309799194335938e+01
-4.847026824951171875e+00,2.840416336059570312e+01
-3.877105712890625000e+00,2.878317642211914062e+01
-2.905281066894531250e+00,2.916023254394531250e+01
-1.931381225585937500e+00,2.953541564941406250e+01
-9.552383422851562500e-01,2.990882492065429688e+01
2.330780029296875000e-02,3.028054046630859375e+01
1.004432678222656250e+00,3.065065765380859375e+01
1.988296508789062500e+00,3.101926803588867188e+01
2.975070953369140625e+00,3.138645935058593750e+01
3.964920043945312500e+00,3.175231933593750000e+01
4.958015441894531250e+00,3.211693954467773438e+01
5.954513549804687500e+00,3.248041152954101562e+01
6.954597473144531250e+00,3.284282684326171875e+01
7.958419799804687500e+00,3.320427322387695312e+01
8.966148376464843750e+00,3.356483840942382812e+01
9.977966308593750000e+00,3.392461395263671875e+01
1.099402618408203125e+01,3.428369140625000000e+01
1.201449584960937500e+01,3.464216232299804688e+01
1.303954315185546875e+01,3.500011062622070312e+01
1.406933593750000000e+01,3.535763168334960938e+01
1.510404968261718750e+01,3.571481704711914062e+01
1.614383697509765625e+01,3.607175064086914062e+01
1.718888092041015625e+01,3.642852401733398438e+01
1.823933410644531250e+01,3.678522872924804688e+01
1.929536437988281250e+01,3.714196014404296875e+01
2.035714721679687500e+01,3.749879837036132812e+01
2.142485046386718750e+01,3.785583877563476562e+01
2.249862670898437500e+01,3.821316909790039062e+01
2.357865905761718750e+01,3.857088470458984375e+01
2.466510772705078125e+01,3.892906951904296875e+01
2.575814056396484375e+01,3.928781509399414062e+01
2.685792541503906250e+01,3.964721298217773438e+01
2.796463012695312500e+01,4.000735092163085938e+01
2.907841491699218750e+01,4.036832427978515625e+01
3.019945526123046875e+01,4.073021697998046875e+01
3.132791900634765625e+01,4.109312057495117188e+01
3.246396636962890625e+01,4.145712661743164062e+01
3.360776519775390625e+01,4.182232284545898438e+01
3.475948333740234375e+01,4.218880462646484375e+01
