voltage [mV],steady state [1]
-8.000000000000000000e+01,3.311343491077423096e-02
-7.821266174316406250e+01,3.857451677322387695e-02
-7.642251586914062500e+01,4.600286856293678284e-02
-7.465589141845703125e+01,5.517590790987014771e-02
-7.293909454345703125e+01,6.587104499340057373e-02
-7.129846954345703125e+01,7.786569744348526001e-02
-6.976032257080078125e+01,9.093727171421051025e-02
-6.835099029541015625e+01,1.048631817102432251e-01
-6.708624267578125000e+01,1.193872541189193726e-01
-6.589332580566406250e+01,1.343879699707031250e-01
-6.475259399414062500e+01,1.498645693063735962e-01
-6.366259002685546875e+01,1.657757610082626343e-01
-6.262186813354492188e+01,1.820802837610244751e-01
-6.162896728515625000e+01,1.987368315458297729e-01
-6.068243408203125000e+01,2.157041281461715698e-01
-5.978081130981445312e+01,2.329409122467041016e-01
-5.892264556884765625e+01,2.504058778285980225e-01
-5.810647964477539062e+01,2.680577635765075684e-01
-5.733086395263671875e+01,2.858552932739257812e-01
-5.659433364868164062e+01,3.037571609020233154e-01
-5.589543914794921875e+01,3.217220902442932129e-01
-5.522548675537109375e+01,3.397588729858398438e-01
-5.455757141113281250e+01,3.578322827816009521e-01
-5.388928985595703125e+01,3.758995234966278076e-01
-5.322029876708984375e+01,3.939595222473144531e-01
-5.255023193359375000e+01,4.120112061500549316e-01
-5.187874603271484375e+01,4.300535023212432861e-01
-5.120548248291015625e+01,4.480853676795959473e-01
-5.053008270263671875e+01,4.661056697368621826e-01
-4.985220336914062500e+01,4.841133654117584229e-01
-4.917147827148437500e+01,5.021073818206787109e-01
-4.848756027221679688e+01,5.200866460800170898e-01
-4.780009078979492188e+01,5.380501151084899902e-01
-4.710871887207031250e+01,5.559966564178466797e-01
-4.641308975219726562e+01,5.739252567291259766e-01
-4.571284866333007812e+01,5.918347835540771484e-01
-4.500764083862304688e+01,6.097241640090942383e-01
-4.429711151123046875e+01,6.275923848152160645e-01
-4.358090591430664062e+01,6.454383730888366699e-01
-4.285867309570312500e+01,6.632609963417053223e-01
-4.213005447387695312e+01,6.810591816902160645e-01
-4.139470291137695312e+01,6.988319158554077148e-01
-4.065225601196289062e+01,7.165780663490295410e-01
-3.990236282348632812e+01,7.342966198921203613e-01
-3.920849609375000000e+01,7.502697706222534180e-01
-3.847749328613281250e+01,7.660816311836242676e-01
-3.768212890625000000e+01,7.821775674819946289e-01
-3.682002639770507812e+01,7.984384894371032715e-01
-3.588881683349609375e+01,8.147454261779785156e-01
-3.488613510131835938e+01,8.309793472290039062e-01
-3.380960845947265625e+01,8.470212817192077637e-01
-3.265686798095703125e+01,8.627521395683288574e-01
-3.142554092407226562e+01,8.780529499053955078e-01
-3.011325836181640625e+01,8.928046822547912598e-01
-2.871765136718750000e+01,9.068883061408996582e-01
-2.723634719848632812e+01,9.201848506927490234e-01
-2.566698074340820312e+01,9.325752258300781250e-01
-2.400717926025390625e+01,9.439404606819152832e-01
-2.225457382202148438e+01,9.541615247726440430e-01
-2.040679168701171875e+01,9.631194472312927246e-01
-1.846146392822265625e+01,9.706950783729553223e-01
-1.641622543334960938e+01,9.767695665359497070e-01
-1.426869964599609375e+01,9.812237620353698730e-01
-1.247583007812500000e+01,9.840656518936157227e-01
-1.080137634277343750e+01,9.866371154785156250e-01
-9.196868896484375000e+00,9.889739155769348145e-01
-7.631736755371093750e+00,9.910809993743896484e-01
-6.075386047363281250e+00,9.929632544517517090e-01
-4.497238159179687500e+00,9.946256875991821289e-01
-2.866706848144531250e+00,9.960732460021972656e-01
-1.153213500976562500e+00,9.973108768463134766e-01
6.738357543945312500e-01,9.983435869216918945e-01
2.645011901855468750e+00,9.991762638092041016e-01
4.790908813476562500e+00,9.998139142990112305e-01
7.142112731933593750e+00,1.000261425971984863e+00
9.729194641113281250e+00,1.000523805618286133e+00
1.258274841308593750e+01,1.000606060028076172e+00
1.572388458251953125e+01,1.000514388084411621e+00
1.773075866699218750e+01,1.000514388084411621e+00
1.973763275146484375e+01,1.000514388084411621e+00
2.174450683593750000e+01,1.000514388084411621e+00
2.375138092041015625e+01,1.000514388084411621e+00
2.575825500488281250e+01,1.000514388084411621e+00
2.776512908935546875e+01,1.000514388084411621e+00
2.977200317382812500e+01,1.000514388084411621e+00
3.177887725830078125e+01,1.000514388084411621e+00
3.378575134277343750e+01,1.000514388084411621e+00
3.579262542724609375e+01,1.000514388084411621e+00
3.779949951171875000e+01,1.000514388084411621e+00
3.980637359619140625e+01,1.000514388084411621e+00
4.181324768066406250e+01,1.000514388084411621e+00
4.382012176513671875e+01,1.000514388084411621e+00
4.582698822021484375e+01,1.000514388084411621e+00
4.783386230468750000e+01,1.000514388084411621e+00
4.984074401855468750e+01,1.000514388084411621e+00
5.184761047363281250e+01,1.000514388084411621e+00
5.385449218750000000e+01,1.000514388084411621e+00
5.586135864257812500e+01,1.000514388084411621e+00
5.786824035644531250e+01,1.000514388084411621e+00
5.987510681152343750e+01,1.000514388084411621e+00
