time [ms],current density [pA/pF]
0.000000000000000000e+00,-2.970051765441894531e-02
6.796792984008789062e+00,-2.970051765441894531e-02
1.359358596801757812e+01,-2.970051765441894531e-02
2.039037895202636719e+01,-2.970051765441894531e-02
2.718717193603515625e+01,-2.970051765441894531e-02
3.398396301269531250e+01,-2.970051765441894531e-02
4.078075790405273438e+01,-2.970051765441894531e-02
4.757754898071289062e+01,-2.970051765441894531e-02
5.095449829101562500e+01,-4.398667812347412109e-02
5.124791717529296875e+01,-7.115411758422851562e-02
5.154133224487304688e+01,-9.832161664962768555e-02
5.183474731445312500e+01,-1.254890561103820801e-01
5.212816238403320312e+01,-1.526565253734588623e-01
5.242157745361328125e+01,-1.798239648342132568e-01
5.271499252319335938e+01,-2.069914340972900391e-01
5.300840759277343750e+01,-2.341589033603668213e-01
5.330182266235351562e+01,-2.613263428211212158e-01
5.359523773193359375e+01,-2.884938120841979980e-01
5.388865661621093750e+01,-3.156612813472747803e-01
5.418207168579101562e+01,-3.428287208080291748e-01
5.447548675537109375e+01,-3.699961900711059570e-01
5.476890182495117188e+01,-3.971636295318603516e-01
5.506231689453125000e+01,-4.243310987949371338e-01
5.535573196411132812e+01,-4.514985680580139160e-01
5.564914703369140625e+01,-4.786660075187683105e-01
5.594256210327148438e+01,-5.058335065841674805e-01
5.631325149536132812e+01,-5.340403914451599121e-01
6.024434280395507812e+01,-5.562453269958496094e-01
6.663606262207031250e+01,-5.620633363723754883e-01
7.319944000244140625e+01,-5.620015859603881836e-01
8.033852386474609375e+01,-5.616881847381591797e-01
8.764910125732421875e+01,-5.613669753074645996e-01
9.512316131591796875e+01,-5.610383749008178711e-01
1.027527084350585938e+02,-5.607026815414428711e-01
1.105297241210937500e+02,-5.603602528572082520e-01
1.184462127685546875e+02,-5.600114464759826660e-01
1.264941635131835938e+02,-5.596566796302795410e-01
1.346655731201171875e+02,-5.592963099479675293e-01
1.429524230957031250e+02,-5.589305758476257324e-01
1.513467254638671875e+02,-5.585600137710571289e-01
1.598404541015625000e+02,-5.581848621368408203e-01
1.684256134033203125e+02,-5.578054785728454590e-01
1.770942077636718750e+02,-5.574222803115844727e-01
1.858382110595703125e+02,-5.570355653762817383e-01
1.946496124267578125e+02,-5.566457509994506836e-01
2.035204315185546875e+02,-5.562531948089599609e-01
2.124426574707031250e+02,-5.558581948280334473e-01
2.214082641601562500e+02,-5.554611682891845703e-01
2.304092559814453125e+02,-5.550624728202819824e-01
2.394376220703125000e+02,-5.546624064445495605e-01
2.484853668212890625e+02,-5.542613863945007324e-01
2.575444641113281250e+02,-5.538597702980041504e-01
2.666069335937500000e+02,-5.534579157829284668e-01
2.756647644042968750e+02,-5.530561804771423340e-01
2.847099304199218750e+02,-5.526548624038696289e-01
2.937344360351562500e+02,-5.522544384002685547e-01
3.027302856445312500e+02,-5.518551468849182129e-01
3.116894531250000000e+02,-5.514574050903320312e-01
3.206039428710937500e+02,-5.510615706443786621e-01
3.294657592773437500e+02,-5.506680011749267578e-01
3.382668762207031250e+02,-5.502771139144897461e-01
3.469992980957031250e+02,-5.498891472816467285e-01
3.556549987792968750e+02,-5.495045185089111328e-01
3.642259826660156250e+02,-5.491236448287963867e-01
3.727042846679687500e+02,-5.487467646598815918e-01
3.810818481445312500e+02,-5.483743548393249512e-01
3.893506774902343750e+02,-5.480067133903503418e-01
3.975027465820312500e+02,-5.476441979408264160e-01
4.055301208496093750e+02,-5.472871661186218262e-01
4.134247131347656250e+02,-5.469360351562500000e-01
4.211785583496093750e+02,-5.465910434722900391e-01
4.287836303710937500e+02,-5.462527275085449219e-01
4.362319335937500000e+02,-5.459212660789489746e-01
4.435154724121093750e+02,-5.455971360206604004e-01
4.506262512207031250e+02,-5.452806353569030762e-01
4.575562133789062500e+02,-5.449721813201904297e-01
4.642973937988281250e+02,-5.446720719337463379e-01
4.708417663574218750e+02,-5.443807244300842285e-01
4.771813354492187500e+02,-5.440984368324279785e-01
4.833080749511718750e+02,-5.438255667686462402e-01
4.892140197753906250e+02,-5.435625314712524414e-01
4.948911132812500000e+02,-5.433096885681152344e-01
5.003313903808593750e+02,-5.430673360824584961e-01
5.055268249511718750e+02,-5.428358912467956543e-01
5.104694213867187500e+02,-5.426157116889953613e-01
5.151511840820312500e+02,-5.424070954322814941e-01
5.195640258789062500e+02,-5.422104597091674805e-01
5.237000732421875000e+02,-5.420261621475219727e-01
5.275512084960937500e+02,-5.418545007705688477e-01
5.311094360351562500e+02,-5.416958928108215332e-01
5.343668212890625000e+02,-5.415506958961486816e-01
5.373153076171875000e+02,-5.414192676544189453e-01
5.399469604492187500e+02,-5.413019657135009766e-01
5.422536010742187500e+02,-5.411990880966186523e-01
5.442274169921875000e+02,-5.411111116409301758e-01
5.458602905273437500e+02,-5.410382747650146484e-01
5.471442260742187500e+02,-5.409810543060302734e-01
5.480712280273437500e+02,-5.409396886825561523e-01
5.486333007812500000e+02,-5.409146547317504883e-01
5.488224487304687500e+02,-5.409061908721923828e-01
