time [ms],current density [pA/pF]
0.000000000000000000e+00,-2.970051765441894531e-02
6.298948287963867188e+00,-2.970051765441894531e-02
1.259789657592773438e+01,-2.970051765441894531e-02
1.889684486389160156e+01,-2.970051765441894531e-02
2.519579315185546875e+01,-2.970051765441894531e-02
3.149474143981933594e+01,-2.970051765441894531e-02
3.779368972778320312e+01,-2.970051765441894531e-02
4.409263610839843750e+01,-2.970051765441894531e-02
5.039158630371093750e+01,-2.970051765441894531e-02
5.102502059936523438e+01,-5.324953794479370117e-02
5.126543045043945312e+01,-7.843220233917236328e-02
5.150584030151367188e+01,-1.036148369312286377e-01
5.174625015258789062e+01,-1.287974715232849121e-01
5.198666000366210938e+01,-1.539801359176635742e-01
5.222706985473632812e+01,-1.791628003120422363e-01
5.246747970581054688e+01,-2.043454647064208984e-01
5.270788955688476562e+01,-2.295280992984771729e-01
5.294829940795898438e+01,-2.547107636928558350e-01
5.318870925903320312e+01,-2.798934280872344971e-01
5.359398651123046875e+01,-3.109787404537200928e-01
5.494660186767578125e+01,-3.364611864089965820e-01
5.874393081665039062e+01,-3.428752720355987549e-01
6.524432373046875000e+01,-3.403538763523101807e-01
7.165402984619140625e+01,-3.374353945255279541e-01
7.821794128417968750e+01,-3.345218300819396973e-01
8.492975616455078125e+01,-3.316140472888946533e-01
9.178317260742187500e+01,-3.287129402160644531e-01
9.877188110351562500e+01,-3.258193731307983398e-01
1.058895797729492188e+02,-3.229342401027679443e-01
1.131299591064453125e+02,-3.200584352016448975e-01
1.204867172241210938e+02,-3.171928226947784424e-01
1.279535598754882812e+02,-3.143382668495178223e-01
1.355241699218750000e+02,-3.114956617355346680e-01
1.431922302246093750e+02,-3.086659014225006104e-01
1.509514770507812500e+02,-3.058498799800872803e-01
1.587955627441406250e+02,-3.030484318733215332e-01
1.667182006835937500e+02,-3.002624511718750000e-01
1.747131042480468750e+02,-2.974928319454193115e-01
1.827739257812500000e+02,-2.947404682636260986e-01
1.908944091796875000e+02,-2.920061945915222168e-01
1.990682067871093750e+02,-2.892909348011016846e-01
2.072890472412109375e+02,-2.865955531597137451e-01
2.155506134033203125e+02,-2.839209437370300293e-01
2.238465881347656250e+02,-2.812679409980773926e-01
2.321706848144531250e+02,-2.786374986171722412e-01
2.405166015625000000e+02,-2.760304212570190430e-01
2.488780059814453125e+02,-2.734476625919342041e-01
2.572486267089843750e+02,-2.708900272846221924e-01
2.656221313476562500e+02,-2.683584690093994141e-01
2.739922485351562500e+02,-2.658538222312927246e-01
2.823526611328125000e+02,-2.633769810199737549e-01
2.906970214843750000e+02,-2.609288096427917480e-01
2.990190734863281250e+02,-2.585102319717407227e-01
3.073125305175781250e+02,-2.561220824718475342e-01
3.155710144042968750e+02,-2.537652552127838135e-01
3.237882995605468750e+02,-2.514406442642211914e-01
3.319580078125000000e+02,-2.491491138935089111e-01
3.400739135742187500e+02,-2.468915283679962158e-01
3.481296386718750000e+02,-2.446688413619995117e-01
3.561189270019531250e+02,-2.424818575382232666e-01
3.640354614257812500e+02,-2.403314709663391113e-01
3.718729248046875000e+02,-2.382185757160186768e-01
3.796250305175781250e+02,-2.361440658569335938e-01
3.872854614257812500e+02,-2.341088056564331055e-01
3.948479003906250000e+02,-2.321136891841888428e-01
4.023060607910156250e+02,-2.301595807075500488e-01
4.096536560058593750e+02,-2.282473444938659668e-01
4.168843688964843750e+02,-2.263779044151306152e-01
4.239918518066406250e+02,-2.245520949363708496e-01
4.309698486328125000e+02,-2.227708399295806885e-01
4.378120727539062500e+02,-2.210349738597869873e-01
4.445121459960937500e+02,-2.193454205989837646e-01
4.510638427734375000e+02,-2.177030742168426514e-01
4.574608154296875000e+02,-2.161087393760681152e-01
4.636967468261718750e+02,-2.145633697509765625e-01
4.697653503417968750e+02,-2.130677998065948486e-01
4.756603393554687500e+02,-2.116229236125946045e-01
4.813753967285156250e+02,-2.102296352386474609e-01
4.869042053222656250e+02,-2.088888287544250488e-01
4.922404785156250000e+02,-2.076013386249542236e-01
4.973778991699218750e+02,-2.063680589199066162e-01
5.023101501464843750e+02,-2.051899135112762451e-01
5.070309753417968750e+02,-2.040677070617675781e-01
5.115339965820312500e+02,-2.030023932456970215e-01
5.158129882812500000e+02,-2.019948065280914307e-01
5.198615722656250000e+02,-2.010458707809448242e-01
5.236735229492187500e+02,-2.001564204692840576e-01
5.272424926757812500e+02,-1.993273496627807617e-01
5.305621337890625000e+02,-1.985595524311065674e-01
5.336262207031250000e+02,-1.978538930416107178e-01
5.364284057617187500e+02,-1.972112655639648438e-01
5.389623413085937500e+02,-1.966325342655181885e-01
5.412218017578125000e+02,-1.961185932159423828e-01
5.432005004882812500e+02,-1.956703364849090576e-01
5.448920288085937500e+02,-1.952886283397674561e-01
5.462901611328125000e+02,-1.949743330478668213e-01
5.473886108398437500e+02,-1.947283446788787842e-01
5.481809692382812500e+02,-1.945515573024749756e-01
5.486610107421875000e+02,-1.944448351860046387e-01
5.488224487304687500e+02,-1.944090723991394043e-01
