voltage [mV],current density [pA/pF]
-7.993784332275390625e+01,-3.586810827255249023e-02
-7.940066528320312500e+01,-3.780341148376464844e-02
-7.798239898681640625e+01,-4.329621791839599609e-02
-7.597288513183593750e+01,-5.187672376632690430e-02
-7.366201019287109375e+01,-6.307512521743774414e-02
-7.133962249755859375e+01,-7.642161846160888672e-02
-6.929559326171875000e+01,-9.144645929336547852e-02
-6.776055145263671875e+01,-1.069204509258270264e-01
-6.641661834716796875e+01,-1.217425465583801270e-01
-6.517437744140625000e+01,-1.362013816833496094e-01
-6.402359008789062500e+01,-1.503523290157318115e-01
-6.295402145385742188e+01,-1.642506718635559082e-01
-6.195543670654296875e+01,-1.779517531394958496e-01
-6.101760101318359375e+01,-1.915108263492584229e-01
-6.013027572631835938e+01,-2.049832642078399658e-01
-5.928322219848632812e+01,-2.184243798255920410e-01
-5.846620941162109375e+01,-2.318894267082214355e-01
-5.766899490356445312e+01,-2.454337775707244873e-01
-5.688134765625000000e+01,-2.591127157211303711e-01
-5.609303283691406250e+01,-2.729815840721130371e-01
-5.529380416870117188e+01,-2.870956659317016602e-01
-5.446722030639648438e+01,-3.016513884067535400e-01
-5.364573287963867188e+01,-3.162559270858764648e-01
-5.284840774536132812e+01,-3.305563330650329590e-01
-5.206609344482421875e+01,-3.446287810802459717e-01
-5.128963088989257812e+01,-3.585494160652160645e-01
-5.050986862182617188e+01,-3.723943233489990234e-01
-4.971765518188476562e+01,-3.862397074699401855e-01
-4.890383529663085938e+01,-4.001616835594177246e-01
-4.805925369262695312e+01,-4.142363667488098145e-01
-4.717476272583007812e+01,-4.285399317741394043e-01
-4.624119949340820312e+01,-4.431485533714294434e-01
-4.524941635131835938e+01,-4.581382870674133301e-01
-4.416143798828125000e+01,-4.739475250244140625e-01
-4.294573593139648438e+01,-4.898937344551086426e-01
-4.168973922729492188e+01,-5.041190981864929199e-01
-4.038939666748046875e+01,-5.164725184440612793e-01
-3.904064178466796875e+01,-5.268030166625976562e-01
-3.763941574096679688e+01,-5.349595546722412109e-01
-3.618165969848632812e+01,-5.407910943031311035e-01
-3.466331481933593750e+01,-5.441465377807617188e-01
-3.308032226562500000e+01,-5.448749065399169922e-01
-3.142862701416015625e+01,-5.428251624107360840e-01
-2.970416259765625000e+01,-5.378462672233581543e-01
-2.790287017822265625e+01,-5.297871828079223633e-01
-2.602069091796875000e+01,-5.184968709945678711e-01
-2.405356597900390625e+01,-5.038242936134338379e-01
-2.199743652343750000e+01,-4.856184422969818115e-01
-1.997949981689453125e+01,-4.651495814323425293e-01
-1.865959167480468750e+01,-4.507101476192474365e-01
-1.741142272949218750e+01,-4.364384412765502930e-01
-1.622824859619140625e+01,-4.223170280456542969e-01
-1.510333251953125000e+01,-4.083283245563507080e-01
-1.402992248535156250e+01,-3.944548964500427246e-01
-1.300127410888671875e+01,-3.806791901588439941e-01
-1.201065826416015625e+01,-3.669837117195129395e-01
-1.105133056640625000e+01,-3.533509969711303711e-01
-1.011653900146484375e+01,-3.397634923458099365e-01
-9.199546813964843750e+00,-3.262037336826324463e-01
-8.293617248535156250e+00,-3.126541972160339355e-01
-7.391998291015625000e+00,-2.990973889827728271e-01
-6.487953186035156250e+00,-2.855157852172851562e-01
-5.574737548828125000e+00,-2.718918919563293457e-01
-4.645614624023437500e+00,-2.582082450389862061e-01
-3.693832397460937500e+00,-2.444472908973693848e-01
-2.791679382324218750e+00,-2.316077053546905518e-01
-1.877807617187500000e+00,-2.187969982624053955e-01
-9.408569335937500000e-01,-2.059972882270812988e-01
2.688598632812500000e-02,-1.932428777217864990e-01
1.033134460449218750e+00,-1.805681884288787842e-01
2.085609436035156250e+00,-1.680075228214263916e-01
3.192024230957031250e+00,-1.555952429771423340e-01
4.360099792480468750e+00,-1.433657109737396240e-01
5.597549438476562500e+00,-1.313533186912536621e-01
6.912086486816406250e+00,-1.195923686027526855e-01
8.311431884765625000e+00,-1.081172227859497070e-01
9.803306579589843750e+00,-9.696227312088012695e-02
1.139542388916015625e+01,-8.616185188293457031e-02
1.309549713134765625e+01,-7.575029134750366211e-02
1.491124725341796875e+01,-6.576198339462280273e-02
1.685038757324218750e+01,-5.623126029968261719e-02
1.892063140869140625e+01,-4.719245433807373047e-02
2.112970733642578125e+01,-3.868001699447631836e-02
2.348532867431640625e+01,-3.072816133499145508e-02
2.599520111083984375e+01,-2.337139844894409180e-02
2.864033508300781250e+01,-1.669770479202270508e-02
3.136842346191406250e+01,-1.055282354354858398e-02
3.424192810058593750e+01,-4.576742649078369141e-03
3.720518493652343750e+01,1.184582710266113281e-03
4.020260620117187500e+01,6.685435771942138672e-03
4.317854309082031250e+01,1.187998056411743164e-02
4.607737731933593750e+01,1.672226190567016602e-02
4.884349060058593750e+01,2.116656303405761719e-02
5.142126464843750000e+01,2.516698837280273438e-02
5.375505065917968750e+01,2.867776155471801758e-02
5.578926086425781250e+01,3.165298700332641602e-02
5.746824645996093750e+01,3.404682874679565430e-02
5.873638916015625000e+01,3.581345081329345703e-02
5.953805541992187500e+01,3.690701723098754883e-02
5.981764221191406250e+01,3.728175163269042969e-02
