time [ms],current density [pA/pF]
-1.129481270909309387e-01,-1.383741758763790131e-02
6.312840461730957031e+00,-1.383741758763790131e-02
1.273862934112548828e+01,-1.383741758763790131e-02
1.916441726684570312e+01,-1.383741758763790131e-02
2.559020614624023438e+01,-1.383741758763790131e-02
3.201599502563476562e+01,-1.383741758763790131e-02
3.844178390502929688e+01,-1.383741758763790131e-02
4.486757278442382812e+01,-1.383741758763790131e-02
5.101518249511718750e+01,-1.533417403697967529e-02
5.153263854980468750e+01,-4.712430015206336975e-02
5.205009460449218750e+01,-7.891442626714706421e-02
5.256754684448242188e+01,-1.107045561075210571e-01
5.308500289916992188e+01,-1.424946784973144531e-01
5.360245895385742188e+01,-1.742848008871078491e-01
5.411991119384765625e+01,-2.060749381780624390e-01
5.463736724853515625e+01,-2.378650605678558350e-01
5.515482330322265625e+01,-2.696551978588104248e-01
5.567227935791015625e+01,-3.014453053474426270e-01
5.618973159790039062e+01,-3.332354426383972168e-01
5.670718765258789062e+01,-3.650255799293518066e-01
5.744204330444335938e+01,-4.029636681079864502e-01
5.944849777221679688e+01,-4.422620832920074463e-01
6.261069869995117188e+01,-4.710389375686645508e-01
6.668844604492187500e+01,-4.904254078865051270e-01
7.144153594970703125e+01,-5.015525221824645996e-01
7.662976837158203125e+01,-5.055515170097351074e-01
8.301084136962890625e+01,-5.056067705154418945e-01
8.971137237548828125e+01,-5.056061744689941406e-01
9.657022857666015625e+01,-5.056051611900329590e-01
1.035804061889648438e+02,-5.056037902832031250e-01
1.107348785400390625e+02,-5.056020021438598633e-01
1.180266342163085938e+02,-5.055997967720031738e-01
1.254486694335937500e+02,-5.055972933769226074e-01
1.329939575195312500e+02,-5.055943727493286133e-01
1.406555023193359375e+02,-5.055911540985107422e-01
1.484262695312500000e+02,-5.055875778198242188e-01
1.562992401123046875e+02,-5.055837035179138184e-01
1.642674255371093750e+02,-5.055794715881347656e-01
1.723238067626953125e+02,-5.055750012397766113e-01
1.804613494873046875e+02,-5.055702328681945801e-01
1.886730499267578125e+02,-5.055651664733886719e-01
1.969519042968750000e+02,-5.055598616600036621e-01
2.052908935546875000e+02,-5.055542588233947754e-01
2.136829833984375000e+02,-5.055484771728515625e-01
2.221212005615234375e+02,-5.055424571037292480e-01
2.305984802246093750e+02,-5.055361986160278320e-01
2.391078491210937500e+02,-5.055297613143920898e-01
2.476422882080078125e+02,-5.055231451988220215e-01
2.561947631835937500e+02,-5.055162906646728516e-01
2.647582702636718750e+02,-5.055093169212341309e-01
2.733258056640625000e+02,-5.055021643638610840e-01
2.818903198242187500e+02,-5.054948925971984863e-01
2.904448547363281250e+02,-5.054875016212463379e-01
2.989823608398437500e+02,-5.054799914360046387e-01
3.074958190917968750e+02,-5.054723620414733887e-01
3.159782104492187500e+02,-5.054646134376525879e-01
3.244225769042968750e+02,-5.054568052291870117e-01
3.328218383789062500e+02,-5.054489374160766602e-01
3.411690063476562500e+02,-5.054409503936767578e-01
3.494570617675781250e+02,-5.054329633712768555e-01
3.576789855957031250e+02,-5.054249763488769531e-01
3.658277893066406250e+02,-5.054169297218322754e-01
3.738964538574218750e+02,-5.054088234901428223e-01
3.818779296875000000e+02,-5.054007768630981445e-01
3.897652587890625000e+02,-5.053927302360534668e-01
3.975513610839843750e+02,-5.053846836090087891e-01
4.052292785644531250e+02,-5.053766965866088867e-01
4.127919616699218750e+02,-5.053687095642089844e-01
4.202324218750000000e+02,-5.053608417510986328e-01
4.275436096191406250e+02,-5.053530335426330566e-01
4.347185668945312500e+02,-5.053452849388122559e-01
4.417502136230468750e+02,-5.053376555442810059e-01
4.486315917968750000e+02,-5.053300857543945312e-01
4.553556823730468750e+02,-5.053226351737976074e-01
4.619154052734375000e+02,-5.053153634071350098e-01
4.683038330078125000e+02,-5.053082108497619629e-01
4.745138854980468750e+02,-5.053012371063232422e-01
4.805386047363281250e+02,-5.052943825721740723e-01
4.863709106445312500e+02,-5.052877068519592285e-01
4.920038757324218750e+02,-5.052812695503234863e-01
4.974303894042968750e+02,-5.052749514579772949e-01
5.026435241699218750e+02,-5.052689313888549805e-01
5.076361999511718750e+02,-5.052630901336669922e-01
5.124014282226562500e+02,-5.052574872970581055e-01
5.169321899414062500e+02,-5.052521228790283203e-01
5.212214965820312500e+02,-5.052470564842224121e-01
5.252623291015625000e+02,-5.052422285079956055e-01
5.290476074218750000e+02,-5.052376985549926758e-01
5.325704345703125000e+02,-5.052334666252136230e-01
5.358236694335937500e+02,-5.052295327186584473e-01
5.388004150390625000e+02,-5.052258968353271484e-01
5.414935302734375000e+02,-5.052226185798645020e-01
5.438961181640625000e+02,-5.052196383476257324e-01
5.460011596679687500e+02,-5.052170753479003906e-01
5.478015136718750000e+02,-5.052148699760437012e-01
5.492902832031250000e+02,-5.052130222320556641e-01
5.504604492187500000e+02,-5.052115321159362793e-01
5.513049316406250000e+02,-5.052105188369750977e-01
5.518167724609375000e+02,-5.052098631858825684e-01
5.519889526367187500e+02,-5.052096247673034668e-01
