time [ms],current density [pA/pF]
-1.129481270909309387e-01,-1.409667078405618668e-02
5.563479423522949219e+00,-1.409667078405618668e-02
1.123990631103515625e+01,-1.409667078405618668e-02
1.691633415222167969e+01,-1.409667078405618668e-02
2.259276199340820312e+01,-1.409667078405618668e-02
2.826918792724609375e+01,-1.409667078405618668e-02
3.394561767578125000e+01,-1.409667078405618668e-02
3.962204360961914062e+01,-1.409667078405618668e-02
4.529846954345703125e+01,-1.409667078405618668e-02
5.097489929199218750e+01,-1.409667078405618668e-02
5.195547103881835938e+01,3.805097937583923340e-02
5.753834915161132812e+01,4.056362062692642212e-02
5.924606323242187500e+01,4.031208530068397522e-02
6.123544692993164062e+01,4.004705697298049927e-02
6.349982070922851562e+01,3.976885601878166199e-02
6.603250885009765625e+01,3.947780653834342957e-02
6.882683563232421875e+01,3.917423635721206665e-02
7.187611389160156250e+01,3.885846585035324097e-02
7.517367553710937500e+01,3.853082656860351562e-02
7.871283721923828125e+01,3.819164261221885681e-02
8.248692321777343750e+01,3.784123063087463379e-02
8.648925018310546875e+01,3.747992590069770813e-02
9.071314239501953125e+01,3.710804879665374756e-02
9.515192413330078125e+01,3.672592714428901672e-02
9.979891967773437500e+01,3.633388131856918335e-02
1.046474456787109375e+02,3.593223914504051208e-02
1.096908264160156250e+02,3.552132472395896912e-02
1.149223785400390625e+02,3.510146588087081909e-02
1.203354339599609375e+02,3.467298299074172974e-02
1.259233093261718750e+02,3.423620387911796570e-02
1.316793212890625000e+02,3.379145637154579163e-02
1.375968017578125000e+02,3.333905711770057678e-02
1.436690673828125000e+02,3.287934139370918274e-02
1.498894348144531250e+02,3.241262584924697876e-02
1.562512359619140625e+02,3.193924203515052795e-02
1.627477874755859375e+02,3.145951032638549805e-02
1.693724212646484375e+02,3.097375482320785522e-02
1.761184387207031250e+02,3.048230521380901337e-02
1.829791717529296875e+02,2.998548559844493866e-02
1.899479522705078125e+02,2.948361821472644806e-02
1.970180816650390625e+02,2.897703088819980621e-02
2.041829071044921875e+02,2.846604585647583008e-02
2.114357299804687500e+02,2.795099094510078430e-02
2.187698822021484375e+02,2.743218839168548584e-02
2.261786804199218750e+02,2.690996602177619934e-02
2.336554412841796875e+02,2.638464793562889099e-02
2.411934967041015625e+02,2.585655823349952698e-02
2.487861785888671875e+02,2.532602287828922272e-02
2.564267883300781250e+02,2.479336783289909363e-02
2.641086425781250000e+02,2.425891533493995667e-02
2.718251037597656250e+02,2.372299134731292725e-02
2.795694274902343750e+02,2.318592369556427002e-02
2.873350219726562500e+02,2.264803275465965271e-02
2.951151428222656250e+02,2.210964821279048920e-02
3.029031066894531250e+02,2.157109230756759644e-02
3.106922912597656250e+02,2.103269100189208984e-02
3.184759521484375000e+02,2.049476839601993561e-02
3.262474670410156250e+02,1.995765045285224915e-02
3.340001525878906250e+02,1.942166127264499664e-02
3.417272949218750000e+02,1.888712868094444275e-02
3.494222412109375000e+02,1.835437305271625519e-02
3.570783081054687500e+02,1.782372407615184784e-02
3.646888122558593750e+02,1.729550212621688843e-02
3.722470703125000000e+02,1.677003689110279083e-02
3.797464294433593750e+02,1.624765060842037201e-02
3.871802062988281250e+02,1.572866924107074738e-02
3.945416870117187500e+02,1.521341782063245773e-02
4.018242492675781250e+02,1.470222044736146927e-02
4.090211486816406250e+02,1.419540308415889740e-02
4.161257629394531250e+02,1.369329076260328293e-02
4.231314086914062500e+02,1.319620758295059204e-02
4.300313720703125000e+02,1.270448043942451477e-02
4.368190002441406250e+02,1.221843250095844269e-02
4.434876098632812500e+02,1.173838879913091660e-02
4.500305480957031250e+02,1.126467622816562653e-02
4.564410705566406250e+02,1.079761795699596405e-02
4.627125854492187500e+02,1.033753994852304459e-02
4.688383483886718750e+02,9.884767234325408936e-03
4.748117065429687500e+02,9.439623914659023285e-03
4.806259765625000000e+02,9.002436883747577667e-03
4.862744750976562500e+02,8.573528379201889038e-03
4.917505493164062500e+02,8.153226226568222046e-03
4.970474853515625000e+02,7.741854526102542877e-03
5.021586303710937500e+02,7.339737378060817719e-03
5.070773010253906250e+02,6.947200745344161987e-03
5.117968139648437500e+02,6.564569659531116486e-03
5.163104858398437500e+02,6.192168686538934708e-03
5.206116943359375000e+02,5.830323323607444763e-03
5.246936645507812500e+02,5.479358136653900146e-03
5.285498046875000000e+02,5.139598622918128967e-03
5.321733398437500000e+02,4.811369348317384720e-03
5.355577392578125000e+02,4.494995810091495514e-03
5.386961669921875000e+02,4.190802574157714844e-03
5.415820312500000000e+02,3.899115370586514473e-03
5.442086181640625000e+02,3.620258532464504242e-03
5.465693359375000000e+02,3.354557557031512260e-03
5.486574096679687500e+02,3.102337010204792023e-03
5.504661254882812500e+02,2.863922389224171638e-03
5.519889526367187500e+02,2.639638492837548256e-03
