voltage [mV],current density [pA/pF]
-6.990274047851562500e+01,-1.101299524307250977e-01
-6.910310363769531250e+01,-1.420874595642089844e-01
-6.830346679687500000e+01,-1.740449666976928711e-01
-6.750382995605468750e+01,-2.060024738311767578e-01
-6.670419311523437500e+01,-2.379598617553710938e-01
-6.590455627441406250e+01,-2.699173688888549805e-01
-6.510491943359375000e+01,-3.018748760223388672e-01
-6.430528259277343750e+01,-3.338323831558227539e-01
-6.350564193725585938e+01,-3.657898902893066406e-01
-6.270600509643554688e+01,-3.977473974227905273e-01
-6.190636444091796875e+01,-4.297047853469848633e-01
-6.110672760009765625e+01,-4.616622924804687500e-01
-6.030709075927734375e+01,-4.936197996139526367e-01
-5.958592987060546875e+01,-5.263630151748657227e-01
-5.896572875976562500e+01,-5.601171851158142090e-01
-5.834552764892578125e+01,-5.938713550567626953e-01
-5.772532653808593750e+01,-6.276255249977111816e-01
-5.710512924194335938e+01,-6.613796949386596680e-01
-5.648492813110351562e+01,-6.951338648796081543e-01
-5.586473083496093750e+01,-7.288880348205566406e-01
-5.524452972412109375e+01,-7.626422047615051270e-01
-5.462432861328125000e+01,-7.963964343070983887e-01
-5.400412750244140625e+01,-8.301506042480468750e-01
-5.338392639160156250e+01,-8.639047741889953613e-01
-5.276372909545898438e+01,-8.976589441299438477e-01
-5.214353179931640625e+01,-9.314131140708923340e-01
-5.152333068847656250e+01,-9.651672840118408203e-01
-5.090312957763671875e+01,-9.989214539527893066e-01
-5.028292846679687500e+01,-1.032675623893737793e+00
-4.903786849975585938e+01,-1.052109837532043457e+00
-4.743417358398437500e+01,-1.063325166702270508e+00
-4.583047866821289062e+01,-1.074540376663208008e+00
-4.422677993774414062e+01,-1.085755705833435059e+00
-4.262308502197265625e+01,-1.096971035003662109e+00
-4.101939010620117188e+01,-1.108186244964599609e+00
-3.945157241821289062e+01,-1.111248731613159180e+00
-3.797423934936523438e+01,-1.093750119209289551e+00
-3.649690628051757812e+01,-1.076251626014709473e+00
-3.501957321166992188e+01,-1.058753013610839844e+00
-3.354224014282226562e+01,-1.041254401206970215e+00
-3.206490325927734375e+01,-1.023755908012390137e+00
-3.058757019042968750e+01,-1.006257295608520508e+00
-2.915430450439453125e+01,-9.872241616249084473e-01
-2.776674270629882812e+01,-9.665994048118591309e-01
-2.637917709350585938e+01,-9.459747076034545898e-01
-2.499161529541015625e+01,-9.253499507904052734e-01
-2.360405349731445312e+01,-9.047251939773559570e-01
-2.221648788452148438e+01,-8.841004371643066406e-01
-2.082892608642578125e+01,-8.634756803512573242e-01
-1.944136047363281250e+01,-8.428509831428527832e-01
-1.805379867553710938e+01,-8.222262263298034668e-01
-1.666623687744140625e+01,-8.016014695167541504e-01
-1.527867126464843750e+01,-7.809767127037048340e-01
-1.389111328125000000e+01,-7.603519558906555176e-01
-1.250354766845703125e+01,-7.397271990776062012e-01
-1.111598205566406250e+01,-7.191025018692016602e-01
-9.728416442871093750e+00,-6.984777450561523438e-01
-8.340858459472656250e+00,-6.778529882431030273e-01
-6.953292846679687500e+00,-6.572282314300537109e-01
-5.565727233886718750e+00,-6.366034746170043945e-01
-4.178169250488281250e+00,-6.159787774085998535e-01
-2.790603637695312500e+00,-5.953540205955505371e-01
-1.403038024902343750e+00,-5.747292637825012207e-01
-1.548004150390625000e-02,-5.541045069694519043e-01
1.372085571289062500e+00,-5.334797501564025879e-01
2.759651184082031250e+00,-5.128550529479980469e-01
4.147209167480468750e+00,-4.922302961349487305e-01
5.534774780273437500e+00,-4.716055393218994141e-01
6.922340393066406250e+00,-4.509807825088500977e-01
8.309898376464843750e+00,-4.303560256958007812e-01
9.697463989257812500e+00,-4.097312688827514648e-01
1.108502960205078125e+01,-3.891065120697021484e-01
1.247258758544921875e+01,-3.684817552566528320e-01
1.386015319824218750e+01,-3.478571176528930664e-01
1.524771881103515625e+01,-3.272323608398437500e-01
1.663527679443359375e+01,-3.066076040267944336e-01
1.802284240722656250e+01,-2.859828472137451172e-01
1.941040802001953125e+01,-2.653580904006958008e-01
2.079796600341796875e+01,-2.447333335876464844e-01
2.218553161621093750e+01,-2.241085767745971680e-01
2.357309722900390625e+01,-2.034838199615478516e-01
2.496065521240234375e+01,-1.828590631484985352e-01
2.634822082519531250e+01,-1.622343063354492188e-01
2.773578643798828125e+01,-1.416095495223999023e-01
2.912334442138671875e+01,-1.209849119186401367e-01
3.051091003417968750e+01,-1.003601551055908203e-01
3.189847564697265625e+01,-7.973539829254150391e-02
3.328603363037109375e+01,-5.911064147949218750e-02
3.467359924316406250e+01,-3.848588466644287109e-02
3.606116485595703125e+01,-1.786112785339355469e-02
3.744873046875000000e+01,2.763628959655761719e-03
3.883628845214843750e+01,2.338838577270507812e-02
4.022385406494140625e+01,4.401314258575439453e-02
4.161141967773437500e+01,6.463789939880371094e-02
4.299897766113281250e+01,8.526253700256347656e-02
4.438654327392578125e+01,1.058872938156127930e-01
4.577410888671875000e+01,1.265120506286621094e-01
4.716166687011718750e+01,1.471368074417114258e-01
4.854922485351562500e+01,1.677615642547607422e-01
4.993679809570312500e+01,1.883863210678100586e-01
