voltage [mV],steady state [1]
-9.000000000000000000e+01,0.000000000000000000e+00
-8.976004791259765625e+01,9.454249084228649735e-05
-8.906950378417968750e+01,3.733285702764987946e-04
-8.797233581542968750e+01,8.290961268357932568e-04
-8.651252746582031250e+01,1.454583136364817619e-03
-8.473403930664062500e+01,2.242527436465024948e-03
-8.268085479736328125e+01,3.185666864737868309e-03
-8.039694213867187500e+01,4.276739433407783508e-03
-7.792627716064453125e+01,5.508482921868562698e-03
-7.531283569335937500e+01,6.873635575175285339e-03
-7.260058593750000000e+01,8.364934474229812622e-03
-6.983349609375000000e+01,9.975118562579154968e-03
-6.705554199218750000e+01,1.169692538678646088e-02
-6.431071472167968750e+01,1.352309249341487885e-02
-6.164295959472656250e+01,1.544635836035013199e-02
-5.909626770019531250e+01,1.745945960283279419e-02
-5.671460342407226562e+01,1.955513656139373779e-02
-5.440405273437500000e+01,2.188765630125999451e-02
-5.195215606689453125e+01,2.496111951768398285e-02
-4.957967376708984375e+01,2.861991152167320251e-02
-4.728380584716796875e+01,3.285212069749832153e-02
-4.506174468994140625e+01,3.764583542943000793e-02
-4.291069793701171875e+01,4.298913478851318359e-02
-4.082785415649414062e+01,4.887011274695396423e-02
-3.881040954589843750e+01,5.527684837579727173e-02
-3.685556411743164062e+01,6.219742819666862488e-02
-3.496051788330078125e+01,6.961993873119354248e-02
-3.312246322631835938e+01,7.753247022628784180e-02
-3.133859634399414062e+01,8.592309802770614624e-02
-2.960611724853515625e+01,9.477992355823516846e-02
-2.792222213745117188e+01,1.040910184383392334e-01
-2.628410720825195312e+01,1.138444691896438599e-01
-2.468897247314453125e+01,1.240283697843551636e-01
-2.313401031494140625e+01,1.346307992935180664e-01
-2.161641693115234375e+01,1.456398516893386841e-01
-2.013339996337890625e+01,1.570436060428619385e-01
-1.868214416503906250e+01,1.688301563262939453e-01
-1.725984954833984375e+01,1.809875667095184326e-01
-1.586371612548828125e+01,1.935039460659027100e-01
-1.449093627929687500e+01,2.063673734664916992e-01
-1.313716125488281250e+01,2.195814400911331177e-01
-1.176303100585937500e+01,2.336379140615463257e-01
-1.043131256103515625e+01,2.479903846979141235e-01
-9.138977050781250000e+00,2.626173496246337891e-01
-7.882980346679687500e+00,2.774973809719085693e-01
-6.660285949707031250e+00,2.926090061664581299e-01
-5.467872619628906250e+00,3.079307079315185547e-01
-4.302703857421875000e+00,3.234410583972930908e-01
-3.161735534667968750e+00,3.391185700893402100e-01
-2.041938781738281250e+00,3.549417853355407715e-01
-9.402847290039062500e-01,3.708892166614532471e-01
1.462707519531250000e-01,3.869394063949584961e-01
1.220756530761718750e+00,4.030708968639373779e-01
2.286201477050781250e+00,4.192622005939483643e-01
3.345642089843750000e+00,4.354918599128723145e-01
4.402122497558593750e+00,4.517384171485900879e-01
5.458663940429687500e+00,4.679803550243377686e-01
6.518302917480468750e+00,4.841962456703186035e-01
7.584083557128906250e+00,5.003646016120910645e-01
8.659027099609375000e+00,5.164639353752136230e-01
9.746177673339843750e+00,5.324728488922119141e-01
1.085191345214843750e+01,5.484185814857482910e-01
1.200680541992187500e+01,5.650502443313598633e-01
1.312437438964843750e+01,5.813605785369873047e-01
1.421333312988281250e+01,5.973806977272033691e-01
1.528239440917968750e+01,6.131418943405151367e-01
1.634027862548828125e+01,6.286751627922058105e-01
1.739569091796875000e+01,6.440117955207824707e-01
1.845734405517578125e+01,6.591828465461730957e-01
1.953395843505859375e+01,6.742194890975952148e-01
2.063423919677734375e+01,6.891528964042663574e-01
2.176690673828125000e+01,7.040142416954040527e-01
2.294067382812500000e+01,7.188345789909362793e-01
2.416425323486328125e+01,7.336452007293701172e-01
2.544635772705078125e+01,7.484771609306335449e-01
2.679570007324218750e+01,7.633615732192993164e-01
2.822099304199218750e+01,7.783297300338745117e-01
2.973094940185546875e+01,7.934126853942871094e-01
3.126519775390625000e+01,8.080090880393981934e-01
3.267478179931640625e+01,8.209231495857238770e-01
3.408135223388671875e+01,8.333240747451782227e-01
3.549208831787109375e+01,8.452162742614746094e-01
3.691414642333984375e+01,8.566043376922607422e-01
3.835469055175781250e+01,8.674926161766052246e-01
3.982087707519531250e+01,8.778857588768005371e-01
4.131988525390625000e+01,8.877881169319152832e-01
4.285885620117187500e+01,8.972042798995971680e-01
4.444499206542968750e+01,9.061387181282043457e-01
4.608541870117187500e+01,9.145959019660949707e-01
4.778732299804687500e+01,9.225803017616271973e-01
4.955787658691406250e+01,9.300965070724487305e-01
5.140420532226562500e+01,9.371489286422729492e-01
5.333351135253906250e+01,9.437420368194580078e-01
5.535295104980468750e+01,9.498804211616516113e-01
5.746968078613281250e+01,9.555684924125671387e-01
5.969085693359375000e+01,9.608107805252075195e-01
6.202366638183593750e+01,9.656117558479309082e-01
6.447525024414062500e+01,9.699759483337402344e-01
6.705279541015625000e+01,9.739077687263488770e-01
6.976344299316406250e+01,9.774118065834045410e-01
