voltage [mV],steady state [1]
-9.000000000000000000e+01,1.000000000000000000e+00
-8.773496246337890625e+01,1.000000000000000000e+00
-8.546992492675781250e+01,1.000000000000000000e+00
-8.320489501953125000e+01,1.000000000000000000e+00
-8.093985748291015625e+01,1.000000000000000000e+00
-7.867481994628906250e+01,1.000000000000000000e+00
-7.595535278320312500e+01,9.999752044677734375e-01
-7.261282348632812500e+01,9.995997548103332520e-01
-6.957909393310546875e+01,9.986948966979980469e-01
-6.682887268066406250e+01,9.971604943275451660e-01
-6.433686828613281250e+01,9.948964715003967285e-01
-6.207780838012695312e+01,9.918027520179748535e-01
-6.002640533447265625e+01,9.877793192863464355e-01
-5.815736389160156250e+01,9.827259778976440430e-01
-5.644541168212890625e+01,9.765427112579345703e-01
-5.486526107788085938e+01,9.691293835639953613e-01
-5.339162063598632812e+01,9.603860378265380859e-01
-5.199921417236328125e+01,9.502124786376953125e-01
-5.066275024414062500e+01,9.385086297988891602e-01
-4.935694885253906250e+01,9.251744747161865234e-01
-4.798899078369140625e+01,9.089265465736389160e-01
-4.676728820800781250e+01,8.916172385215759277e-01
-4.569574356079101562e+01,8.736484646797180176e-01
-4.475144958496093750e+01,8.551386594772338867e-01
-4.391150665283203125e+01,8.362063765525817871e-01
-4.315300750732421875e+01,8.169700503349304199e-01
-4.245304870605468750e+01,7.975481748580932617e-01
-4.178873062133789062e+01,7.780591845512390137e-01
-4.113714599609375000e+01,7.586215734481811523e-01
-4.047539138793945312e+01,7.393538355827331543e-01
-3.978056335449218750e+01,7.203744053840637207e-01
-3.902976226806640625e+01,7.018017768859863281e-01
-3.839805984497070312e+01,6.858434677124023438e-01
-3.780912780761718750e+01,6.685471534729003906e-01
-3.725599288940429688e+01,6.500815153121948242e-01
-3.673293685913085938e+01,6.306447386741638184e-01
-3.623423767089843750e+01,6.104350090026855469e-01
-3.575418090820312500e+01,5.896504521369934082e-01
-3.528704833984375000e+01,5.684892535209655762e-01
-3.482712173461914062e+01,5.471495985984802246e-01
-3.436867904663085938e+01,5.258296132087707520e-01
-3.390600585937500000e+01,5.047274231910705566e-01
-3.343338394165039062e+01,4.840412139892578125e-01
-3.294509124755859375e+01,4.639692008495330811e-01
-3.243540954589843750e+01,4.447094798088073730e-01
-3.185730743408203125e+01,4.239514768123626709e-01
-3.125677490234375000e+01,4.019284248352050781e-01
-3.064339065551757812e+01,3.791460096836090088e-01
-3.001993560791015625e+01,3.558902740478515625e-01
-2.938918685913085938e+01,3.324473202228546143e-01
-2.875392532348632812e+01,3.091032207012176514e-01
-2.811692428588867188e+01,2.861441075801849365e-01
-2.748096084594726562e+01,2.638559937477111816e-01
-2.684882354736328125e+01,2.425249963998794556e-01
-2.622327804565429688e+01,2.224372029304504395e-01
-2.560710906982421875e+01,2.038786858320236206e-01
-2.500309753417968750e+01,1.871355324983596802e-01
-2.441401672363281250e+01,1.724938303232192993e-01
-2.384265136718750000e+01,1.602396517992019653e-01
-2.329177093505859375e+01,1.506590694189071655e-01
-2.229242706298828125e+01,1.358197331428527832e-01
-2.131488037109375000e+01,1.207631900906562805e-01
-2.039577484130859375e+01,1.065203696489334106e-01
-1.949962615966796875e+01,9.310521930456161499e-02
-1.859096527099609375e+01,8.053170144557952881e-02
-1.763431549072265625e+01,6.881374865770339966e-02
-1.659419250488281250e+01,5.796532705426216125e-02
-1.543514251708984375e+01,4.800038039684295654e-02
-1.412167358398437500e+01,3.893285989761352539e-02
-1.261830902099609375e+01,3.077672049403190613e-02
-1.088959503173828125e+01,2.354590967297554016e-02
-8.900032043457031250e+00,1.725437864661216736e-02
-6.614166259765625000e+00,1.191607955843210220e-02
-3.996513366699218750e+00,7.544962223619222641e-03
-1.011596679687500000e+00,4.154978320002555847e-03
2.376052856445312500e+00,1.760078128427267075e-03
6.201911926269531250e+00,3.742131520994007587e-04
1.016920471191406250e+01,0.000000000000000000e+00
1.243424224853515625e+01,0.000000000000000000e+00
1.469927978515625000e+01,0.000000000000000000e+00
1.696431732177734375e+01,0.000000000000000000e+00
1.922934722900390625e+01,0.000000000000000000e+00
2.149438476562500000e+01,0.000000000000000000e+00
2.375942230224609375e+01,0.000000000000000000e+00
2.602445983886718750e+01,0.000000000000000000e+00
2.828949737548828125e+01,0.000000000000000000e+00
3.055452728271484375e+01,0.000000000000000000e+00
3.281956481933593750e+01,0.000000000000000000e+00
3.508460235595703125e+01,0.000000000000000000e+00
3.734963989257812500e+01,0.000000000000000000e+00
3.961466979980468750e+01,0.000000000000000000e+00
4.187971496582031250e+01,0.000000000000000000e+00
4.414474487304687500e+01,0.000000000000000000e+00
4.640979003906250000e+01,0.000000000000000000e+00
4.867481994628906250e+01,0.000000000000000000e+00
5.093984985351562500e+01,0.000000000000000000e+00
5.320489501953125000e+01,0.000000000000000000e+00
5.546992492675781250e+01,0.000000000000000000e+00
5.773497009277343750e+01,0.000000000000000000e+00
6.000000000000000000e+01,0.000000000000000000e+00
