voltage [mV],time constant [ms]
-8.402523803710937500e+01,2.498764648437500000e+02
-8.306838989257812500e+01,2.420682067871093750e+02
-8.213832092285156250e+01,2.345443267822265625e+02
-8.123356628417968750e+01,2.272966613769531250e+02
-8.035263061523437500e+01,2.203170318603515625e+02
-7.949401855468750000e+01,2.135972595214843750e+02
-7.865626525878906250e+01,2.071291656494140625e+02
-7.783787536621093750e+01,2.009045867919921875e+02
-7.703736114501953125e+01,1.949153442382812500e+02
-7.625323486328125000e+01,1.891532592773437500e+02
-7.548402404785156250e+01,1.836101684570312500e+02
-7.472822570800781250e+01,1.782778778076171875e+02
-7.398436737060546875e+01,1.731482238769531250e+02
-7.325096130371093750e+01,1.682130279541015625e+02
-7.252651977539062500e+01,1.634641265869140625e+02
-7.180955505371093750e+01,1.588933410644531250e+02
-7.109857940673828125e+01,1.544924774169921875e+02
-7.039212036132812500e+01,1.502533874511718750e+02
-6.968867492675781250e+01,1.461678771972656250e+02
-6.898677062988281250e+01,1.422277984619140625e+02
-6.828491210937500000e+01,1.384249420166015625e+02
-6.758163452148437500e+01,1.347511596679687500e+02
-6.687542724609375000e+01,1.311982574462890625e+02
-6.616481018066406250e+01,1.277580718994140625e+02
-6.544831085205078125e+01,1.244224243164062500e+02
-6.472442626953125000e+01,1.211831436157226562e+02
-6.399169158935546875e+01,1.180320587158203125e+02
-6.324860382080078125e+01,1.149609832763671875e+02
-6.249368286132812500e+01,1.119617538452148438e+02
-6.172544860839843750e+01,1.090261840820312500e+02
-6.094240570068359375e+01,1.061461105346679688e+02
-6.014307403564453125e+01,1.033133544921875000e+02
-5.932596969604492188e+01,1.005197372436523438e+02
-5.848960113525390625e+01,9.775709533691406250e+01
-5.763248825073242188e+01,9.501724243164062500e+01
-5.675314712524414062e+01,9.229200744628906250e+01
-5.585009002685546875e+01,8.957321929931640625e+01
-5.492182159423828125e+01,8.685269165039062500e+01
-5.396687316894531250e+01,8.412226867675781250e+01
-5.298374938964843750e+01,8.137375640869140625e+01
-5.197097015380859375e+01,7.859899902343750000e+01
-5.092704010009765625e+01,7.578980255126953125e+01
-4.985047912597656250e+01,7.293800354003906250e+01
-4.873980712890625000e+01,7.003543090820312500e+01
-4.759353637695312500e+01,6.707390594482421875e+01
-4.641378021240234375e+01,6.406426239013671875e+01
-4.518811798095703125e+01,6.115163040161132812e+01
-4.389807891845703125e+01,5.835165023803710938e+01
-4.254496765136718750e+01,5.566209793090820312e+01
-4.113007354736328125e+01,5.308076477050781250e+01
-3.965469360351562500e+01,5.060542678833007812e+01
-3.812011718750000000e+01,4.823387145996093750e+01
-3.652764892578125000e+01,4.596387863159179688e+01
-3.487857055664062500e+01,4.379322814941406250e+01
-3.317419433593750000e+01,4.171970748901367188e+01
-3.141580200195312500e+01,3.974109649658203125e+01
-2.960469818115234375e+01,3.785517883300781250e+01
-2.774216461181640625e+01,3.605973815917968750e+01
-2.582950592041015625e+01,3.435255050659179688e+01
-2.386801910400390625e+01,3.273140716552734375e+01
-2.185899353027343750e+01,3.119408416748046875e+01
-1.980373382568359375e+01,2.973836517333984375e+01
-1.770352172851562500e+01,2.836203575134277344e+01
-1.555965423583984375e+01,2.706287384033203125e+01
-1.337343597412109375e+01,2.583866691589355469e+01
-1.114615631103515625e+01,2.468719291687011719e+01
-8.879104614257812500e+00,2.360623550415039062e+01
-6.573585510253906250e+00,2.259357833862304688e+01
-4.230888366699218750e+00,2.164700317382812500e+01
-1.852317810058593750e+00,2.076429367065429688e+01
5.608520507812500000e-01,1.994322967529296875e+01
3.007301330566406250e+00,1.918159675598144531e+01
5.485748291015625000e+00,1.847717475891113281e+01
7.994903564453125000e+00,1.782774734497070312e+01
1.053346252441406250e+01,1.723109626770019531e+01
1.310012817382812500e+01,1.668500518798828125e+01
1.569361877441406250e+01,1.618725585937500000e+01
1.831262207031250000e+01,1.573563098907470703e+01
2.095584106445312500e+01,1.532791233062744141e+01
2.362200927734375000e+01,1.496188259124755859e+01
2.630979919433593750e+01,1.463532543182373047e+01
2.901794433593750000e+01,1.434602165222167969e+01
3.174513244628906250e+01,1.409175395965576172e+01
3.449005126953125000e+01,1.387030601501464844e+01
3.725144958496093750e+01,1.367945957183837891e+01
4.002799987792968750e+01,1.351699638366699219e+01
4.281842041015625000e+01,1.338070011138916016e+01
4.562139892578125000e+01,1.326835250854492188e+01
4.843565368652343750e+01,1.317773628234863281e+01
5.125990295410156250e+01,1.310663318634033203e+01
5.409283447265625000e+01,1.305282688140869141e+01
5.693315124511718750e+01,1.301409912109375000e+01
5.977955627441406250e+01,1.298823261260986328e+01
6.263076782226562500e+01,1.297301006317138672e+01
6.548548889160156250e+01,1.296621322631835938e+01
6.834242248535156250e+01,1.296562385559082031e+01
7.120025634765625000e+01,1.296902656555175781e+01
7.405772399902343750e+01,1.297420215606689453e+01
7.691351318359375000e+01,1.297893428802490234e+01
7.976632690429687500e+01,1.298100376129150391e+01
