voltage [mV],time constant [ms]
-1.200000000000000000e+02,1.990986328125000000e+02
-1.160714797973632812e+02,2.052918395996093750e+02
-1.122892684936523438e+02,2.197679595947265625e+02
-1.086957931518554688e+02,2.450398864746093750e+02
-1.053334808349609375e+02,2.836205444335937500e+02
-1.022447586059570312e+02,3.380228576660156250e+02
-9.947206878662109375e+01,4.107597045898437500e+02
-9.705782318115234375e+01,5.043440246582031250e+02
-9.512257385253906250e+01,6.153996582031250000e+02
-9.378002166748046875e+01,7.108000488281250000e+02
-9.250109863281250000e+01,8.101909179687500000e+02
-9.128192901611328125e+01,9.132791748046875000e+02
-9.011865234375000000e+01,1.019771728515625000e+03
-8.900741577148437500e+01,1.129375488281250000e+03
-8.794433593750000000e+01,1.241797119140625000e+03
-8.692555999755859375e+01,1.356743774414062500e+03
-8.594721984863281250e+01,1.473922119140625000e+03
-8.500546264648437500e+01,1.593039062500000000e+03
-8.409641265869140625e+01,1.713801513671875000e+03
-8.321620941162109375e+01,1.835916381835937500e+03
-8.236099243164062500e+01,1.959090454101562500e+03
-8.152688598632812500e+01,2.083030761718750000e+03
-8.071003723144531250e+01,2.207443847656250000e+03
-7.990657806396484375e+01,2.332036865234375000e+03
-7.911264801025390625e+01,2.456516845703125000e+03
-7.832437896728515625e+01,2.580590087890625000e+03
-7.753790283203125000e+01,2.703963867187500000e+03
-7.674937438964843750e+01,2.826345214843750000e+03
-7.595490264892578125e+01,2.947440673828125000e+03
-7.515064239501953125e+01,3.066957031250000000e+03
-7.406718444824218750e+01,3.221712158203125000e+03
-7.272860717773437500e+01,3.400345458984375000e+03
-7.141856384277343750e+01,3.559237304687500000e+03
-7.013140106201171875e+01,3.697514404296875000e+03
-6.886145019531250000e+01,3.814303222656250000e+03
-6.760304260253906250e+01,3.908729980468750000e+03
-6.635052490234375000e+01,3.979921875000000000e+03
-6.509820556640625000e+01,4.027004882812500000e+03
-6.384044265747070312e+01,4.049105957031250000e+03
-6.257155227661132812e+01,4.045351562500000000e+03
-6.128587341308593750e+01,4.014868408203125000e+03
-5.997774124145507812e+01,3.956782714843750000e+03
-5.864148712158203125e+01,3.870221191406250000e+03
-5.727144622802734375e+01,3.754310546875000000e+03
-5.586194610595703125e+01,3.608177490234375000e+03
-5.440732574462890625e+01,3.430947998046875000e+03
-5.290191650390625000e+01,3.221749267578125000e+03
-5.178543853759765625e+01,3.051929931640625000e+03
-5.098222351074218750e+01,2.926369384765625000e+03
-5.019850158691406250e+01,2.802448730468750000e+03
-4.942904663085937500e+01,2.680052490234375000e+03
-4.866861724853515625e+01,2.559064453125000000e+03
-4.791197967529296875e+01,2.439369140625000000e+03
-4.715389251708984375e+01,2.320850585937500000e+03
-4.638911437988281250e+01,2.203393066406250000e+03
-4.561242675781250000e+01,2.086880859375000000e+03
-4.481857299804687500e+01,1.971197998046875000e+03
-4.400232696533203125e+01,1.856229003906250000e+03
-4.315844726562500000e+01,1.741857788085937500e+03
-4.228169250488281250e+01,1.627968872070312500e+03
-4.136683654785156250e+01,1.514446166992187500e+03
-4.040863800048828125e+01,1.401174072265625000e+03
-3.940185546875000000e+01,1.288036743164062500e+03
-3.820745086669921875e+01,1.160815673828125000e+03
-3.669815826416015625e+01,1.007486999511718750e+03
-3.525087738037109375e+01,8.714119262695312500e+02
-3.381852722167968750e+01,7.515741577148437500e+02
-3.235404968261718750e+01,6.469574584960937500e+02
-3.081037139892578125e+01,5.565455932617187500e+02
-2.914041900634765625e+01,4.793224182128906250e+02
-2.729711914062500000e+01,4.142716369628906250e+02
-2.523340606689453125e+01,3.603770751953125000e+02
-2.290221405029296875e+01,3.166224975585937500e+02
-2.025646209716796875e+01,2.819916687011718750e+02
-1.724909210205078125e+01,2.554683990478515625e+02
-1.383302307128906250e+01,2.360364532470703125e+02
-9.961196899414062500e+00,2.226796112060546875e+02
-5.586532592773437500e+00,2.143816680908203125e+02
-6.619644165039062500e-01,2.101263885498046875e+02
4.859580993652343750e+00,2.088975677490234375e+02
8.655685424804687500e+00,2.088968200683593750e+02
1.239447021484375000e+01,2.088968200683593750e+02
1.613325500488281250e+01,2.088968200683593750e+02
1.987205505371093750e+01,2.088968200683593750e+02
2.361083984375000000e+01,2.088968200683593750e+02
2.734962463378906250e+01,2.088968200683593750e+02
3.108840942382812500e+01,2.088968200683593750e+02
3.482720947265625000e+01,2.088968200683593750e+02
3.856599426269531250e+01,2.088968200683593750e+02
4.230477905273437500e+01,2.088968200683593750e+02
4.604356384277343750e+01,2.088968200683593750e+02
4.978236389160156250e+01,2.088968200683593750e+02
5.352114868164062500e+01,2.088968200683593750e+02
5.725993347167968750e+01,2.088968200683593750e+02
6.099871826171875000e+01,2.088968200683593750e+02
6.473751831054687500e+01,2.088968200683593750e+02
6.847630310058593750e+01,2.088968200683593750e+02
7.221508789062500000e+01,2.088968200683593750e+02
7.595387268066406250e+01,2.088968200683593750e+02
7.969267272949218750e+01,2.088968200683593750e+02
