time [ms],current [pA]
0.000000000000000000e+00,0.000000000000000000e+00
3.002222776412963867e+00,0.000000000000000000e+00
6.004445552825927734e+00,0.000000000000000000e+00
9.006668090820312500e+00,0.000000000000000000e+00
1.200889110565185547e+01,0.000000000000000000e+00
1.501111412048339844e+01,0.000000000000000000e+00
1.801333618164062500e+01,0.000000000000000000e+00
2.101556015014648438e+01,0.000000000000000000e+00
2.401778221130371094e+01,0.000000000000000000e+00
2.702000427246093750e+01,0.000000000000000000e+00
3.002222824096679688e+01,0.000000000000000000e+00
3.302445220947265625e+01,0.000000000000000000e+00
3.471926116943359375e+01,5.441625595092773438e+00
3.482473373413085938e+01,1.749827575683593750e+01
3.493021011352539062e+01,2.955492591857910156e+01
3.503568267822265625e+01,4.161157608032226562e+01
3.514115524291992188e+01,5.366822814941406250e+01
3.524663162231445312e+01,6.572487640380859375e+01
3.535210418701171875e+01,7.778152465820312500e+01
3.545757675170898438e+01,8.983818054199218750e+01
3.556305313110351562e+01,1.018948287963867188e+02
3.566852569580078125e+01,1.139514770507812500e+02
3.577400207519531250e+01,1.260081329345703125e+02
3.587947463989257812e+01,1.380647735595703125e+02
3.598494720458984375e+01,1.501214294433593750e+02
3.695375061035156250e+01,1.682728424072265625e+02
3.884433364868164062e+01,1.689241943359375000e+02
4.069464111328125000e+01,1.612773895263671875e+02
4.249547576904296875e+01,1.528056640625000000e+02
4.486349487304687500e+01,1.428538513183593750e+02
4.728542709350585938e+01,1.336473541259765625e+02
4.975691223144531250e+01,1.251495208740234375e+02
5.227357101440429688e+01,1.173236694335937500e+02
5.483104705810546875e+01,1.101331253051757812e+02
5.742496871948242188e+01,1.035412292480468750e+02
6.005097198486328125e+01,9.751129150390625000e+01
6.270468139648437500e+01,9.200666046142578125e+01
6.538173675537109375e+01,8.699065399169921875e+01
6.807777404785156250e+01,8.242659759521484375e+01
7.078842163085937500e+01,7.827782440185546875e+01
7.350930786132812500e+01,7.450766754150390625e+01
7.623606872558593750e+01,7.107944488525390625e+01
7.896434783935546875e+01,6.795649719238281250e+01
8.168975830078125000e+01,6.510214233398437500e+01
8.440795135498046875e+01,6.247971343994140625e+01
8.711454772949218750e+01,6.005253982543945312e+01
8.980518341064453125e+01,5.778394699096679688e+01
9.282725524902343750e+01,5.537170028686523438e+01
9.613776397705078125e+01,5.289561080932617188e+01
9.953592681884765625e+01,5.051712799072265625e+01
1.030157241821289062e+02,4.823429107666015625e+01
1.065711441040039062e+02,4.604513931274414062e+01
1.101961669921875000e+02,4.394770431518554688e+01
1.138847656250000000e+02,4.194003295898437500e+01
1.176309356689453125e+02,4.002016067504882812e+01
1.214286575317382812e+02,3.818612670898437500e+01
1.252719039916992188e+02,3.643596649169921875e+01
1.291546783447265625e+02,3.476771926879882812e+01
1.330709381103515625e+02,3.317942428588867188e+01
1.370146789550781250e+02,3.166912269592285156e+01
1.409798736572265625e+02,3.023484992980957031e+01
1.449605255126953125e+02,2.887464523315429688e+01
1.489505920410156250e+02,2.758654785156250000e+01
1.529440765380859375e+02,2.636859321594238281e+01
1.569349670410156250e+02,2.521882438659667969e+01
1.609172058105468750e+02,2.413527679443359375e+01
1.648848114013671875e+02,2.311598777770996094e+01
1.688317718505859375e+02,2.215900039672851562e+01
1.727520294189453125e+02,2.126234817504882812e+01
1.766396179199218750e+02,2.042407226562500000e+01
1.804884796142578125e+02,1.964221191406250000e+01
1.842926025390625000e+02,1.891480445861816406e+01
1.880459899902343750e+02,1.823988723754882812e+01
1.917426147460937500e+02,1.761549949645996094e+01
1.953764495849609375e+02,1.703967857360839844e+01
1.989414978027343750e+02,1.651046752929687500e+01
2.024317169189453125e+02,1.602589988708496094e+01
2.058410949707031250e+02,1.558401489257812500e+01
2.091636352539062500e+02,1.518285369873046875e+01
2.123932952880859375e+02,1.482045173645019531e+01
2.155240783691406250e+02,1.449485015869140625e+01
2.185499572753906250e+02,1.420408439636230469e+01
2.214649047851562500e+02,1.394619560241699219e+01
2.242629241943359375e+02,1.371922111511230469e+01
2.269379730224609375e+02,1.352120018005371094e+01
2.294840545654296875e+02,1.335017013549804688e+01
2.318951568603515625e+02,1.320416927337646484e+01
2.341652374267578125e+02,1.308123779296875000e+01
2.362882843017578125e+02,1.297941207885742188e+01
2.382583007812500000e+02,1.289673233032226562e+01
2.400692596435546875e+02,1.283123588562011719e+01
2.417151184082031250e+02,1.278096199035644531e+01
2.431898956298828125e+02,1.274394893646240234e+01
2.444875640869140625e+02,1.271823501586914062e+01
2.456020965576171875e+02,1.270185852050781250e+01
2.465274810791015625e+02,1.269285869598388672e+01
2.472576904296875000e+02,1.268927288055419922e+01
2.477867279052734375e+02,1.268914031982421875e+01
2.481085662841796875e+02,1.269049835205078125e+01
2.482171783447265625e+02,1.269138717651367188e+01
