time [ms],current [pA]
0.000000000000000000e+00,0.000000000000000000e+00
3.480632781982421875e+00,0.000000000000000000e+00
6.961265563964843750e+00,0.000000000000000000e+00
1.044189834594726562e+01,0.000000000000000000e+00
1.392253112792968750e+01,0.000000000000000000e+00
1.740316390991210938e+01,0.000000000000000000e+00
2.088379669189453125e+01,0.000000000000000000e+00
2.436442947387695312e+01,0.000000000000000000e+00
2.784506225585937500e+01,0.000000000000000000e+00
3.132569503784179688e+01,0.000000000000000000e+00
3.467426300048828125e+01,5.410640239715576172e-01
3.474163055419921875e+01,1.452497863769531250e+01
3.480900192260742188e+01,2.850889396667480469e+01
3.487636947631835938e+01,4.249280929565429688e+01
3.494373703002929688e+01,5.647672271728515625e+01
3.501110839843750000e+01,7.046063995361328125e+01
3.507847595214843750e+01,8.444455718994140625e+01
3.514584350585937500e+01,9.842846679687500000e+01
3.521321487426757812e+01,1.124123840332031250e+02
3.528058242797851562e+01,1.263963012695312500e+02
3.534794998168945312e+01,1.403802185058593750e+02
3.541532135009765625e+01,1.543641357421875000e+02
3.548268890380859375e+01,1.683480377197265625e+02
3.555006027221679688e+01,1.823319549560546875e+02
3.561742782592773438e+01,1.963158721923828125e+02
3.568479537963867188e+01,2.102997894287109375e+02
3.575216674804687500e+01,2.242837066650390625e+02
3.581953430175781250e+01,2.382676239013671875e+02
3.588690185546875000e+01,2.522515411376953125e+02
3.595427322387695312e+01,2.662354431152343750e+02
3.626364898681640625e+01,2.853930664062500000e+02
3.765639114379882812e+01,2.921916198730468750e+02
3.919555282592773438e+01,2.811381225585937500e+02
4.035083389282226562e+01,2.698345336914062500e+02
4.162930679321289062e+01,2.581611328125000000e+02
4.299684524536132812e+01,2.465719299316406250e+02
4.445925140380859375e+01,2.350967864990234375e+02
4.602233886718750000e+01,2.237656250000000000e+02
4.769191360473632812e+01,2.126083221435546875e+02
4.947378921508789062e+01,2.016547851562500000e+02
5.137376785278320312e+01,1.909348907470703125e+02
5.339765930175781250e+01,1.804785461425781250e+02
5.555127716064453125e+01,1.703156280517578125e+02
5.784042739868164062e+01,1.604760437011718750e+02
6.027091979980468750e+01,1.509896850585937500e+02
6.284856033325195312e+01,1.418864440917968750e+02
6.557916259765625000e+01,1.331962127685546875e+02
6.846852874755859375e+01,1.249488830566406250e+02
7.152247619628906250e+01,1.171743469238281250e+02
7.474680328369140625e+01,1.099024963378906250e+02
7.814733123779296875e+01,1.031632232666015625e+02
8.172985839843750000e+01,9.698642730712890625e+01
8.550019836425781250e+01,9.140200042724609375e+01
8.946415710449218750e+01,8.643982696533203125e+01
9.320961761474609375e+01,8.238179779052734375e+01
9.678157043457031250e+01,7.864122009277343750e+01
1.003169097900390625e+02,7.503753662109375000e+01
1.038178024291992188e+02,7.156814575195312500e+01
1.072863922119140625e+02,6.823045349121093750e+01
1.107248229980468750e+02,6.502185058593750000e+01
1.141352539062500000e+02,6.193974304199218750e+01
1.175198287963867188e+02,5.898153305053710938e+01
1.208806991577148438e+02,5.614461517333984375e+01
1.242200164794921875e+02,5.342639541625976562e+01
1.275399322509765625e+02,5.082427215576171875e+01
1.308425903320312500e+02,4.833564376831054688e+01
1.341301422119140625e+02,4.595791244506835938e+01
1.374047393798828125e+02,4.368848037719726562e+01
1.406685333251953125e+02,4.152474594116210938e+01
1.439236755371093750e+02,3.946410751342773438e+01
1.471723175048828125e+02,3.750397109985351562e+01
1.504165954589843750e+02,3.564173507690429688e+01
1.536586608886718750e+02,3.387479782104492188e+01
1.569006958007812500e+02,3.220055770874023438e+01
1.601448059082031250e+02,3.061642265319824219e+01
1.633931579589843750e+02,2.911978721618652344e+01
1.666479187011718750e+02,2.770805168151855469e+01
1.699112243652343750e+02,2.637862014770507812e+01
1.731852111816406250e+02,2.512889099121093750e+01
1.764720611572265625e+02,2.395626640319824219e+01
1.797738952636718750e+02,2.285814285278320312e+01
1.830928649902343750e+02,2.183192443847656250e+01
1.864311370849609375e+02,2.087500953674316406e+01
1.897908630371093750e+02,1.998480033874511719e+01
1.931741790771484375e+02,1.915869712829589844e+01
1.965832366943359375e+02,1.839409828186035156e+01
2.000201873779296875e+02,1.768840599060058594e+01
2.034871826171875000e+02,1.703902053833007812e+01
2.069863739013671875e+02,1.644334220886230469e+01
2.105199127197265625e+02,1.589877128601074219e+01
2.140899353027343750e+02,1.540270805358886719e+01
2.176986083984375000e+02,1.495255279541015625e+01
2.213480834960937500e+02,1.454570770263671875e+01
2.250404815673828125e+02,1.417957115173339844e+01
2.287779998779296875e+02,1.385154438018798828e+01
2.325627441406250000e+02,1.355902767181396484e+01
2.363968811035156250e+02,1.329942226409912109e+01
2.402825775146484375e+02,1.307012748718261719e+01
2.442219543457031250e+02,1.286854457855224609e+01
2.482171783447265625e+02,1.269207382202148438e+01
