voltage [mV],normalized current [1]
-5.628754425048828125e+01,6.242861505597829819e-03
-5.597740936279296875e+01,6.321559660136699677e-03
-5.512033843994140625e+01,6.564395502209663391e-03
-5.382636260986328125e+01,6.981482263654470444e-03
-5.220548248291015625e+01,7.582931779325008392e-03
-5.036772537231445312e+01,8.378857746720314026e-03
-4.842310333251953125e+01,9.379372000694274902e-03
-4.648163604736328125e+01,1.059458684176206589e-02
-4.465333938598632812e+01,1.203461643308401108e-02
-4.304314041137695312e+01,1.371559686958789825e-02
-4.140028762817382812e+01,1.574689894914627075e-02
-3.979835891723632812e+01,1.779744215309619904e-02
-3.823461914062500000e+01,1.990341395139694214e-02
-3.670633697509765625e+01,2.210100181400775909e-02
-3.521077346801757812e+01,2.442639321088790894e-02
-3.374519729614257812e+01,2.691577561199665070e-02
-3.230686950683593750e+01,2.960533648729324341e-02
-3.089306259155273438e+01,3.253126144409179688e-02
-2.950103378295898438e+01,3.572973981499671936e-02
-2.812805557250976562e+01,3.923695534467697144e-02
-2.677139282226562500e+01,4.308909922838211060e-02
-2.542830657958984375e+01,4.732235521078109741e-02
-2.409606933593750000e+01,5.197291448712348938e-02
-2.277193832397460938e+01,5.707696080207824707e-02
-2.145318222045898438e+01,6.267068535089492798e-02
-2.013706970214843750e+01,6.879026442766189575e-02
-1.882086563110351562e+01,7.547190040349960327e-02
-1.750183105468750000e+01,8.275177329778671265e-02
-1.617723464965820312e+01,9.066607058048248291e-02
-1.484434509277343750e+01,9.925097227096557617e-02
-1.350041961669921875e+01,1.085426807403564453e-01
-1.220576477050781250e+01,1.180958598852157593e-01
-1.100000762939453125e+01,1.275140494108200073e-01
-9.812820434570312500e+00,1.372795850038528442e-01
-8.643531799316406250e+00,1.473784893751144409e-01
-7.491462707519531250e+00,1.577968150377273560e-01
-6.355926513671875000e+00,1.685206294059753418e-01
-5.236251831054687500e+00,1.795359551906585693e-01
-4.131736755371093750e+00,1.908288598060607910e-01
-3.041725158691406250e+00,2.023853957653045654e-01
-1.965522766113281250e+00,2.141915857791900635e-01
-9.024505615234375000e-01,2.262335121631622314e-01
1.481781005859375000e-01,2.384972125291824341e-01
1.187026977539062500e+00,2.509687244892120361e-01
2.214797973632812500e+00,2.636340856552124023e-01
3.232154846191406250e+00,2.764793932437896729e-01
4.239791870117187500e+00,2.894906699657440186e-01
5.238372802734375000e+00,3.026539385318756104e-01
6.228599548339843750e+00,3.159552812576293945e-01
7.211135864257812500e+00,3.293807506561279297e-01
8.186676025390625000e+00,3.429163694381713867e-01
9.155891418457031250e+00,3.565482199192047119e-01
1.011946105957031250e+01,3.702622950077056885e-01
1.107807922363281250e+01,3.840447068214416504e-01
1.203240966796875000e+01,3.978814780712127686e-01
1.298314666748046875e+01,4.117586612701416016e-01
1.393096160888671875e+01,4.256622791290283203e-01
1.487654876708984375e+01,4.395784139633178711e-01
1.582057189941406250e+01,4.534931182861328125e-01
1.676372528076171875e+01,4.673924148082733154e-01
1.770668029785156250e+01,4.812623560428619385e-01
1.865012359619140625e+01,4.950890243053436279e-01
1.959473419189453125e+01,5.088584423065185547e-01
2.054119873046875000e+01,5.225566625595092773e-01
2.149018859863281250e+01,5.361697077751159668e-01
2.244239044189453125e+01,5.496836900711059570e-01
2.339874267578125000e+01,5.630891323089599609e-01
2.435733795166015625e+01,5.764802098274230957e-01
2.531171417236328125e+01,5.898533463478088379e-01
2.626276397705078125e+01,6.032047271728515625e-01
2.721141052246093750e+01,6.165303587913513184e-01
2.815855407714843750e+01,6.298264265060424805e-01
2.910509490966796875e+01,6.430889368057250977e-01
3.005194854736328125e+01,6.563140749931335449e-01
3.100001525878906250e+01,6.694979071617126465e-01
3.195019531250000000e+01,6.826364994049072266e-01
3.290340423583984375e+01,6.957260370254516602e-01
3.386054992675781250e+01,7.087625265121459961e-01
3.482252502441406250e+01,7.217420935630798340e-01
3.579025268554687500e+01,7.346608638763427734e-01
3.676462554931640625e+01,7.475149035453796387e-01
3.774655151367187500e+01,7.603002786636352539e-01
3.873694610595703125e+01,7.730132341384887695e-01
3.973670196533203125e+01,7.856497168540954590e-01
4.074673461914062500e+01,7.982059121131896973e-01
4.176795196533203125e+01,8.106778264045715332e-01
4.280124664306640625e+01,8.230617046356201172e-01
4.384754180908203125e+01,8.353534936904907227e-01
4.490773010253906250e+01,8.475493788719177246e-01
4.598271942138671875e+01,8.596454858779907227e-01
4.707342529296875000e+01,8.716378211975097656e-01
4.818074035644531250e+01,8.835225701332092285e-01
4.930558776855468750e+01,8.952957391738891602e-01
5.044885253906250000e+01,9.069535136222839355e-01
5.161146545410156250e+01,9.184919595718383789e-01
5.279431152343750000e+01,9.299072027206420898e-01
5.399829101562500000e+01,9.411952495574951172e-01
5.522433471679687500e+01,9.523523449897766113e-01
5.647334289550781250e+01,9.633744955062866211e-01
5.774620056152343750e+01,9.742577672004699707e-01
